"año";"NCODI";"camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2011;781,00;"200 - 500 camas";23;3;10;2;444;23;3;10;2;6;5;1;0;0;1;0;0
2011;779,00;"200 - 500 camas";0;0;10;0;254;0;0;10;0;5;0;16;4;0;10;0;1
2011;113,00;"200 - 500 camas";0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0
2011;619,00;"Menos de 200 camas";0;0;5;1;73;0;0;5;1;3;0;4;0;0;4;0;0
2011;163,00;"Menos de 200 camas";0;0;4;0;27;0;0;4;0;1;0;0;0;0;0;0;1
2011;131,00;"Menos de 200 camas";0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0
2011;375,00;"Menos de 200 camas";0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2011;764,00;"501 - 1000 camas";13;2;15;1;714;13;2;15;1;17;0;16;56;8;32;0;0
2011;14,00;"Menos de 200 camas";3;2;3;0;42;3;2;3;0;1;0;0;0;0;0;0;0
2011;657,00;"Menos de 200 camas";3;1;4;0;102;3;1;4;0;3;0;1;0;0;3;1;1
2011;362,00;"Menos de 200 camas";1;1;3;1;65;1;1;3;1;7;0;0;0;0;8;0;0
2011;989,00;"Menos de 200 camas";0;1;4;0;79;0;1;3;0;4;0;5;0;0;0;0;0
2011;990,00;"Menos de 200 camas";1;1;4;0;87;1;1;2;0;2;0;8;0;0;0;7;0
2011;680,00;"501 - 1000 camas";24;3;27;1;800;24;3;27;1;12;3;36;0;0;3;0;0
2011;411,00;"Menos de 200 camas";4;2;7;2;104;4;2;7;2;3;0;6;0;0;0;0;0
2011;241,00;"Menos de 200 camas";3;2;7;1;96;3;2;7;1;2;0;6;0;0;2;0;0
2011;558,00;"200 - 500 camas";5;3;7;0;267;5;3;5;0;9;0;21;0;0;5;12;2
2011;167,00;"Menos de 200 camas";0;1;2;0;16;0;1;2;0;1;0;0;0;0;0;0;0
2011;248,00;"Menos de 200 camas";0;0;4;1;117;0;0;3;1;2;0;10;0;0;0;0;0
2011;224,00;"Menos de 200 camas";1;1;2;0;23;1;1;2;0;2;0;0;0;0;0;3;2
2011;591,00;"200 - 500 camas";24;2;14;1;426;24;2;14;1;10;0;57;0;1;0;0;4
2011;586,00;"501 - 1000 camas";14;2;12;0;420;14;2;12;0;13;3;26;0;0;0;0;0
2011;453,00;"Menos de 200 camas";0;0;0;0;119;0;0;0;0;2;0;6;0;0;0;0;0
2011;145,00;"Menos de 200 camas";0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2011;511,00;"200 - 500 camas";11;2;9;0;256;11;2;9;0;6;3;10;0;0;14;0;0
2011;530,00;"200 - 500 camas";8;2;9;0;336;8;2;9;0;6;3;25;0;0;0;2;2
2011;6,00;"Menos de 200 camas";2;1;7;0;54;2;1;7;0;1;0;0;0;0;10;0;0
2011;161,00;"200 - 500 camas";0;0;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0
2011;623,00;"200 - 500 camas";14;2;10;1;377;14;2;10;1;8;2;18;0;0;0;0;0
2011;489,00;"Menos de 200 camas";0;0;1;0;10;0;0;1;0;1;0;0;0;0;0;0;0
2011;875,00;"Menos de 200 camas";0;0;6;1;82;0;0;6;1;2;0;6;0;0;2;0;0
2011;908,00;"Menos de 200 camas";0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
2011;940,00;"Menos de 200 camas";0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0
2011;946,00;"Menos de 200 camas";3;1;4;1;85;1;1;4;1;3;0;0;0;0;0;0;0
2011;1023,00;"200 - 500 camas";8;2;11;1;230;8;2;11;1;3;0;38;0;0;13;29;0
2011;1054,00;"200 - 500 camas";12;2;15;1;209;6;2;13;1;6;0;16;0;0;0;34;2
2011;1057,00;"Menos de 200 camas";0;0;0;0;69;0;0;0;0;4;0;0;0;0;0;0;0
2011;1031,00;"Menos de 200 camas";0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0
2011;1032,00;"200 - 500 camas";8;8;12;1;192;8;8;12;1;3;0;25;0;0;14;26;0
2011;1064,00;"Menos de 200 camas";0;2;6;1;18;0;2;6;1;1;0;0;0;0;0;0;0
2011;226,00;"Menos de 200 camas";2;1;5;1;95;2;1;5;1;2;0;0;0;0;0;0;0
2011;687,00;"Menos de 200 camas";8;2;6;0;171;8;2;6;0;7;0;4;20;0;0;10;1
2011;745,00;"501 - 1000 camas";36;3;18;2;735;36;3;18;1;9;4;71;42;0;0;19;6
2011;109,00;"Menos de 200 camas";2;1;6;1;82;2;1;6;1;4;0;0;0;0;0;0;0
2011;808,00;"200 - 500 camas";8;8;9;0;262;6;6;8;0;6;0;0;22;0;16;0;0
2011;971,00;"Menos de 200 camas";0;0;6;0;5;0;0;2;0;2;0;2;0;0;12;0;0
2011;128,00;"Menos de 200 camas";1;1;3;0;33;0;0;3;0;1;0;3;0;0;2;2;1
2011;919,00;"200 - 500 camas";8;2;8;0;409;8;2;8;0;4;3;24;8;0;0;0;0
2011;725,00;"Más de 1.000 camas";31;3;31;2;850;31;3;30;2;13;0;40;0;1;0;0;3
2011;3,00;"Menos de 200 camas";0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0
2011;386,00;"Menos de 200 camas";0;0;2;0;74;0;0;2;0;1;0;0;0;0;0;0;0
2011;306,00;"200 - 500 camas";0;0;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0
2011;15,00;"Menos de 200 camas";0;0;3;0;29;0;0;2;0;1;0;0;0;0;0;0;0
2011;264,00;"Menos de 200 camas";3;1;4;0;77;3;1;4;0;2;0;0;0;0;0;0;0
2011;867,00;"Menos de 200 camas";0;0;2;0;15;0;0;2;0;2;0;0;0;0;0;0;0
2011;910,00;"200 - 500 camas";2;1;10;0;221;1;1;7;0;5;0;16;0;0;0;0;0
2011;1053,00;"200 - 500 camas";7;2;8;0;306;7;2;6;0;6;4;15;0;1;0;9;0
2011;1055,00;"200 - 500 camas";7;3;14;1;374;7;3;14;1;18;0;30;0;0;0;39;6
2011;529,00;"Menos de 200 camas";0;0;0;0;79;0;0;0;0;1;0;0;0;0;0;0;0
2011;345,00;"Menos de 200 camas";0;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0
2011;515,00;"Menos de 200 camas";0;0;3;0;40;0;0;3;0;2;0;0;0;0;0;0;0
2011;174,00;"Menos de 200 camas";0;0;3;0;30;0;0;2;0;1;0;0;0;1;0;0;0
2011;523,00;"Menos de 200 camas";0;0;3;0;150;0;0;3;0;2;0;0;0;25;4;0;0
2011;697,00;"Menos de 200 camas";9;3;6;1;193;6;3;6;1;5;0;1;1;1;1;1;1
2011;239,00;"Menos de 200 camas";0;0;5;1;112;0;0;4;1;3;0;10;0;0;0;0;0
2011;287,00;"200 - 500 camas";4;3;8;1;130;4;3;8;1;6;0;0;0;0;7;15;3
2011;377,00;"Menos de 200 camas";0;0;0;0;87;0;0;0;0;1;0;0;0;0;0;0;0
2011;692,00;"200 - 500 camas";4;2;6;0;192;4;2;6;0;3;0;8;15;0;0;0;0
2011;335,00;"Menos de 200 camas";0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0
2011;435,00;"Menos de 200 camas";2;1;5;1;68;1;1;5;1;1;0;0;0;0;5;5;5
2011;423,00;"Menos de 200 camas";3;1;2;0;31;3;1;2;0;0;0;1;0;0;2;3;2
2011;351,00;"Menos de 200 camas";0;0;3;0;48;0;0;2;0;2;0;0;0;0;0;2;1
2011;810,00;"Menos de 200 camas";2;1;2;0;20;0;0;2;0;3;0;0;0;0;0;0;0
2011;830,00;"200 - 500 camas";0;2;8;0;224;0;2;8;0;0;0;7;0;0;0;0;0
2011;892,00;"200 - 500 camas";19;4;13;0;358;13;4;13;0;5;0;28;24;0;0;34;0
2011;921,00;"Menos de 200 camas";3;6;10;1;162;3;4;8;1;2;0;0;0;0;0;0;0
2011;991,00;"Menos de 200 camas";1;1;1;0;12;1;1;1;0;1;0;0;0;0;0;0;0
2011;992,00;"Menos de 200 camas";6;1;6;0;165;6;1;6;0;4;0;7;15;0;8;12;1
2011;993,00;"Menos de 200 camas";5;3;5;0;142;5;3;5;0;2;2;21;16;0;0;6;1
2011;1071,00;"501 - 1000 camas";36;6;27;3;717;36;6;19;3;9;0;41;24;0;0;0;0
2011;473,00;"Menos de 200 camas";33;6;6;0;92;33;6;6;0;2;0;1;0;0;0;0;3
