"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2011;781,00;1183;1291;0;0;572;13039;0;0;0;0;0;45834;0;0;0;10330;95;8092;0;0;0;0
2011;779,00;0;0;253;317;0;0;0;0;0;0;5259;127736;0;0;0;0;53;7673;0;0;31;5265
2011;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0
2011;619,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;131,00;0;0;0;0;0;0;0;0;0;0;57;365;0;0;0;0;0;0;0;0;0;0
2011;375,00;0;0;0;0;0;0;0;0;0;0;1138;14421;0;0;0;0;0;0;0;0;0;0
2011;764,00;1567;2155;247;318;852;19874;0;0;26;119;18384;127085;2855;7147;2125;25856;89;13802;1;65;49;17028
2011;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;657,00;0;280;0;0;0;0;0;0;0;0;3972;30760;0;0;0;0;0;0;0;0;0;0
2011;362,00;409;114;0;0;0;0;0;0;0;0;1275;13534;0;0;0;0;0;0;0;0;0;0
2011;989,00;0;0;0;0;0;0;0;0;0;0;1512;19819;542;2079;284;1662;0;0;0;0;0;0
2011;990,00;0;0;0;0;0;0;0;0;0;0;2400;23160;480;1668;216;1510;0;0;0;0;0;0
2011;680,00;2574;1141;265;333;0;0;0;0;0;0;7640;236265;0;0;0;0;730;12817;0;0;26;9490
2011;411,00;7554;211;0;0;0;0;0;0;0;0;1736;18032;0;0;0;0;130;19487;0;0;0;0
2011;241,00;209;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;408;38281;0;0;0;0
2011;558,00;0;797;0;0;6732;6732;0;0;0;0;2213;199161;0;0;0;0;113;13967;12;2420;15;5612
2011;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;248,00;219;141;0;0;219;6078;0;0;120;649;1046;13518;0;0;0;0;217;21882;0;0;0;0
2011;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;591,00;736;0;155;155;717;17065;0;0;0;0;16669;382825;0;0;0;0;187;9298;0;0;4;686
2011;586,00;0;826;0;0;0;0;0;0;0;0;13082;393557;0;0;0;0;1170;13218;0;0;20;16928
