"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2011;1025,00;684;1298;0;0;0;751;0;9927;35168;0;0;0;70928;37;771;1540;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;429;926;0;0;0;2166;0;0;0;0;0;0;0;0;39;123;0;0;0;468;0;"Otros";0;0;0;0;0;0;0;11850;39055;0;0;0;74327;37
2011;803,00;61;306;0;180;0;453;0;183;1100;0;2201;0;531;0;15444;95152;9967;251950;2130;52968;0;0;0;0;0;0;0;0;6;17;0;138;0;19;0;30;188;0;60;0;635;0;0;0;0;0;0;0;0;71;394;0;123;0;755;0;"Otros";0;0;0;0;0;0;0;15795;97157;9967;254652;2130;55361;0
2011;211,00;39;45;0;0;14;100;0;478;1708;0;0;57;900;0;374;12699;0;0;139;9461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;897;14460;0;0;210;10461;0
2011;773,00;39;161;2;79;0;321;0;253;1321;167;523;142;414;0;18255;111027;14526;209949;2189;61712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;67;1;50;0;567;0;0;0;0;0;0;0;0;244;1834;0;0;0;1914;0;"Otros";0;0;0;0;0;0;0;18815;114410;14696;210601;2331;64928;0
2011;424,00;701;791;0;3511;321;596;0;4294;10020;0;54605;885;11102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506;512;0;1101;0;1657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;5501;11323;0;59217;1206;13355;0
2011;298,00;353;1116;0;2505;116;415;0;5408;20355;246;40409;564;19078;0;1156;2734;0;7790;444;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;238;0;530;1;439;0;0;0;0;0;0;0;0;38;85;0;13692;0;0;0;"Otros";0;0;0;0;0;0;0;7030;24528;246;64926;1125;20027;0
2011;594,00;1148;2840;0;33669;1154;7268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1148;2840;0;33669;1154;7268;0
2011;237,00;68;548;0;0;0;51;0;479;1226;0;0;0;2580;0;1421;20944;6211;1367;0;14604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;38;0;0;0;452;0;0;0;0;0;0;0;0;7;18;0;0;0;124;0;"Otros";0;0;0;0;0;0;0;1990;22774;6211;1367;0;17811;0
2011;16,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;7576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;80;7576;0;0;0;0;0
2011;768,00;1;5;0;138;1;41;0;13;43;0;190;3;321;0;1907;23031;5735;32581;1041;10971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;94;0;390;0;0;0;0;0;0;0;0;3;24;0;193;2;138;0;"Otros";0;0;0;0;0;0;0;1926;23107;5735;33196;1047;11861;0
2011;617,00;47;146;0;1289;2;1192;0;98;483;29;918;6;690;0;8954;42655;3647;121173;1949;63231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;118;0;115;3;947;0;172;724;0;95;2;363;0;47;171;0;1153;7;1202;0;"Otros";0;0;0;0;0;0;0;9340;44297;3676;124743;1969;67625;0
2011;297,00;634;2243;0;0;0;0;0;1087;2896;0;36722;0;4232;0;0;0;0;0;0;0;0;844;2922;0;0;0;0;0;0;0;0;0;0;0;0;1110;2065;0;5966;0;3397;0;0;0;0;0;0;0;0;6;26;0;410;0;847;0;"Otros";0;0;0;0;0;0;0;3681;10152;0;43098;0;8476;0
2011;105,00;10;7030;0;0;0;0;0;0;0;0;0;0;0;0;161;14502;1276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;171;21532;1276;0;0;0;0
2011;794,00;85;847;0;156;8;503;0;295;3914;0;947;30;726;0;40604;386321;44989;674704;6978;154151;648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;3866;0;911;25;1497;0;0;0;0;0;0;0;0;290;7388;0;1339;42;3211;0;"Otros";60;493;0;308;11;1153;0;41475;402829;44989;678365;7094;161241;648
2011;415,00;2;17;0;75;0;0;0;221;1137;1966;5782;0;46;7;827;6284;4177;17585;0;79;35;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1050;7438;6143;23543;0;125;42
2011;592,00;352;824;0;5446;0;266;0;4387;12453;0;66442;0;35798;0;2045;7906;0;31587;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368;722;0;5430;0;0;0;5;17;0;17;0;36;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;7157;21922;0;108922;0;36204;0
2011;497,00;465;1410;0;4578;0;162;0;1185;4880;0;48435;21;7201;0;1963;10069;0;271;10;102;0;325;1126;0;1605;2;1051;0;0;0;0;0;0;0;0;322;1145;0;5096;17;1028;0;0;0;0;0;0;0;0;389;1508;0;5425;9;785;0;"Otros";0;0;0;0;0;0;0;4649;20138;0;65410;59;10329;0
2011;726,00;11;33;0;101;0;100;0;84;604;0;359;0;223;0;13790;115340;19054;287107;1852;66627;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;496;0;1092;0;375;0;0;0;0;0;0;0;0;74;614;0;391;0;1443;0;"Otros";0;0;0;0;0;0;0;14006;117087;19054;289050;1852;68768;83
2011;272,00;76;823;0;0;33;145;0;1290;7319;0;6006;133;13668;0;4962;29948;0;13965;1689;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;429;0;655;3;988;0;0;0;0;0;0;0;0;50;622;0;4597;6;1201;0;"Otros";0;0;0;0;0;0;0;6437;39141;0;25223;1864;16235;0
2011;805,00;104;1018;0;384;0;1247;0;176;1898;0;501;0;730;0;35735;412310;31253;627361;5378;139175;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;1501;0;771;0;1346;0;48;401;0;283;0;539;0;249;3696;0;1023;0;2258;0;"Otros";11;70;0;70;0;146;0;36460;420894;31253;630393;5378;145441;554
2011;5,00;315;396;0;4352;412;0;0;402;801;197;23141;768;0;0;1329;3265;66;1406;986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;152;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;2049;4465;263;29051;2170;0;0
2011;234,00;390;1052;11;15305;216;462;0;3077;8863;466;66484;1021;20502;0;2229;5426;0;7376;468;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368;1452;0;3508;84;1586;0;0;0;0;0;0;0;0;165;6041;0;4455;22;1400;0;"Otros";0;0;0;99;0;6;0;6229;22834;477;97227;1811;24027;0
2011;64,00;54;5913;0;184;0;0;0;140;14652;0;889;0;0;0;14;9782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;208;30347;0;1073;0;0;0
2011;842,00;8;43;0;19;0;67;0;0;0;0;0;0;0;0;4271;26599;0;141588;2199;26840;407;5;12;0;10;2;77;0;0;0;0;0;0;0;0;9;20;0;71;9;183;0;0;0;0;19;2;38;0;15;146;0;196;7;544;0;"Otros";7;96;0;28;5;241;0;4315;26916;0;141931;2224;27990;407
2011;843,00;1;6;0;2;0;20;0;7;40;0;31;0;133;0;2672;17529;2155;56435;886;15686;207;1;17;0;25;0;0;0;0;0;0;0;0;0;0;10;70;0;41;1;188;0;10;107;0;42;1;82;0;14;76;0;0;0;304;0;"Otros";0;0;0;0;0;0;0;2715;17845;2155;56576;888;16413;207
2011;544,00;1;2;0;701;0;43;0;40;109;0;1436;0;857;0;4648;36219;4072;84236;1120;28582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;31;0;295;0;704;0;3;12;0;21;0;80;0;23;91;0;574;0;316;0;"Otros";0;0;0;0;0;0;0;4729;36464;4072;87263;1120;30582;0
2011;804,00;83;375;0;92;5;1320;0;41;266;19;503;7;785;0;6706;37483;1140;122695;3165;52277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;197;0;536;4;1120;0;0;0;0;0;0;0;0;58;580;0;2483;13;966;0;"Otros";0;0;0;0;0;0;0;6924;38901;1159;126309;3194;56468;0
2011;470,00;4;6;0;158;0;308;0;184;374;0;4795;0;2379;0;1761;8102;635;26621;454;13838;89;0;0;0;0;0;0;0;43;10958;3072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1992;19440;3707;31574;454;16525;89
2011;104,00;0;0;1;0;0;0;0;0;0;1;0;0;0;0;437;32427;4473;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;437;32427;4476;0;0;0;0
2011;20,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;15164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;35;15164;0;0;0;0;0
2011;550,00;1;7;0;676;10;198;0;175;697;0;2834;29;2730;0;4501;24384;0;89447;1866;36971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;59;0;443;0;642;0;0;0;0;0;0;0;0;46;285;0;3525;8;953;0;"Otros";0;0;0;0;0;0;0;4741;25432;0;96925;1913;41494;0
2011;112,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;7552;6008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;29;7552;6008;0;0;0;0
2011;818,00;40;10016;0;0;0;0;0;0;0;0;0;0;0;0;291;23326;6544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;331;33342;6544;0;0;0;0
2011;914,00;1;8;0;0;0;0;0;8;442;0;0;0;0;0;563;40186;9291;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;572;40636;9291;553;0;0;0
