"año";"NCODI";"70_tIngresos";"700_particular";"701_AsegPriv";"701_1_AsistSanitaria";"701_2_AccTrafic";"702_MATEPSS";"704_SNS";"705_1_FdirectaSS";"705_2_FdirectaAPriv_MATEPSS";"706_OyEntiPublica";"708_bonificaciones";"709_Otros_Ips";"74_Total_Subvencion";"740_subvenciones";"741_otraSubvencion";"7X_restoIngresos";"total_ventasIngresos";"70_Hospital";"70_consulExter";"70_CMA";"70_hospDia";"70_Urgencia";"70_hospDom";"700_Hospital";"700_consulExter";"700_CMA";"700_hospDia";"700_Urgencia";"700_hospDom";"701_Hospital";"701_consulExter";"701_CMA";"701_hospDia";"701_Urgencia";"701_hospDom";"701_1Hospital";"701_1consulExter";"701_1CMA";"701_1hospDia";"701_1Urgencia";"701_1hospDom";"701_2Hospital";"701_2consulExter";"701_2CMA";"701_2hospDia";"701_2Urgencia";"701_2hospDom";"702_Hospital";"702_consulExter";"702_CMA";"702_hospDia";"702_Urgencia";"702_hospDom";"704_Hospital";"704_consulExter";"704_CMA";"704_hospDia";"704_Urgencia";"704_hospDom";"705_1Hospital";"705_1consulExter";"705_1CMA";"705_1hospDia";"705_1Urgencia";"705_1hospDom";"705_2Hospital";"705_2consulExter";"705_2CMA";"705_2hospDia";"705_2Urgencia";"705_2hospDom";"706_Hospital";"706_consulExter";"706_CMA";"706_hospDia";"706_Urgencia";"706_hospDom";"708_Hospital";"708_consulExter";"708_CMA";"708_hospDia";"708_Urgencia";"708_hospDom"
2011;453,00;15883396;19083;2064;0;2064;2647;10300;15847845;0;1457;0;0;0;0;0;0;15883396;6129;2281;0;0;5466;0;0;115;0;0;251;0;0;0;0;0;2064;0;0;0;0;0;0;0;0;0;0;0;2064;0;0;0;0;0;2647;0;6129;1213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;953;0;0;504;0;0;0;0;0;0;0
2011;145,00;1184099;0;0;0;0;0;1184099;0;0;0;0;0;716467;145827;570640;6627;1907193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;511,00;82956476;153702;1256814;390558;866256;101536;1906162;79538262;0;0;0;0;0;0;0;0;82956476;2002159;89587;1711;111;1162117;0;85040;5065;0;0;34707;0;283511;42429;0;111;893107;0;259172;5872;0;111;48529;0;24339;36557;0;0;844578;0;22617;3039;0;0;0;0;1610991;39054;1711;0;234303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;530,00;84724467;220368;2050295;195205;1855090;57868;393013;82002923;0;0;0;0;0;0;0;0;84724467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;6,00;19212909;4711438;13330704;13330704;0;0;1170767;0;0;0;0;0;0;0;0;91179;19304088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;161,00;11161719;0;0;0;0;0;0;11161719;0;0;0;0;26096;26096;0;0;11187815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;623,00;130909744;173596;1580931;394018;1186913;64712;773996;128292423;0;24086;0;0;0;0;0;0;130909744;942175;54380;6736;222;1488879;105443;73455;4893;949;111;68239;0;255377;11214;949;111;1282224;105443;228300;11214;949;111;84047;2543;27077;0;0;0;1198177;102900;6344;533;0;0;46742;0;606999;37702;4838;0;91548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;126;0;0;0;0;0;0;0
2011;489,00;3259785;378645;2502300;2502300;0;123437;0;0;0;0;0;255403;0;0;0;47058;3306843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;875,00;34612504;7240609;19607097;19099660;507437;119940;7347638;0;0;0;278378;18842;55939;54090;1849;867360;35535803;16069606;16275531;0;0;2248525;0;3063532;3762594;0;0;414483;0;9559223;8327768;0;0;1720106;0;9550600;8132937;0;0;1416123;0;8623;194831;0;0;303983;0;0;32109;0;0;87831;0;3228730;4110601;0;0;8307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218121;42459;0;0;17798;0
2011;908,00;5828655;1361092;563671;563671;0;542218;2952339;0;0;0;89617;319718;0;0;0;93036;5921691;3401230;1940311;0;77779;0;0;744564;612708;0;3820;0;0;212638;333159;0;17874;0;0;212638;333159;0;17874;0;0;0;0;0;0;0;0;98583;443635;0;0;0;0;2345445;550809;0;56085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;940,00;903337;897403;5934;5934;0;0;0;0;0;0;0;0;0;0;0;796;904133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2011;781,00;173738806;119560;1284597;665097;619500;363787;171960619;0;0;10243;0;0;4745094;4745094;0;1456318;179940218;91703808;22807443;0;0;0;0;97193;1827;0;0;0;0;655181;75634;0;0;0;0;431535;75634;0;0;0;0;223646;0;0;0;0;0;156707;19229;0;0;0;0;90794727;22709845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;908;0;0;0;0;0;0;0;0;0;0
