"año";"NCODI";"ccaa_Codigo";"ccaa";"cod_finalidad_agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2012;113,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2012;619,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2012;163,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2012;131,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2012;375,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2012;1090,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2012;764,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2012;14,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2012;657,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2012;362,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2012;989,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2012;990,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2012;680,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;411,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;241,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;558,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;167,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;248,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;224,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;591,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;586,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;453,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2012;145,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2012;511,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;530,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;6,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;161,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2012;623,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;489,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;875,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;940,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2012;946,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;1023,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;1054,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;1057,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2012;1031,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2012;1032,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2012;1064,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2012;226,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2012;687,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2012;745,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2012;109,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2012;808,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
