"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2012;362,00;62;0;0;2;0;0;0;30;11;41;0;49;0;0;1;0;0;0;27;11;38;0;4;0;0;0;0;0;0;2;2;4;0;4;0;0;0;0;0;0;2;2;4;0;0;4;1;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;10;0;4;18;29;3;0;0;16;16;2;0;0;4;4;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0
2012;989,00;121;6;0;5;1;1;0;96;24;120;0;106;4;0;3;1;1;0;91;21;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;2;2;4;0;9;0;0;0;0;0;0;2;2;4;0;3;1;0;15;30;2;1;0;10;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;990,00;121;5;0;5;1;1;1;106;23;129;0;107;5;0;5;1;1;1;96;17;113;0;7;1;0;0;0;0;0;1;0;1;0;6;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;40;39;6;1;1;29;21;0;0;0;1;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
2012;680,00;938;26;0;21;0;0;0;712;88;800;3;767;25;0;14;0;0;0;693;73;766;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;7;89;222;313;19;7;21;191;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;411,00;82;4;0;3;0;0;0;84;15;99;0;63;4;0;2;0;0;0;73;13;86;0;21;0;0;0;0;0;0;15;8;23;0;17;0;0;0;0;0;0;15;5;20;0;3;5;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;6;0;6;35;50;4;0;0;24;31;0;0;0;6;7;0;0;0;4;2;0;0;2;0;1;0;0;0;0;0
2012;241,00;54;0;0;0;0;0;0;74;0;74;0;43;0;0;0;0;0;0;57;0;57;0;24;0;0;0;0;0;0;18;0;18;0;14;0;0;0;0;0;0;18;0;18;0;1;8;0;0;0;0;0;0;0;0;1;0;8;0;0;0;0;0;0;0;0;0;4;0;2;21;5;2;0;0;13;5;0;0;2;7;5;0;0;0;7;5;1;0;0;0;0;0;0;0;0;0
2012;558,00;315;11;0;10;0;0;1;184;38;222;0;273;11;0;4;0;0;1;175;30;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;26;80;128;7;1;3;69;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;167,00;2;0;0;0;0;0;0;5;0;5;0;2;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2012;248,00;89;0;0;3;0;0;0;48;14;62;0;68;0;0;3;0;0;0;43;9;52;0;18;0;0;2;0;0;0;15;2;17;0;16;0;0;1;0;0;0;14;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;30;17;44;1;0;22;12;31;0;0;0;1;10;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0
2012;113,00;75;0;0;0;1;0;0;154;0;154;0;69;0;0;0;1;0;0;119;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;10;28;45;3;8;0;22;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;619,00;38;0;0;0;0;0;0;26;0;26;6;36;0;0;0;0;0;0;19;0;19;6;9;0;0;0;0;0;0;15;0;15;3;8;0;0;0;0;0;0;13;0;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;20;26;2;0;0;17;20;0;0;2;6;3;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0
2012;163,00;19;0;0;0;0;0;0;10;2;12;0;18;0;0;0;0;0;0;7;1;8;0;2;0;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0;0;1;1;2;0;6;0;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;5;1;6;0;2;0;5;13;1;1;0;3;11;0;0;0;0;4;1;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0
2012;131,00;6;0;0;0;0;0;0;14;0;14;0;4;0;0;0;0;0;0;12;0;12;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;9;1;0;1;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;375,00;28;0;0;4;0;0;0;28;4;32;0;26;0;0;3;0;0;0;26;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;37;5;8;1;0;30;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1090,00;818;25;24;39;4;0;110;493;87;580;0;786;25;21;30;4;0;0;472;77;549;0;61;5;7;4;0;0;0;14;2;16;0;59;5;6;4;0;0;0;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;5;38;125;147;24;5;1;109;69;2;0;4;20;15;0;0;2;18;8;0;0;0;0;0;0;0;0;0;0
2012;764,00;880;25;0;34;7;2;0;628;151;779;0;791;23;0;24;7;2;0;608;129;737;0;57;1;0;1;0;0;0;21;9;30;0;52;1;0;1;0;0;0;21;9;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;13;72;245;334;15;12;3;193;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;14,00;21;0;0;0;0;0;0;18;1;19;0;17;0;0;0;0;0;0;18;0;18;0;9;0;0;0;0;0;0;2;0;2;0;8;0;0;0;0;0;0;2;0;2;0;1;4;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;6;4;12;0;0;6;4;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0
2012;657,00;121;6;0;9;0;0;0;101;26;127;0;102;4;0;7;0;0;0;100;23;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;43;49;1;2;0;30;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;224,00;20;0;0;0;0;0;0;17;6;23;0;15;0;0;0;0;0;0;13;5;18;0;2;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;11;12;3;0;0;8;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2012;591,00;483;18;0;14;1;0;0;382;60;442;3;384;18;0;6;1;0;0;373;53;426;3;39;1;0;2;0;0;0;16;1;17;0;31;1;0;1;0;0;0;15;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;32;160;149;12;5;17;122;68;0;0;0;3;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
2012;586,00;454;15;0;20;0;0;0;319;78;397;0;379;14;0;12;0;0;0;304;71;375;0;10;1;0;1;0;0;0;5;0;5;0;9;0;0;1;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;34;107;149;2;2;6;85;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;453,00;76;0;0;5;2;0;0;76;6;82;0;60;0;0;3;2;0;0;72;6;78;0;5;0;0;0;0;0;0;2;1;3;0;5;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;29;24;28;2;2;21;18;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;145,00;1;0;0;0;0;0;0;6;0;6;0;1;0;0;0;0;0;0;6;0;6;0;7;0;0;1;0;0;0;0;1;1;0;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;1;0;16;2;0;1;0;9;2;0;0;0;0;0;0;0;0;0;0;0
2012;511,00;286;15;0;11;0;0;0;203;43;246;0;230;15;0;9;0;0;0;201;37;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;19;112;83;7;3;10;91;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;530,00;280;17;0;16;0;0;0;255;40;295;0;221;15;0;12;0;0;0;254;37;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;16;82;97;6;1;6;56;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;6,00;29;0;0;0;0;0;0;82;0;82;0;24;0;0;0;0;0;0;62;0;62;0;7;0;0;0;0;0;0;10;0;10;0;7;0;0;0;0;0;0;10;0;10;0;2;6;0;5;0;1;0;0;0;0;0;0;6;0;4;0;1;0;0;0;0;0;6;0;22;14;0;2;0;18;12;0;1;0;2;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
2012;161,00;13;0;0;0;6;0;0;29;10;39;1;4;0;0;0;3;0;0;23;4;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;136;30;25;2;2;37;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;623,00;352;10;0;8;0;0;0;307;70;377;0;280;9;0;6;0;0;0;284;56;340;0;13;2;0;2;0;0;0;6;2;8;0;11;2;0;2;0;0;0;6;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;6;13;125;128;5;6;0;104;71;0;0;0;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2012;489,00;5;0;0;1;0;0;0;8;0;8;1;4;0;0;1;0;0;0;6;0;6;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;7;5;2;3;0;7;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;875,00;63;0;0;6;0;0;0;72;25;97;0;55;0;0;4;0;0;0;70;14;84;0;8;0;0;2;0;1;0;12;2;14;0;8;0;0;1;0;0;0;11;0;11;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;0;4;60;31;6;0;0;46;19;1;0;0;18;0;1;0;0;17;0;0;0;0;0;0;0;0;0;0;0
2012;940,00;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;2;1;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2012;946,00;49;4;0;2;0;0;65;0;0;0;0;38;4;0;1;0;0;49;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;36;46;0;2;0;26;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1023,00;318;13;0;16;0;1;0;279;32;311;0;247;11;0;10;0;1;0;198;23;221;0;17;4;0;0;0;0;0;6;3;9;0;15;4;0;0;0;0;0;6;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;104;39;1;2;0;79;29;10;1;0;19;12;2;1;0;13;12;0;0;0;0;0;0;0;0;0;0
2012;1054,00;232;10;0;6;0;1;3;127;23;150;4;199;9;0;3;0;1;3;111;19;130;1;11;2;0;0;0;0;0;4;1;5;0;11;2;0;0;0;0;0;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;1;0;70;43;16;1;0;55;14;2;0;0;4;1;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0
2012;1057,00;71;0;0;4;0;0;0;64;8;72;0;50;0;0;2;0;0;0;63;5;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;44;24;29;1;2;18;18;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1031,00;1;0;0;2;2;1;0;9;0;9;8;0;0;0;0;2;1;0;9;0;9;7;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2012;1032,00;202;10;2;8;0;1;0;140;32;172;0;163;10;1;5;0;1;0;127;22;149;0;11;0;0;0;0;0;0;1;3;4;0;9;0;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;74;49;1;3;0;54;3;9;0;0;21;0;3;0;0;15;0;0;0;0;0;0;0;0;0;0;0
2012;1064,00;37;4;0;4;0;0;0;25;0;25;0;29;3;0;2;0;0;0;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;3;0;0;11;2;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;226,00;40;0;0;1;0;0;1;42;11;53;0;30;0;0;1;0;0;0;39;7;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;9;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;10;0;9;23;15;4;0;3;20;3;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2012;687,00;170;9;1;5;1;0;0;121;41;162;0;137;8;1;3;0;0;0;115;31;146;0;41;6;0;1;0;0;0;19;11;30;0;37;5;0;0;0;0;0;19;9;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;9;66;66;8;1;3;51;48;4;0;0;11;19;3;0;0;11;16;0;0;0;0;0;0;0;0;0;0
2012;745,00;1136;40;0;24;7;0;0;788;170;958;0;956;34;0;16;5;0;0;722;130;852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;53;302;484;7;10;0;233;356;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;109,00;30;1;0;4;0;0;14;39;0;39;0;23;1;0;0;0;0;5;36;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;1;0;0;0;0;0;6;3;0;0;0;1;0;0;0;0;0;2;0;3;42;11;0;0;2;36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;808,00;338;23;0;12;0;0;0;300;90;390;0;273;18;0;8;0;0;0;275;74;349;0;5;0;0;4;0;0;0;4;0;4;0;5;0;0;3;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;2;90;107;0;20;2;64;79;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2012;971,00;48;0;0;4;0;0;0;33;15;48;0;32;0;0;2;0;0;0;26;13;39;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;21;22;3;0;0;19;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;128,00;16;0;0;1;0;0;0;14;4;18;0;15;0;0;0;0;0;0;14;3;17;0;3;0;0;0;0;0;0;1;1;2;0;3;0;0;0;0;0;0;0;0;0;0;2;3;0;2;0;1;0;0;0;0;0;0;3;0;2;0;1;0;0;0;0;0;1;0;10;5;7;0;0;10;4;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2012;919,00;390;8;0;7;3;0;0;297;53;350;0;353;8;0;3;3;0;0;249;48;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;38;122;219;4;6;0;83;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;725,00;839;29;3;24;2;1;0;637;145;782;0;680;25;3;16;2;1;0;626;113;739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;292;248;371;5;6;212;187;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;3,00;11;0;0;0;0;0;1;31;0;31;11;10;0;0;0;0;0;1;27;0;27;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;13;4;0;0;0;11;4;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2012;386,00;6;0;0;0;1;0;0;11;1;12;0;6;0;0;0;1;0;0;10;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;8;3;2;1;1;8;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;306,00;12;0;0;0;0;0;0;41;120;161;5;10;0;0;0;0;0;0;36;88;124;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;106;13;12;9;4;75;10;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;15,00;8;0;0;2;0;0;0;8;0;8;0;6;0;0;2;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;3;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;264,00;44;0;0;0;0;0;0;43;0;43;0;38;0;0;0;0;0;0;36;0;36;0;5;0;0;1;0;0;0;6;0;6;0;5;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;23;23;1;0;0;18;6;0;0;0;12;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
2012;867,00;7;0;0;0;0;0;0;9;0;9;0;5;0;0;0;0;0;0;9;0;9;0;1;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;1;3;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;0;6;3;2;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;910,00;238;6;3;6;0;0;0;213;49;262;0;190;3;1;3;0;0;0;204;43;247;0;24;0;0;2;0;0;0;14;4;18;0;24;0;0;2;0;0;0;14;4;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;2;73;94;111;5;2;40;72;50;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
