"año";"NCODI";"anatomia_centro";"diagnostico_centro";"dialisis_centro";"esterilizacion_centro";"laboratorio_centro";"rehabilitacion_centro";"otras_Asistenciales_centro";"anatomia_fuera";"diagnostico_fuera";"dialisis_fuera";"esterilizacion_fuera";"laboratorio_fuera";"rehabilitacion_fuera";"otras_Asistenciales_fuera";"cocina_centro";"lavanderia_centro";"limpieza_centro";"mantenimiento_centro";"seguridad_centro";"otros_NoAsistenciales_centro";"cocina_fuera";"lavanderia_fuera";"otros_NoAsistenciales_fuera";"oxigenoterapia_centro";"oxigenoterapia_fuera";"transporte_centro"
2012;113,00;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0
2012;619,00;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2012;163,00;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0
2012;131,00;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
2012;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2012;1090,00;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0
2012;764,00;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0
2012;14,00;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0
2012;657,00;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0
2012;362,00;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0
2012;989,00;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0
2012;990,00;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
2012;680,00;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0
2012;411,00;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1
2012;241,00;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
2012;558,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1
2012;167,00;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
2012;248,00;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1
2012;224,00;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0
2012;591,00;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;1;0;1;0;0;0;1
2012;586,00;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;1
2012;453,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0
2012;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;511,00;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;1;0
2012;530,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1
2012;6,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
2012;161,00;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0
2012;623,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;0
2012;489,00;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2012;875,00;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
2012;940,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2012;946,00;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1
2012;1023,00;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0
2012;1054,00;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1
2012;1057,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0
2012;1031,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
2012;1032,00;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0
2012;1064,00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2012;226,00;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0
2012;687,00;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0
2012;745,00;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1
2012;109,00;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0
2012;808,00;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;0;0;1;0
2012;971,00;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0
2012;128,00;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;919,00;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0
2012;725,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;3,00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
2012;386,00;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0
