"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2012;113,00;0;0;0;0;0
2012;619,00;0;0;0;0;0
2012;163,00;0;0;0;0;0
2012;131,00;0;0;0;0;0
2012;375,00;0;0;0;0;0
2012;1090,00;2473;360;2959;253;0
2012;764,00;1754;518;2319;243;0
2012;14,00;331;209;550;0;0
2012;657,00;276;133;410;4;0
2012;362,00;37;14;51;0;0
2012;989,00;310;83;396;59;0
2012;990,00;386;109;503;16;0
2012;680,00;1853;575;2480;253;0
2012;411,00;313;247;536;24;0
2012;241,00;288;452;737;43;0
2012;558,00;707;328;1045;58;0
2012;167,00;10;10;20;0;0
2012;248,00;0;0;0;0;0
2012;224,00;126;61;185;3;0
2012;591,00;1173;351;1564;174;0
2012;586,00;1097;319;1426;120;0
2012;453,00;0;0;0;0;0
2012;145,00;0;0;0;0;0
2012;511,00;766;345;1133;75;0
2012;530,00;1136;274;1431;65;0
2012;6,00;235;328;563;55;0
2012;161,00;0;0;0;0;0
2012;623,00;845;301;1172;93;0
2012;489,00;11;5;16;0;0
2012;875,00;0;0;0;0;0
2012;940,00;0;0;0;0;0
2012;946,00;219;90;309;11;0
2012;1023,00;961;247;1247;66;0
2012;1054,00;884;351;1254;82;0
2012;1057,00;0;0;0;0;0
2012;1031,00;0;0;0;0;0
2012;1032,00;1199;295;1519;96;0
2012;1064,00;120;69;189;15;0
2012;226,00;279;214;479;14;0
2012;687,00;937;229;1178;68;1
2012;745,00;2534;675;3314;299;0
2012;109,00;219;155;376;1;0
2012;808,00;2110;488;2621;168;0
2012;971,00;0;0;0;0;0
2012;128,00;0;0;0;0;0
2012;919,00;813;241;1049;54;0
2012;725,00;2041;606;2689;187;0
2012;3,00;0;0;0;0;0
2012;386,00;0;0;0;0;0
2012;306,00;0;0;0;0;0
2012;15,00;0;0;0;0;0
2012;264,00;293;156;448;0;0
2012;867,00;0;0;0;0;0
2012;910,00;354;263;638;25;0
2012;1053,00;830;334;1165;68;0
2012;1055,00;1116;398;1536;111;0
2012;529,00;0;0;0;0;0
2012;345,00;0;0;0;0;0
2012;515,00;0;0;0;0;0
2012;174,00;0;0;0;0;0
2012;523,00;0;0;0;0;0
2012;697,00;641;325;963;49;0
2012;239,00;0;0;0;0;0
2012;287,00;562;236;798;73;0
2012;377,00;0;0;0;0;0
