"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2012;272,00;0;0;0;0;0;0
2012;805,00;1865;25233;19;5281;0;0
2012;5,00;106;265;0;0;0;0
2012;234,00;92;562;0;0;0;0
2012;64,00;0;0;0;0;0;0
2012;842,00;0;0;0;0;0;0
2012;843,00;848;2598;0;0;0;0
2012;1025,00;0;0;0;0;0;0
2012;803,00;1371;11450;0;0;0;0
2012;211,00;0;0;0;0;0;0
2012;773,00;10492;15600;0;0;0;0
2012;424,00;0;0;0;0;0;0
2012;298,00;0;0;0;0;0;0
2012;594,00;0;0;0;0;0;0
2012;237,00;0;0;0;0;67;6012
2012;16,00;0;0;0;0;0;0
2012;768,00;293;927;0;0;77;5916
2012;617,00;1229;5614;0;0;0;0
2012;297,00;0;0;0;0;0;0
2012;544,00;0;0;0;0;38;4083
2012;804,00;1278;6016;0;0;0;0
2012;470,00;183;728;0;0;58;2890
2012;104,00;0;0;136;4289;0;0
2012;20,00;0;0;0;0;0;0
2012;550,00;108;771;0;0;0;0
2012;112,00;0;0;0;0;88;6068
2012;818,00;0;0;0;0;19;6640
2012;914,00;0;0;0;0;160;8538
2012;928,00;2385;19082;0;0;0;0
2012;964,00;6297;11977;0;0;0;0
2012;1026,00;0;0;0;0;44;3192
2012;1068,00;0;0;0;0;433;9948
2012;738,00;15955;42165;0;0;0;0
2012;404,00;0;0;0;0;0;0
2012;274,00;135;1190;22;870;0;0
2012;270,00;191;1227;0;0;0;0
2012;676,00;1570;3083;0;0;0;0
2012;709,00;475;3650;86;6172;0;0
2012;754,00;21317;27241;205;11899;0;0
2012;997,00;463;1854;0;0;0;0
2012;734,00;1529;7893;363;2546;1282;2530
2012;299,00;294;373;0;0;0;0
2012;645,00;0;0;0;0;0;0
2012;17,00;0;0;0;0;0;0
2012;1046,00;0;0;0;0;24;4662
2012;420,00;0;0;0;0;0;0
2012;802,00;0;0;0;0;0;0
2012;266,00;2472;2472;0;0;0;0
2012;580,00;0;0;0;0;0;0
2012;137,00;0;0;0;0;0;0
2012;769,00;680;2307;0;0;0;0
2012;776,00;1535;1994;0;0;0;0
2012;640,00;482;1929;0;0;0;0
2012;315,00;0;0;37;8546;0;0
2012;40,00;0;0;0;0;0;0
2012;508,00;0;0;0;0;0;0
2012;46,00;0;0;0;0;0;0
2012;590,00;934;3737;0;0;0;0
2012;777,00;999;1768;0;0;0;0
2012;897,00;9388;37552;325;1301;0;0
2012;965,00;0;0;0;0;0;0
2012;671,00;526;677;0;0;0;0
2012;461,00;4;31;0;0;0;0
2012;376,00;0;0;0;0;0;0
2012;621,00;424;1584;0;0;0;0
2012;793,00;3014;13968;35;4390;0;0
2012;324,00;0;0;0;0;0;0
2012;712,00;542;5435;1;1;1;1
2012;32,00;0;0;0;0;0;0
2012;361,00;0;0;0;0;173;2463
2012;486,00;0;0;0;0;0;0
2012;595,00;403;3334;0;0;0;0
2012;433,00;0;0;0;0;0;0
2012;1058,00;0;0;0;0;0;0
2012;261,00;0;0;0;0;0;0
2012;730,00;1464;3424;132;5270;0;0
2012;577,00;541;2381;0;0;0;0
2012;788,00;4353;24654;0;0;0;0
2012;865,00;0;0;0;0;0;0
2012;979,00;0;0;0;0;0;0
2012;998,00;0;0;0;0;0;0
2012;221,00;0;0;0;0;0;0
2012;462,00;0;0;0;0;0;0
2012;506,00;0;0;0;0;0;0
2012;727,00;1129;7787;0;0;0;0
2012;355,00;0;0;0;0;0;0
2012;487,00;0;0;0;0;0;0
2012;938,00;1696;11951;90;4272;0;0
2012;886,00;0;0;0;0;0;0
2012;835,00;152;608;0;0;0;0
2012;113,00;0;0;0;0;0;0
2012;619,00;135;512;0;0;0;0
2012;163,00;0;0;0;0;0;0
2012;131,00;0;0;0;0;0;0
2012;375,00;0;0;0;0;0;0
2012;1090,00;12445;39988;831;3325;0;0
2012;764,00;1830;11452;3339;10228;213;372
2012;14,00;0;0;0;0;0;0
2012;657,00;1612;1977;0;0;0;0
2012;362,00;0;0;0;0;0;0
2012;989,00;344;2513;0;0;0;0
2012;990,00;327;1661;0;0;0;0
2012;680,00;37178;49604;0;0;0;0
2012;411,00;271;1357;0;0;0;0
2012;241,00;156;896;0;0;0;0
2012;558,00;1944;54131;0;0;0;0
2012;167,00;0;0;0;0;0;0
2012;248,00;302;3246;0;0;0;0
2012;224,00;0;0;0;0;0;0
2012;591,00;3550;35498;0;0;0;0
