"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2012;113,00;0;0
2012;619,00;0;0
2012;163,00;0;0
2012;131,00;0;0
2012;375,00;0;0
2012;1090,00;1210;13142
2012;764,00;0;0
2012;14,00;0;0
2012;657,00;0;0
2012;362,00;0;0
2012;989,00;0;0
2012;990,00;0;0
2012;680,00;4119;26481
2012;411,00;0;0
2012;241,00;0;0
2012;558,00;1353;14702
2012;167,00;0;0
2012;248,00;0;0
2012;224,00;0;0
2012;591,00;474;13500
2012;586,00;2070;10178
2012;453,00;0;0
2012;145,00;0;0
2012;511,00;2188;8345
2012;530,00;960;6877
2012;6,00;0;0
2012;161,00;0;0
2012;623,00;915;10728
2012;489,00;0;0
2012;875,00;0;0
2012;940,00;0;0
2012;946,00;0;0
2012;1023,00;801;8101
2012;1054,00;1312;10437
2012;1057,00;0;0
2012;1031,00;0;0
2012;1032,00;772;81211
2012;1064,00;0;0
2012;226,00;0;0
2012;687,00;0;0
2012;745,00;184;411
2012;109,00;0;0
2012;808,00;0;0
2012;971,00;0;0
2012;128,00;0;0
2012;919,00;151;1552
2012;725,00;0;0
2012;3,00;0;0
2012;386,00;0;0
2012;306,00;0;0
2012;15,00;0;0
2012;264,00;0;0
2012;867,00;0;0
2012;910,00;0;0
2012;1053,00;0;0
2012;1055,00;0;0
2012;529,00;0;0
2012;345,00;0;0
2012;515,00;0;0
2012;174,00;0;0
2012;523,00;0;0
2012;697,00;0;0
2012;239,00;0;0
2012;287,00;0;0
2012;377,00;0;0
2012;692,00;350;5395
2012;335,00;0;0
2012;435,00;0;0
2012;423,00;0;0
2012;351,00;0;0
2012;830,00;0;0
2012;892,00;0;0
2012;921,00;0;0
2012;991,00;0;0
2012;992,00;0;0
2012;993,00;0;0
2012;1071,00;394;3009
2012;473,00;0;0
2012;663,00;192;217
2012;552,00;0;0
2012;772,00;443;5316
2012;568,00;0;0
2012;398,00;0;0
2012;394,00;0;0
2012;614,00;0;0
2012;235,00;0;0
2012;616,00;435;4735
2012;267,00;0;0
2012;565,00;0;0
2012;220,00;0;0
2012;278,00;0;0
2012;107,00;364;4029
2012;141,00;0;0
2012;711,00;0;0
2012;204,00;0;0
2012;579,00;0;0
2012;348,00;0;0
2012;766,00;0;0
2012;761,00;0;0
2012;728,00;0;0
2012;280,00;0;0
2012;222,00;0;0
2012;276,00;0;0
2012;11,00;0;0
2012;302,00;0;0
2012;682,00;0;0
2012;279,00;0;0
2012;282,00;0;0
2012;281,00;0;0
2012;183,00;0;0
2012;610,00;0;0
2012;116,00;0;0
2012;115,00;0;0
2012;114,00;199;1077
2012;126,00;0;0
2012;119,00;0;0
2012;770,00;954;9494
2012;583,00;470;4611
2012;136,00;0;0
2012;469,00;98;1376
2012;642,00;402;4475
2012;674,00;155;420
2012;193,00;0;0
2012;526,00;0;0
2012;698,00;589;7068
2012;630,00;0;0
2012;124,00;0;0
2012;364,00;0;0
2012;604,00;536;6422
2012;123,00;0;0
2012;310,00;209;3119
2012;571,00;0;0
2012;296,00;0;0
2012;566,00;285;4270
2012;784,00;879;11029
2012;102,00;0;0
2012;379,00;0;0
2012;639,00;434;3160
2012;457,00;123;123
2012;609,00;0;0
2012;101,00;0;0
2012;454,00;0;0
2012;318,00;0;0
2012;600,00;248;1141
2012;545,00;0;0
2012;100,00;0;0
2012;702,00;428;4451
2012;778,00;312;1487
2012;341,00;0;0
2012;99,00;837;6773
2012;767,00;509;3695
2012;359,00;0;0
2012;98,00;0;0
2012;132,00;0;0
2012;97,00;0;0
2012;103,00;0;0
2012;110,00;0;0
2012;94,00;0;0
2012;91,00;0;0
2012;664,00;0;0
2012;918,00;734;7538
2012;92,00;0;0
2012;95,00;0;0
2012;96,00;0;0
2012;301,00;0;0
2012;492,00;0;0
2012;811,00;0;0
2012;812,00;0;0
2012;832,00;0;0
2012;841,00;0;0
2012;856,00;0;0
2012;859,00;0;0
2012;861,00;0;0
2012;880,00;0;0
2012;883,00;0;0
2012;884,00;0;0
2012;877,00;0;0
2012;911,00;0;0
2012;913,00;0;0
2012;922,00;0;0
2012;923,00;0;0
2012;924,00;0;0
2012;947,00;0;0
2012;951,00;0;0
2012;972,00;0;0
2012;973,00;0;0
2012;974,00;0;0
2012;975,00;0;0
2012;960,00;0;0
2012;1027,00;0;0
2012;1028,00;0;0
2012;976,00;0;0
2012;977,00;0;0
2012;1020,00;0;0
2012;994,00;0;0
2012;995,00;0;0
2012;1060,00;0;0
2012;1005,00;0;0
2012;1061,00;0;0
2012;1006,00;0;0
2012;1088,00;0;0
2012;1089,00;0;0
2012;1076,00;0;0
2012;1078,00;0;0
2012;1033,00;298;327
2012;1036,00;0;0
2012;1037,00;0;0
2012;1039,00;0;0
2012;1067,00;0;0
2012;1065,00;0;0
2012;1066,00;0;0
2012;207,00;0;0
2012;431,00;4;8
2012;387,00;0;0
2012;179,00;0;0
2012;606,00;0;0
2012;925,00;377;18419
2012;541,00;0;0
2012;797,00;0;0
2012;627,00;0;0
2012;173,00;0;0
2012;636,00;0;0
2012;205,00;0;0
2012;814,00;0;0
2012;881,00;0;0
2012;771,00;158;933
2012;533,00;10;20
2012;447,00;0;0
2012;815,00;0;0
2012;801,00;0;0
2012;800,00;0;0
2012;389,00;0;0
2012;759,00;16;1280
2012;695,00;382;797
2012;816,00;0;0
2012;833,00;0;0
2012;870,00;0;0
2012;927,00;0;0
2012;961,00;205;1232
2012;962,00;0;0
2012;1079,00;0;0
2012;666,00;1020;11441
2012;392,00;0;0
2012;790,00;325;11085
