"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP";"otrasTexto"
2012;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3222;42313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3222;42313;0;0;"Otros"
2012;619,00;0;0;0;0;330;754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;754;0;0;"Otros"
2012;163,00;112;330;0;0;323;2665;0;0;0;0;0;0;373;589;0;0;0;0;0;0;1334;6203;0;0;267;1824;0;0;2676;13486;0;0;0;0;0;0;0;0;0;0;665;1480;0;0;250;800;0;0;581;2677;0;0;0;0;0;0;432;1266;0;0;0;0;0;0;0;0;0;0;7013;31320;0;0;"Otros"
2012;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2012;375,00;0;0;0;0;103;667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;349;1544;0;0;708;7153;0;0;1280;10157;0;0;"Otros"
2012;1090,00;4705;21969;0;0;3154;14402;0;0;2045;25935;11203;17695;3495;11171;1757;5329;477;4257;0;0;22396;144194;20;366;7047;29587;0;0;17969;53865;1917;7412;4506;26458;7452;31256;9332;43919;5364;14476;8105;19736;1835;3452;2398;13807;3876;21067;5646;17126;0;0;2492;16464;0;0;15964;16192;0;0;7786;22293;0;0;1130;6346;0;0;118647;487721;33424;101053;"Otros"
2012;764,00;2910;12231;0;0;3653;14298;0;0;11093;21826;0;0;3433;13882;0;0;3525;24897;0;0;25211;125270;0;0;5725;15053;0;0;16305;44291;0;0;9599;32110;0;0;22178;56022;0;0;7706;20367;0;0;4061;18014;0;0;9272;29651;0;0;0;14387;0;0;7639;7639;0;0;10452;31962;0;0;0;0;0;0;142762;481900;0;0;"Otros"
2012;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros"
2012;657,00;1029;3234;0;0;93;340;0;0;4140;6120;0;0;0;0;0;0;919;4248;0;0;5038;18954;0;0;2012;4800;0;0;4184;10980;0;0;2994;7660;0;0;4608;10905;0;0;2332;7119;0;0;1269;4364;0;0;0;0;0;0;526;1826;0;0;1836;1918;0;0;3218;9035;0;0;0;0;0;0;34198;91503;0;0;"Otros"
2012;362,00;342;660;0;0;1392;6689;0;0;2168;5778;0;0;666;2079;0;0;224;490;0;0;4085;13247;0;0;955;3120;0;0;4085;23254;0;0;406;1787;0;0;1659;3807;0;0;1094;3763;0;0;524;1912;0;0;6370;18007;0;0;657;5219;0;0;7379;7379;0;0;1300;13804;0;0;2124;17440;0;0;35430;128435;0;0;"Otros"
