"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;113,00;0;0;0;0;0
2012;619,00;11777;382;0;0;12159
2012;163,00;2397;37;0;0;2434
2012;131,00;0;0;0;0;0
2012;375,00;360;149;148;0;657
2012;1090,00;137743;20835;337;34;158949
2012;764,00;117915;16947;344;145;135351
2012;14,00;15506;346;454;0;16306
2012;657,00;27804;3085;278;34;31201
2012;362,00;8506;438;77;1;9022
2012;989,00;19456;2297;453;22;22228
2012;990,00;24944;3187;553;30;28714
2012;680,00;119708;19048;2546;90;141392
2012;411,00;32516;319;14;0;32849
2012;241,00;28006;2732;34;2;30774
2012;558,00;36571;7467;373;59;44470
2012;167,00;1825;109;5;0;1939
2012;248,00;7481;2714;130;3;10328
2012;224,00;17345;664;4;0;18013
2012;591,00;68020;12121;599;71;80811
2012;586,00;64036;13550;289;146;78021
2012;453,00;1045;133;0;0;1178
2012;145,00;0;0;0;0;0
2012;511,00;50736;10095;521;81;61433
2012;530,00;57512;11291;431;66;69300
2012;6,00;10781;997;0;0;11778
2012;161,00;0;0;0;0;0
2012;623,00;69415;12661;781;74;82931
2012;489,00;4653;560;36;1;5250
2012;875,00;27310;2275;50;3;29638
2012;940,00;0;0;0;0;0
2012;946,00;23451;4935;125;11;28522
2012;1023,00;55123;12422;269;60;67874
2012;1054,00;43751;8523;165;101;52540
2012;1057,00;0;0;0;0;0
2012;1031,00;0;0;0;0;0
2012;1032,00;65163;10277;231;54;75725
2012;1064,00;9669;1818;11703;0;23190
2012;226,00;31013;1799;45;2;32859
2012;687,00;47335;5855;1473;98;54761
2012;745,00;129246;15293;1172;118;145829
2012;109,00;42451;1734;9;0;44194
2012;808,00;99740;11240;764;120;111864
2012;971,00;51139;629;2169;8;53945
2012;128,00;9444;644;0;0;10088
2012;919,00;28620;9319;475;44;38458
2012;725,00;116241;21619;1257;104;139221
2012;3,00;0;0;0;0;0
2012;386,00;0;28;0;0;28
2012;306,00;0;0;0;0;0
2012;15,00;7995;34;46;0;8075
2012;264,00;27949;1866;137;0;29952
2012;867,00;6638;0;0;0;6638
2012;910,00;33148;7066;596;61;40871
2012;1053,00;52545;9585;1364;72;63566
2012;1055,00;57125;11570;2054;93;70842
2012;529,00;0;0;0;0;0
2012;345,00;0;0;0;0;0
2012;515,00;8970;435;0;0;9405
2012;174,00;0;0;0;0;0
2012;523,00;0;0;0;0;0
2012;697,00;67835;7896;460;3;76194
2012;239,00;35783;4929;198;7;40917
2012;287,00;49004;4028;49;3;53084
2012;377,00;0;0;0;0;0
2012;692,00;43190;6773;88;39;50090
2012;335,00;0;0;0;0;0
2012;435,00;13753;1404;128;36;15321
2012;423,00;8810;1464;0;0;10274
2012;351,00;14832;3402;136;15;18385
2012;830,00;53850;9071;468;50;63439
2012;892,00;81322;12262;586;103;94273
2012;921,00;68201;13301;73;5;81580
2012;991,00;14382;169;109;5;14665
2012;992,00;45032;5447;574;51;51104
2012;993,00;17754;4460;67;20;22301
2012;1071,00;106537;16603;454;146;123740
2012;473,00;21652;4247;45;0;25944
2012;663,00;101003;12334;4317;141;117795
2012;552,00;10520;12;882;1;11415
2012;772,00;67039;14327;1521;474;83361
2012;568,00;5221;281;0;0;5502
2012;398,00;5814;944;16;0;6774
2012;394,00;5702;334;7;0;6043
2012;614,00;0;0;0;0;0
2012;235,00;4734;147;13;0;4894
2012;616,00;41481;1838;2435;2;45756
2012;267,00;18193;2594;72;4;20863
2012;565,00;0;0;0;0;0
2012;220,00;11965;1515;35;3;13518
2012;278,00;14919;1190;81;3;16193
2012;107,00;0;0;0;0;0
2012;141,00;0;0;0;0;0
2012;711,00;101263;18036;12226;242;131767
2012;204,00;366;1;0;0;367
2012;579,00;102058;1050;20;0;103128
2012;348,00;0;0;0;0;0
2012;766,00;14612;1055;260;1;15928
2012;761,00;0;0;0;0;0
2012;728,00;38122;5848;188;21;44179
2012;280,00;34278;2220;137;3;36638
2012;222,00;706;103;0;2;811
2012;276,00;65813;3328;183;1;69325
2012;11,00;16050;3775;25;3;19853
2012;302,00;22431;323;67;0;22821
2012;682,00;12532;1697;181;12;14422
2012;279,00;62940;4221;69;1;67231
2012;282,00;85117;5916;136;0;91169
2012;281,00;39119;7050;64;28;46261
2012;183,00;725;0;0;0;725
2012;610,00;12158;33;0;0;12191
2012;116,00;0;0;0;0;0
2012;115,00;0;0;0;0;0
2012;114,00;0;0;0;0;0
2012;126,00;0;0;0;0;0
2012;119,00;55;13;0;0;68
2012;770,00;86086;11887;1671;104;99748
2012;583,00;50156;3482;781;25;54444
2012;136,00;0;0;0;0;0
2012;469,00;23878;2199;159;11;26247
2012;642,00;46303;6902;1106;59;54370
2012;674,00;95424;9998;188;2;105612
2012;193,00;0;0;0;0;0
2012;526,00;97069;10392;907;73;108441
2012;698,00;74620;9593;6351;302;90866
2012;630,00;51634;5207;635;30;57506
