"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2012;113,00;0;55973;55973;0;0;55973
2012;619,00;53526;324239;6590;317649;0;377765
2012;163,00;5105;153817;0;153817;0;158922
2012;131,00;0;0;0;0;0;0
2012;375,00;0;0;0;0;0;0
2012;1090,00;0;2358415;0;2358415;0;2358415
2012;764,00;9616;497047;0;497047;0;506663
2012;14,00;1245;314922;0;314922;0;316167
2012;657,00;0;34739;0;34739;0;34739
2012;362,00;1563;216526;0;216526;0;218089
2012;989,00;0;0;0;0;5022;5022
2012;990,00;0;5061;0;5061;0;5061
2012;680,00;0;1011389;0;1011389;0;1011389
2012;411,00;77295;2580115;0;2580115;0;2657410
2012;241,00;88777;630493;0;630493;0;719270
2012;558,00;0;369819;0;369819;0;369819
2012;167,00;0;0;0;0;0;0
2012;248,00;1054037;2680642;0;2680642;0;3734679
2012;224,00;14695;266240;0;266240;0;280935
2012;591,00;171788;367643;0;367643;0;539431
2012;586,00;0;296105;0;296105;0;296105
2012;453,00;0;0;0;0;0;0
2012;145,00;0;0;0;0;0;0
2012;511,00;0;209446;0;209446;0;209446
2012;530,00;0;82819;0;82819;70917;153736
2012;6,00;0;1837958;0;1837958;711037;2548995
2012;161,00;0;15000;0;15000;0;15000
2012;623,00;0;0;0;0;375091;375091
2012;489,00;0;1816050;425000;1391050;300000;2116050
2012;875,00;5939;171143;0;171143;0;177082
2012;940,00;0;0;0;0;0;0
2012;946,00;57872;57553;0;57553;0;115425
2012;1023,00;359477;1585697;0;1585697;0;1945174
2012;1054,00;0;0;0;0;0;0
2012;1057,00;0;0;0;0;0;0
2012;1031,00;1016;24854;0;24854;0;25870
2012;1032,00;165258;2072973;0;2072973;0;2238231
2012;1064,00;0;5778820;0;5778820;0;5778820
2012;226,00;56064;3731697;0;3731697;0;3787761
2012;687,00;0;0;0;0;0;0
2012;745,00;0;2844772;0;2844772;0;2844772
2012;109,00;70378;270105;0;270105;0;340483
2012;808,00;4888;1080992;0;1080992;0;1085880
2012;971,00;0;169171;0;169171;0;169171
2012;128,00;0;127779;0;127779;0;127779
2012;919,00;43474;833;833;0;0;44307
2012;725,00;0;219135;0;219135;0;219135
2012;3,00;0;5327;0;5327;0;5327
2012;386,00;0;23833;0;23833;0;23833
2012;306,00;0;0;0;0;0;0
2012;15,00;0;55238;0;55238;0;55238
2012;264,00;0;418938;0;418938;0;418938
2012;867,00;0;111142;0;111142;0;111142
2012;910,00;0;0;0;0;0;0
2012;1053,00;0;55927;0;55927;0;55927
2012;1055,00;0;0;0;0;0;0
2012;529,00;0;379;0;379;0;379
2012;345,00;0;4669;0;4669;0;4669
2012;515,00;25280;302689;0;302689;0;327969
2012;174,00;0;73122;0;73122;0;73122
2012;523,00;3696;301519;0;301519;4558012;4863227
2012;697,00;620;662339;662339;0;0;662959
2012;239,00;32691;1356287;0;1356287;0;1388978
2012;287,00;2745700;147881;0;147881;1477099;4370680
2012;377,00;0;1811;0;1811;0;1811
2012;692,00;0;184868;0;184868;0;184868
2012;335,00;0;39577;0;39577;24450;64027
2012;435,00;0;647659;0;647659;0;647659
2012;423,00;10203;4338646;0;4338646;0;4348849
2012;351,00;42675;379009;0;379009;0;421684
2012;830,00;0;125206;0;125206;0;125206
2012;892,00;0;342475;0;342475;0;342475
2012;921,00;4882;213365;0;213365;1000000;1218247
2012;991,00;0;20602;0;20602;0;20602
2012;992,00;0;63058;0;63058;0;63058
2012;993,00;0;59157;0;59157;0;59157
2012;1071,00;0;266580;0;266580;0;266580
2012;473,00;0;0;0;0;1;1
2012;663,00;149259;6670614;0;6670614;0;6819873
2012;552,00;0;325458;0;325458;0;325458
2012;772,00;2110637;10904869;0;10904869;12180663;25196169
2012;568,00;0;402691;0;402691;0;402691
2012;398,00;0;1780549;0;1780549;0;1780549
2012;394,00;0;940558;0;940558;0;940558
2012;614,00;0;39722;0;39722;0;39722
2012;235,00;0;2053568;0;2053568;0;2053568
2012;616,00;0;91229;0;91229;67682;158911
2012;267,00;6617;41125;0;41125;0;47742
2012;565,00;164272;226817;0;226817;0;391089
2012;220,00;7506;296781;0;296781;0;304287
2012;278,00;40364;697980;0;697980;0;738344
2012;107,00;18898;93136;0;93136;4681;116715
2012;141,00;0;438796;0;438796;0;438796
2012;711,00;0;6674675;0;6674675;97913;6772588
2012;204,00;0;224690;0;224690;0;224690
2012;579,00;0;274753;0;274753;0;274753
2012;348,00;16760;326968;0;326968;0;343728
2012;766,00;543202;1243756;0;1243756;0;1786958
2012;761,00;0;676798;0;676798;0;676798
2012;728,00;369565;5183411;0;5183411;0;5552976
2012;280,00;3489;4267950;0;4267950;0;4271439
2012;222,00;6438;334495;120760;213735;0;340933
2012;276,00;175766;314910;0;314910;157860;648536
2012;11,00;9236;158376;0;158376;0;167612
2012;302,00;18479;179451;0;179451;0;197930
2012;682,00;202417;858517;0;858517;7194;1068128
2012;279,00;0;67933;0;67933;0;67933
2012;282,00;0;0;0;0;1;1
2012;281,00;0;1805607;0;1805607;221207;2026814
2012;183,00;0;14300;0;14300;13600;27900
2012;610,00;0;303763;0;303763;0;303763
2012;116,00;0;30350;0;30350;0;30350
2012;115,00;0;9910;0;9910;0;9910
2012;114,00;0;35521;0;35521;0;35521
2012;126,00;0;133613;0;133613;0;133613
2012;119,00;3090;81003;0;81003;0;84093
2012;770,00;9433;1189720;0;1189720;0;1199153
2012;583,00;50998;282477;0;282477;0;333475
2012;136,00;0;27311;0;27311;0;27311
2012;469,00;1297;187095;0;187095;0;188392
2012;642,00;0;0;0;0;1;1
2012;674,00;232343;23636245;0;23636245;7980;23876568
2012;193,00;0;73440;0;73440;0;73440
2012;526,00;48417;577238;0;577238;0;625655
