"año";"NCODI";"Camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2013;113,00;"200 - 500 camas";0;0;0;0;219;0;0;0;0;0;0;0;1;0;0;0;0
2013;619,00;"Menos de 200 camas";1;2;5;1;69;1;2;5;1;3;0;4;0;0;4;0;1
2013;163,00;"Menos de 200 camas";0;0;4;0;20;0;0;4;0;5;0;0;0;0;0;9;4
2013;131,00;"Menos de 200 camas";0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
2013;375,00;"Menos de 200 camas";0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2013;1090,00;"501 - 1000 camas";23;3;23;2;685;23;3;23;2;11;5;44;4;0;40;0;2
2013;764,00;"501 - 1000 camas";13;2;15;1;624;13;2;15;1;17;0;16;56;8;32;0;0
2013;14,00;"Menos de 200 camas";3;2;3;0;42;3;2;3;0;1;0;0;0;0;0;0;0
2013;657,00;"Menos de 200 camas";3;2;4;0;80;3;1;3;0;3;0;1;0;0;3;1;1
2013;362,00;"Menos de 200 camas";2;1;3;1;65;2;1;3;1;7;0;0;0;0;8;0;0
2013;989,00;"Menos de 200 camas";0;1;4;0;52;0;1;2;0;4;0;5;0;0;0;0;0
2013;990,00;"Menos de 200 camas";1;1;4;0;77;1;1;4;0;2;0;10;0;0;0;8;0
2013;680,00;"501 - 1000 camas";24;3;27;2;755;24;3;27;2;12;3;36;0;0;3;0;0
2013;411,00;"Menos de 200 camas";4;2;7;2;104;4;2;7;2;3;0;6;0;0;0;0;0
2013;241,00;"Menos de 200 camas";3;2;7;1;96;3;2;7;1;2;0;6;0;0;2;0;0
2013;558,00;"200 - 500 camas";4;3;9;0;237;4;3;8;0;10;0;21;0;0;5;12;2
2013;167,00;"Menos de 200 camas";2;1;2;0;16;1;1;2;0;1;0;0;0;0;0;0;0
2013;248,00;"Menos de 200 camas";1;0;4;1;151;0;0;4;1;2;0;10;0;0;0;0;0
2013;224,00;"Menos de 200 camas";1;1;2;0;23;1;1;2;0;2;0;0;0;0;2;0;0
2013;591,00;"200 - 500 camas";15;2;15;1;401;15;2;15;1;10;0;57;0;0;0;0;4
2013;586,00;"200 - 500 camas";14;2;12;0;364;14;2;12;0;4;4;27;12;0;0;0;0
2013;453,00;"Menos de 200 camas";0;0;0;0;137;0;0;0;0;1;0;0;0;0;0;0;0
2013;145,00;"Menos de 200 camas";0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2013;511,00;"200 - 500 camas";11;2;9;0;257;11;2;9;0;6;3;10;0;0;0;14;0
2013;530,00;"200 - 500 camas";8;2;9;0;319;8;2;9;0;6;3;25;0;0;0;2;2
2013;6,00;"Menos de 200 camas";2;1;7;0;54;2;1;7;0;1;0;0;0;0;10;0;0
2013;161,00;"200 - 500 camas";0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0
2013;623,00;"200 - 500 camas";14;2;10;1;350;14;2;10;1;8;2;18;0;0;0;0;0
2013;489,00;"Menos de 200 camas";1;1;1;0;10;1;1;1;0;1;0;0;0;0;0;0;0
2013;875,00;"Menos de 200 camas";0;0;6;1;82;0;0;6;1;2;0;6;0;0;2;0;0
