"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2013;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;619,00;82;0;50;0;0;0;132;0;3;0;15;0;0;0;18;0;446;82;1824;45;0;0;2270;127;6;0;0;0;182;0;188;0;0;0;0;0;0;0;0;0;52;4;0;0;48;0;100;4;0;0;0;0;0;0;0;0;0;0;0;0;22;0;22;0;105;0;76;0;0;0;181;0;0;0;0;0;0;0;0;0;5;0;237;0;0;0;242;0;71;0;3;0;0;0;74;0;717;68;70;0;312;12;1099;80;62;3;0;0;197;9;259;12;0;0;0;0;0;0;0;0;1549;157;2275;45;761;21;4585;223
2013;163,00;79;0;201;0;5;0;285;0;0;0;0;0;0;0;0;0;84;0;24;0;886;0;994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;64;0;267;0;415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;2;0;1;0;33;0;632;0;245;0;43;0;920;0;83;0;70;0;122;0;275;0;0;0;0;0;0;0;0;0;992;0;606;0;1324;0;2922;0
2013;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1090,00;532;105;393;409;6;0;931;514;0;882;0;0;0;0;0;882;2107;990;439;106;1250;0;3796;1096;114;83;610;20;637;0;1361;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;3;266;1;12933;0;13248;4;812;1125;438;9;119;0;1369;1134;183;87;41;0;13;0;237;87;89;27;3475;593;354;0;3918;620;448;45;333;12;126;0;907;57;2427;684;336;305;108;0;2871;989;1354;57;216;11;469;0;2039;68;3;42;1;0;6;0;10;42;8118;4130;6548;1466;16021;0;30687;5596
2013;764,00;350;181;51;0;112;7;513;188;0;0;0;0;0;0;0;0;777;780;484;5;76;4;1337;789;184;19;39;0;22;0;245;19;230;104;177;1;136;0;543;105;294;7;106;2;85;0;485;9;310;38;0;0;0;0;310;38;1;0;157;0;50;0;208;0;353;798;94;1;192;110;639;909;386;154;4;0;3;0;393;154;40;26;2143;1;947;8;3130;35;286;53;263;0;106;1;655;54;1351;394;315;6;253;70;1919;470;779;181;172;0;191;2;1142;183;4;34;0;0;238;4;242;38;5345;2769;4005;16;2411;206;11761;2991
2013;14,00;42;0;328;0;0;0;370;0;0;0;0;0;0;0;0;0;383;24;967;0;0;0;1350;24;11;0;4;0;0;0;15;0;24;0;4;0;0;0;28;0;42;0;22;0;0;0;64;0;0;0;0;0;0;0;0;0;1;0;203;0;0;0;204;0;347;30;35;0;0;0;382;30;34;0;14;0;0;0;48;0;0;0;21;0;0;0;21;0;63;4;22;2;0;0;85;6;622;22;223;40;0;0;845;62;89;5;161;0;0;0;250;5;0;0;0;0;0;0;0;0;1658;85;2004;42;0;0;3662;127
2013;657,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;216;522;0;223;18;914;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;219;0;220;0;134;51;0;0;68;0;202;51;0;0;0;0;0;0;0;0;150;12;465;0;372;7;987;19;69;10;17;0;48;1;134;11;236;189;245;0;250;3;731;192;140;12;0;0;348;0;488;12;27;128;0;0;0;0;27;128;926;618;1249;0;1528;29;3703;647
2013;362,00;0;4;311;0;0;0;311;4;387;26;0;0;0;0;387;26;362;37;1280;0;0;0;1642;37;207;0;0;0;2424;0;2631;0;0;0;0;0;0;0;0;0;203;0;28;0;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;110;0;98;0;28;0;0;0;126;0;184;3;0;0;0;0;184;3;64;0;1302;0;0;0;1366;0;16;0;83;0;0;0;99;0;574;56;1792;0;0;0;2366;56;49;0;0;0;221;0;270;0;0;0;0;0;0;0;0;0;2144;126;4824;0;2755;0;9723;126
