"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2013;816,00;2432;0;0;0;0;0;0;0;0;2364;0;0;0;0;0;62089;0;0;0;3842;0;960;34;31
2013;833,00;3305;0;3;0;0;0;0;0;0;3540;0;0;0;0;0;77637;0;0;0;4114;0;1125;59;92
2013;870,00;1829;0;1;0;0;456;0;0;0;552;0;0;0;5512;0;16124;0;0;0;3452;0;596;0;0
2013;927,00;2642;0;0;0;0;0;0;0;0;527;0;0;0;4469;0;10751;0;0;0;0;0;0;0;0
2013;961,00;10034;0;9;0;0;0;0;2784;0;2613;0;0;0;0;0;191120;25242;0;0;12492;0;1672;307;0
2013;962,00;0;0;0;0;0;0;0;0;0;156;0;0;0;938;0;3060;0;0;0;407;0;0;0;0
2013;1079,00;0;0;0;0;0;672;0;0;0;1152;0;0;0;1917;0;5280;0;0;0;0;0;72;0;0
2013;1101,00;775;0;1;0;0;0;0;0;0;245;0;0;0;670;0;1094;0;0;0;418;0;241;45;4
2013;666,00;14983;0;69;2054;0;0;3091;0;0;4854;0;0;0;12378;0;96792;39980;0;0;16226;0;1155;1957;151
2013;392,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1934;0;0;0;0;0;0;0;0
2013;790,00;4424;0;0;0;0;4170;0;3969;0;3039;0;0;0;5569;0;20800;0;661;0;9081;0;1806;52;0
2013;650,00;6695;0;7;0;0;0;0;0;0;4566;0;0;0;0;0;57698;0;0;0;1881;0;941;73;0
2013;876,00;13238;0;31;0;0;0;0;0;0;2130;0;0;0;5502;0;48402;0;0;0;9395;0;1899;160;90
2013;944,00;0;0;0;0;0;0;0;0;0;0;0;0;0;1232;0;7169;0;0;0;220;0;0;0;0
2013;952,00;7775;0;0;0;0;936;0;0;0;3211;0;0;0;5713;0;26497;0;0;0;2721;0;1639;18;15
2013;54,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;367,00;3248;0;0;0;0;1369;0;0;0;21126;0;0;0;5249;0;14869;0;0;0;3309;0;420;5;0
2013;538,00;12323;0;8;0;0;0;0;0;0;4122;0;0;0;5140;0;89496;4465;0;0;8409;0;3908;146;340
2013;557,00;4556;0;0;0;0;0;0;0;0;2078;0;0;0;0;0;35430;0;0;0;3808;0;854;37;0
2013;653,00;6385;0;2;0;0;0;0;0;0;2706;0;0;0;4943;0;65009;5410;0;0;5812;151;1357;102;0
2013;647,00;4839;0;4;0;0;0;0;0;0;1943;0;0;0;0;0;52956;0;0;0;5058;0;393;27;0
2013;978,00;21228;0;13;481;0;3364;0;9038;0;2752;0;4075;0;6182;0;163533;12276;0;0;16975;383;2741;327;288
2013;996,00;0;0;0;0;0;0;0;0;0;707;0;0;0;4961;0;40308;0;0;0;3485;0;2358;67;7
2013;729,00;23602;0;45;1139;0;5917;0;6053;0;19887;0;2162;0;19684;0;317392;33272;650;0;38826;0;4280;1211;672
2013;182,00;5474;0;2;0;0;0;0;0;0;1789;0;0;0;4837;0;21758;0;0;0;6573;0;0;0;0
