"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2013;113,00;1951708;361361;137615;90;137525;3119;880020;569593;106;1071456;315419;756037;22330556;17456730;3766;4813920;56140;6042;4973;27074;25391915
2013;619,00;3903642;877534;1143040;249019;894021;1299160;31167;552741;9683;1435600;435935;999665;5826181;4428217;21500;1265052;111412;888636;144743;379987;12588472
2013;163,00;4347744;112761;841948;273554;568394;2179227;1130010;83798;15751;817835;197288;620547;2611722;1986042;66619;515886;43175;421174;1452968;1263685;10930879
2013;131,00;194501;68953;48137;0;48137;0;17548;59863;2520;326731;74147;252584;1137599;895021;10200;232378;0;6944;0;2568682;4236977
2013;375,00;776074;116625;196972;0;196972;26913;90114;345450;-109;153495;66119;87376;6599436;5152888;0;1439178;7370;0;29418;1351;7559665
2013;1090,00;82833306;34759230;31101987;9850098;21251889;4006493;10444528;2521068;-21651;8006081;3591372;4414709;191818295;152456658;226490;38042454;1092693;0;-665929;673491;282643593
2013;764,00;86329906;33387120;25933578;9085531;16848047;15565105;9674280;1769823;0;6687665;3854548;2833117;144159767;115651246;36348;28080134;392039;0;0;0;237177338
2013;14,00;2593455;1004867;777678;0;777678;352377;359450;99083;-24717;754033;238130;515903;1978333;1524828;0;450005;3500;255610;0;58270;5614984
2013;657,00;8633536;3198891;2340300;577127;1763173;605512;1963007;525826;0;903354;541378;361976;22883030;18940460;0;3942570;0;739442;0;0;33159362
2013;362,00;7211560;1137538;3151280;1416193;1735087;2137968;247325;537449;18951;926540;229595;696945;6242072;4823742;18000;1317387;82943;589812;-57833;69730;15000832
2013;989,00;6429023;2561586;1639567;558636;1080931;170446;1983951;73473;50905;2082406;1182424;899982;17663083;14605317;0;3053444;4322;0;0;0;26225417
2013;990,00;10625052;3749888;2118728;607968;1510760;841148;3217163;698125;0;0;0;0;20194564;15797605;7336;4385460;4163;0;0;0;30819616
2013;680,00;117568020;47978938;39073708;14098755;24974953;15981032;11544738;2989604;-947242;6701034;3952788;2748246;149841809;119064248;0;29437945;1339616;28210;0;0;273191831
