"año";"NCODI";"ccaa_Codigo";"ccaa";"cod_finalidad_agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2014;976,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;977,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1020,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;994,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2014;995,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1060,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;1005,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1061,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;1006,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1088,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2014;1089,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2014;1076,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;1078,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;1033,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2014;1037,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1039,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2014;1067,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1065,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1066,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2014;1100,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1105,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2014;1107,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2014;207,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"2";"Privados"
2014;431,00;"07";"CASTILLA Y LEÓN";"2";"Otros";"2";"Privados"
2014;387,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2014;179,00;"07";"CASTILLA Y LEÓN";"2";"Otros";"2";"Privados"
2014;606,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2014;925,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2014;541,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2014;797,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2014;627,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2014;173,00;"11";"EXTREMADURA";"2";"Otros";"1";"Públicos_SNS"
2014;636,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2014;205,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2014;814,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2014;881,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2014;771,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2014;533,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;447,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;815,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;801,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2014;800,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;389,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;695,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2014;816,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;833,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;870,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;927,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;961,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2014;962,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;1079,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2014;113,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2014;619,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2014;163,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2014;131,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2014;375,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2014;1090,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2014;764,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2014;14,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2014;657,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2014;362,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2014;989,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2014;990,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2014;680,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2014;411,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2014;241,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2014;558,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2014;167,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2014;248,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2014;224,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2014;591,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
