"año";"NCODI";"camas_instalada";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2014;113,00;214;0;0;0;0;214;0;0;0;0;0;0;0;1;0;0;0;0
2014;619,00;75;1;2;6;1;75;1;2;6;1;3;0;4;0;0;4;0;1
2014;163,00;20;0;0;4;0;20;0;0;4;0;5;0;0;0;0;0;9;4
2014;131,00;81;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0
2014;375,00;63;0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2014;1090,00;811;23;3;23;2;725;21;3;23;2;11;5;44;4;0;40;0;2
2014;764,00;738;13;2;15;1;635;13;2;15;1;17;0;16;56;8;32;0;0
2014;14,00;42;3;2;3;0;42;3;2;3;0;1;0;0;0;0;0;0;0
2014;657,00;135;3;2;4;0;73;1;1;3;0;2;0;1;0;0;1;0;0
2014;362,00;65;2;1;3;1;65;2;1;3;1;7;0;0;0;0;8;0;0
2014;989,00;93;0;1;4;0;53;0;1;3;0;4;0;5;0;0;0;0;0
2014;990,00;114;1;1;4;0;80;1;1;4;0;2;0;10;0;0;0;8;0
2014;680,00;806;24;3;27;2;738;24;3;27;2;12;3;36;0;0;3;0;0
2014;411,00;104;4;2;7;2;104;4;2;7;2;3;0;6;0;0;0;0;0
2014;241,00;96;3;2;7;1;96;3;2;7;1;2;0;6;0;0;2;0;0
2014;558,00;287;4;3;8;0;228;4;3;8;0;10;0;22;0;0;5;12;2
2014;167,00;26;2;1;2;0;16;1;1;2;0;1;0;0;0;0;0;0;0
2014;248,00;175;1;0;4;1;151;0;0;4;1;2;0;10;0;0;0;0;0
2014;224,00;23;1;1;2;0;23;1;1;2;0;2;0;0;0;0;0;0;0
2014;591,00;418;15;2;15;1;392;15;2;15;1;10;0;57;0;0;0;0;4
2014;586,00;410;14;2;12;0;364;14;2;12;0;4;4;27;12;0;0;0;0
2014;453,00;179;0;0;0;0;151;0;0;0;0;1;0;0;0;0;0;0;0
2014;145,00;96;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2014;511,00;286;11;2;9;0;265;11;2;9;0;6;3;10;0;0;0;14;0
2014;530,00;336;8;2;9;0;317;8;2;9;0;6;3;25;0;0;0;2;2
2014;6,00;66;3;1;8;0;54;3;1;8;0;1;0;0;0;0;10;0;0
2014;161,00;432;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0
2014;623,00;389;14;2;10;1;353;14;2;10;1;8;2;18;0;0;0;0;0
2014;489,00;10;1;1;1;0;10;1;1;1;0;1;0;0;0;0;0;0;0
2014;875,00;132;0;0;6;1;82;0;0;6;1;2;0;6;0;0;2;0;0
2014;940,00;22;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
2014;946,00;140;3;1;4;1;140;3;1;4;1;3;0;0;0;0;0;0;0
2014;1023,00;277;8;2;12;1;238;8;2;12;1;4;0;38;0;0;13;0;0
2014;1054,00;267;12;2;15;1;209;6;2;13;1;6;0;16;0;0;0;24;2
2014;1057,00;107;0;0;0;0;78;0;0;0;0;4;0;0;0;0;0;0;0
2014;1031,00;40;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
2014;1032,00;247;8;8;12;1;197;8;8;12;1;4;0;25;0;0;14;0;0
2014;1064,00;100;2;2;6;1;100;2;2;6;1;1;0;0;0;0;0;0;0
2014;226,00;82;2;1;5;1;82;2;1;5;1;2;0;0;0;0;0;0;0
2014;687,00;176;8;2;6;0;169;8;2;6;0;7;0;10;20;0;0;10;1
2014;745,00;746;46;3;16;2;704;46;3;16;2;22;10;71;42;0;0;19;2
2014;109,00;90;2;1;6;1;54;2;1;6;1;4;0;0;0;0;0;0;0
2014;808,00;309;8;8;9;0;282;6;8;9;0;6;0;0;22;0;16;0;0
2014;971,00;11;0;0;6;0;5;0;0;2;0;2;0;2;0;0;12;0;0
2014;128,00;33;1;1;3;0;33;0;0;3;0;1;0;3;0;0;2;2;1
2014;919,00;430;8;2;8;0;372;8;2;8;0;5;3;24;8;0;0;0;0
2014;725,00;919;32;3;32;2;832;32;3;30;2;16;0;91;0;0;0;20;2
2014;3,00;130;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0
2014;306,00;466;0;0;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0
2014;15,00;29;0;0;3;0;29;0;0;2;0;1;0;4;0;0;4;0;0
2014;264,00;77;3;1;4;0;77;3;1;4;0;2;0;0;0;0;0;0;0
2014;867,00;15;0;0;2;0;15;0;0;2;0;2;0;0;0;0;0;0;0
2014;910,00;227;2;1;10;0;204;1;1;8;0;7;0;16;0;0;0;0;0
2014;1053,00;340;7;2;8;0;303;7;2;8;0;6;1;10;0;0;0;14;3
2014;1055,00;381;8;3;14;1;372;8;3;14;1;18;0;30;0;0;0;39;6
2014;1081,00;100;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0
2014;1099,00;32;6;2;4;0;32;6;2;4;0;6;0;1;0;0;0;0;0
2014;529,00;100;0;0;0;0;86;0;0;0;0;1;0;0;0;0;0;0;0
2014;345,00;174;0;0;0;0;169;0;0;0;0;0;0;0;0;0;0;0;0
2014;515,00;40;0;0;3;0;40;0;0;3;0;2;0;0;0;0;0;0;0
2014;174,00;60;0;0;3;0;28;0;0;2;0;0;0;0;0;0;0;0;0
2014;523,00;151;0;0;3;0;157;0;0;3;0;2;0;0;0;25;0;0;0
2014;697,00;193;9;3;6;1;193;9;3;6;1;5;0;1;1;1;1;1;1
2014;239,00;196;0;0;5;1;104;0;0;4;1;3;0;10;0;0;0;0;0
2014;287,00;206;4;3;11;1;206;4;3;11;1;6;0;0;0;16;0;0;0
2014;377,00;106;0;0;0;0;95;0;0;0;0;1;0;0;0;0;0;0;0
2014;692,00;203;4;2;6;0;193;4;2;4;0;3;0;8;15;0;0;0;0
2014;335,00;160;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0
2014;435,00;67;2;1;4;1;67;2;1;4;1;1;0;0;0;0;0;0;0
2014;423,00;31;3;1;2;0;31;3;1;2;0;2;0;1;0;0;2;3;2
2014;351,00;85;0;0;3;0;52;0;0;2;0;2;0;0;0;0;0;2;1
2014;810,00;9;0;0;1;0;9;0;0;1;0;1;0;1;0;0;1;1;1
2014;830,00;224;6;2;8;0;208;6;2;8;0;3;0;7;0;0;10;0;2
2014;892,00;419;19;6;13;0;351;11;6;12;0;5;0;30;24;0;0;31;0
2014;921,00;170;5;4;8;1;170;5;4;8;1;2;0;0;0;0;6;6;0
2014;991,00;12;1;1;1;0;12;1;1;1;0;1;0;0;0;0;0;0;0
2014;992,00;165;6;1;6;0;160;2;1;6;0;4;0;7;15;0;8;12;1
2014;993,00;142;5;3;5;0;107;5;3;5;0;2;2;21;16;0;0;6;1
2014;1070,00;816;30;6;27;3;682;27;6;25;3;9;0;44;26;0;0;0;0
2014;1095,00;70;0;0;2;0;38;0;0;2;0;1;0;0;0;0;0;0;0
2014;1094,00;34;0;0;4;0;34;0;0;4;0;1;0;1;0;0;0;0;0
2014;473,00;67;27;6;6;0;67;27;6;6;0;2;0;1;0;0;0;0;4
2014;663,00;398;9;2;11;1;396;9;2;11;1;4;2;53;13;0;7;0;0
2014;552,00;96;0;0;6;0;88;0;0;6;0;4;0;16;0;0;14;0;0
2014;772,00;588;0;0;25;2;588;0;0;25;2;8;0;70;56;50;0;0;6
2014;568,00;51;0;0;2;0;31;0;0;2;0;2;0;0;0;0;0;0;0
2014;398,00;132;0;0;5;0;100;0;0;5;0;2;0;0;0;0;0;0;0
2014;394,00;55;0;0;2;0;55;0;0;2;0;2;0;0;0;0;0;0;0
2014;614,00;22;0;0;2;0;22;0;0;2;0;0;0;0;0;0;0;7;0
2014;235,00;58;0;0;4;0;14;0;0;3;0;2;0;0;0;0;0;0;0
2014;616,00;90;0;0;6;0;56;0;0;5;0;0;0;17;0;0;0;15;0
2014;267,00;163;4;2;9;1;155;4;2;9;1;0;0;0;0;0;0;0;0
2014;565,00;200;0;0;5;0;178;0;0;5;0;2;0;4;0;0;0;22;0
2014;220,00;138;3;3;9;0;138;3;3;9;0;3;0;17;0;0;0;0;0
2014;278,00;154;6;3;8;0;154;6;3;8;0;0;0;0;0;0;0;0;0
2014;107,00;112;0;0;0;0;112;0;0;0;0;0;0;0;15;55;0;0;0
2014;711,00;613;17;3;22;3;540;17;3;19;3;6;0;87;25;0;16;0;0
2014;204,00;116;0;0;0;0;116;0;0;0;0;1;0;0;0;22;0;0;0
2014;579,00;30;0;0;2;0;30;0;0;2;0;4;0;0;0;0;0;0;0
2014;348,00;152;0;0;2;0;139;0;0;2;0;1;0;70;0;0;0;0;0
2014;766,00;159;0;0;8;0;111;0;0;8;0;5;0;8;0;0;0;0;0
2014;761,00;317;0;0;0;0;317;0;0;0;0;0;0;0;25;60;0;0;0
2014;728,00;336;0;0;18;0;298;0;0;18;0;6;0;8;0;0;0;17;4
2014;280,00;154;12;4;11;1;154;12;4;11;1;3;0;10;0;0;0;6;3
2014;222,00;44;0;0;6;0;44;0;0;6;0;2;0;1;0;0;0;0;0
2014;276,00;184;10;3;14;1;184;10;3;14;1;8;0;13;0;0;18;0;0
2014;11,00;201;0;2;8;1;170;0;2;8;1;3;0;9;1;0;0;0;0
