"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2014;113,00;57;0;29;0;2;0;0;170;0;170;0;51;0;24;0;2;0;0;151;0;151;0;21;0;2;0;0;0;0;51;0;51;0;21;0;2;0;0;0;0;46;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;85;33;24;4;3;66;29;18;0;0;20;7;11;0;0;14;4;8;0;0;0;0;0;0;0;0;0;0
2014;619,00;50;5;0;0;0;0;0;38;0;38;11;44;4;0;0;0;0;0;25;0;25;9;21;1;0;0;0;0;0;14;0;14;3;19;0;0;0;0;0;0;13;0;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;27;28;3;0;0;23;26;0;0;1;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2014;163,00;19;0;0;0;0;0;0;12;0;12;0;18;0;0;0;0;0;0;7;0;7;0;2;0;0;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;4;0;4;0;6;0;0;0;0;0;0;5;1;6;0;0;0;0;0;0;0;0;5;1;6;0;8;0;0;11;1;4;0;0;9;0;0;0;0;4;1;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0
2014;131,00;6;0;0;0;0;0;0;15;0;15;0;6;0;0;0;0;0;0;12;0;12;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;375,00;34;0;0;4;0;0;0;43;3;46;0;32;0;0;4;0;0;0;40;2;42;0;20;0;0;5;0;0;0;5;2;7;0;18;0;0;2;0;0;0;5;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;47;12;18;0;0;38;9;10;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2014;1090,00;1046;27;19;49;7;0;2;748;154;902;0;973;27;17;43;7;0;1;709;135;844;0;320;7;5;23;0;0;3;172;22;194;0;304;7;5;20;0;0;2;164;19;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;6;312;383;373;16;6;219;325;242;3;0;30;42;24;2;0;21;40;12;0;0;0;0;0;0;0;0;0;0
2014;764,00;848;24;0;31;9;2;2;550;144;694;0;762;22;0;22;9;2;2;529;123;652;0;17;0;0;0;0;0;0;8;3;11;0;15;0;0;0;0;0;0;8;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;64;249;401;4;12;2;197;239;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2014;14,00;31;0;0;0;0;0;0;18;0;18;0;27;0;0;0;0;0;0;18;0;18;0;17;0;0;0;0;0;0;2;0;2;0;15;0;0;0;0;0;0;2;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;9;4;15;1;0;9;4;9;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
2014;657,00;118;6;0;7;0;0;0;100;26;126;0;101;4;0;6;0;0;0;99;23;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;13;45;45;1;2;0;31;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;362,00;56;0;0;2;0;0;0;26;13;39;0;44;0;0;1;0;0;0;24;12;36;0;7;0;0;0;0;0;0;4;3;7;0;7;0;0;0;0;0;0;4;3;7;0;0;3;0;1;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;10;0;4;17;38;3;0;0;15;24;1;0;0;4;4;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0
2014;989,00;130;6;0;7;3;1;0;87;21;108;0;110;4;0;4;2;1;0;83;19;102;0;11;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;10;29;1;1;0;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;990,00;102;6;0;4;1;1;1;100;21;121;0;91;6;0;4;1;1;1;91;14;105;0;18;0;0;1;0;0;0;3;3;6;0;18;0;0;1;0;0;0;3;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;37;36;6;1;1;28;18;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2014;680,00;919;27;2;21;0;0;0;705;102;807;0;741;25;2;13;0;0;0;679;86;765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;8;105;247;266;21;8;42;203;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;411,00;60;8;0;3;0;0;2;59;15;74;0;46;8;0;2;0;0;2;53;10;63;0;14;0;0;0;0;0;0;14;7;21;0;11;0;0;0;0;0;0;10;4;14;0;4;10;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;8;0;32;37;10;6;0;26;26;3;0;0;7;6;0;0;0;2;5;0;0;0;0;0;2;0;0;0;0;0
2014;241,00;52;0;0;0;0;0;0;72;0;72;0;42;0;0;0;0;0;0;54;0;54;0;18;0;0;0;0;0;0;25;0;25;0;14;0;0;0;0;0;0;25;0;25;0;0;9;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;4;0;3;23;19;2;0;0;14;18;0;0;2;10;11;0;0;0;10;11;0;0;0;0;0;0;0;0;0;0
2014;558,00;313;12;0;10;0;0;1;182;38;220;0;273;12;0;4;0;0;1;175;31;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;1;24;91;122;9;1;2;76;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;167,00;1;0;0;0;0;0;0;4;0;4;0;1;0;0;0;0;0;0;4;0;4;0;7;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2014;248,00;56;0;0;3;0;0;0;56;13;69;0;12;0;0;3;0;0;0;46;8;54;0;13;0;0;2;0;0;0;11;1;12;0;11;0;0;2;0;0;0;11;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;34;23;25;2;0;20;17;21;0;0;2;2;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
2014;224,00;20;0;0;0;0;0;0;17;6;23;0;15;0;0;0;0;0;0;13;5;18;0;2;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;11;12;4;0;0;8;9;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2014;591,00;484;17;0;13;0;0;0;380;63;443;4;387;17;0;6;0;0;0;371;56;427;4;45;3;0;1;0;0;0;22;1;23;0;35;3;0;1;0;0;0;21;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;5;27;158;150;12;5;16;119;67;0;0;0;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2014;586,00;450;15;1;20;0;0;1;320;76;396;0;375;14;1;14;0;0;1;305;70;375;0;17;2;0;1;0;0;0;6;0;6;0;14;2;0;1;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;22;119;151;5;2;3;89;87;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;453,00;80;0;4;6;2;1;0;83;5;88;2;64;0;4;4;2;1;0;81;4;85;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;17;23;36;1;2;13;16;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;145,00;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;6;0;6;0;8;0;0;1;0;0;0;1;1;2;0;6;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;1;15;2;0;0;1;9;2;0;0;0;0;0;0;0;0;0;0;0
