"año";"NCODI";"camas_medicina";"estancias_medicina";"altFinal_med";"altCuracion_med";"altTraslaHosp_med";"altExitus_med";"altOtracausa_med";"altTraslaInter_med";"camas_cirugia";"estancias_cirugia";"altFinal_cirugia";"altCuracion_cirugia";"altTraslaHosp_cirugia";"altExitus_cirugia";"altOtracausa_cirugia";"altTraslaInter_cirugia";"camas_trauma";"estancias_trauma";"altFinal_trauma";"altCuracion_trauma";"altTraslaHosp_trauma";"altExitus_trauma";"altOtracausa_trauma";"altTraslaInter_trauma";"camas_gine";"estancias_gine";"altFinal_gine";"altCuracion_gine";"altTraslaHosp_gine";"altExitus_gine";"altOtracausa_gine";"altTraslaInter_gine";"camas_pediatria";"estancias_pediatria";"altFinal_pediatria";"altCuracion_pediatria";"altTraslaHosp_pediatria";"altExitus_pediatria";"altOtracausa_pediatria";"altTraslaInter_pediatria";"camas_neonatologia";"estancias_neonatologia";"altFinal_neonatologia";"altCuracion_neonatologia";"altTraslaHosp_neonatologia";"altExitus_neonatologia";"altOtracausa_neonatologia";"altTraslaInter_neonatologia";"camas_restoPedia";"estancias_restoPedia";"altFinal_restoPedia";"altCuracion_restoPedia";"altTraslaHosp_restoPedia";"altExitus_restoPedia";"altOtracausa_restoPedia";"altTraslaInter_restoPedia";"camas_rehabilitacion";"estancias_rehabilitacion";"altFinal_rehabilitacion";"altCuracion_rehabilitacion";"altTraslaHosp_rehabilitacion";"altExitus_rehabilitacion";"altOtracausa_rehabilitacion";"altTraslaInter_rehabilitacion";"camas_mIntensiva";"estancias_mIntensiva";"aFinales_mIntensiva";"altCuracion_mIntensiva";"altTraslaHosp_mIntensiva";"altExitus_mIntensiva";"altOtracausa_mIntensiva";"altTraslaInter_mIntensiva";"camas_uci";"estancias_uci";"altFinal_uci";"altCuracion_uci";"altTraslaHosp_uci";"altExitus_uci";"altOtracausa_uci";"altTraslaInter_uci";"camas_uCoronarios";"estancias_uCoronarios";"altFinal_uCoronarios";"altCuracion_uCoronarios";"altTraslaHosp_uCoronarios";"altExitus_uCoronarios";"altOtracausa_uCoronarios";"altTraslaInter_uCoronarios";"camas_uNeonatales";"estancias_uNeonatales";"altFinal_uNeonatales";"altCuracion_uNeonatales";"altTraslaHosp_uNeonatales";"altExitus_uNeonatales";"altOtracausa_uNeonatales";"altTraslaInter_uNeonatales";"camas_uQuemados";"estancias_uQuemados";"altFinal_uQuemados";"altCuracion_uQuemados";"altTraslaHosp_uQuemados";"altExitus_uQuemados";"altOtracausa_uQuemados";"altTraslaInter_uQuemados";"camas_largaEstan";"estancias_largaEstan";"altFinal_largaEstan";"altCuracion_largaEstan";"altTraslaHosp_largaEstan";"altExitus_largaEstan";"altOtracausa_largaEstan";"altTraslaInter_largaEstan";"camas_psiquiatria";"estancias_psiquiatria";"altFinal_psiquiatria";"altCuracion_psiquiatria";"altTraslaHosp_psiquiatria";"altExitus_psiquiatria";"altOtracausa_psiquiatria";"altTraslaInter_psiquiatria";"camas_psiAgudo";"estancias_psiAgudo";"altFinal_psiAgudo";"altCuracion_psiAgudo";"altTraslaHosp_psiAgudo";"altExitus_psiAgudo";"altOtracausa_psiAgudo";"altTraslaInter_psiAgudo";"camas_psiquiMedia";"estancias_psiquiMedia";"altFinal_psiquiMedia";"altCuracion_psiquiMedia";"altTraslaHosp_psiquiMedia";"altExitus_psiquiMedia";"altOtracausa_psiquiMedia";"altTraslaInter_psiquiMedia";"camas_paliativos";"estancias_paliativos";"altFinal_paliativos";"altCuracion_paliativos";"altTraslaHosp_paliativos";"altExitus_paliativos";"altOtracausa_paliativos";"altTraslaInter_paliativos";"otros1_texto";"camas_o1";"estancias_o1";"altFinal_o1";"altCuracion_o1";"altTraslaHosp_o1";"altExitus_o1";"altOtracausa_o1";"altTraslaInter_o1";"otros2_texto";"camas_o2";"estancias_o2";"altFinal_o2";"altCuracion_o2";"altTraslaHosp_o2";"altExitus_o2";"altOtracausa_o2";"altTraslaInter_o2";"otros3_texto";"camas_o3";"estancias_o3";"altFinal_o3";"altCuracion_o3";"altTraslaHosp_o3";"altExitus_o3";"altOtracausa_o3";"altTraslaInter_o3";"camas_total";"estancias_total";"altFinal_total";"altCuracion_total";"altTraslaHosp_total";"altExitus_total";"altOtracausa_total";"altTraslaInter_total";"ingreProgr";"ingreUrge";"total_ingresosHops"
2014;989,00;27;7976;1215;1043;34;138;0;18;10;2173;522;507;8;7;0;52;8;1598;426;418;4;4;0;6;4;1255;528;518;10;0;0;12;3;998;371;364;7;0;0;1;0;0;0;0;0;0;0;0;3;998;371;364;7;0;0;1;0;0;0;0;0;0;0;0;1;320;22;3;11;8;0;102;1;320;22;3;11;8;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;53;14320;3084;2853;74;157;0;191;626;2439;3065
2014;990,00;38;15276;1820;1563;65;177;15;72;16;4829;849;785;41;20;3;179;10;2434;587;564;14;7;2;19;12;2172;819;783;29;0;7;9;4;864;309;287;19;0;3;0;0;0;0;0;0;0;0;0;4;864;309;287;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;80;25575;4384;3982;168;204;30;279;882;3521;4403
2014;680,00;342;100523;14680;13310;472;820;78;3538;159;43046;6955;6754;115;65;21;1854;51;12786;2592;2562;18;9;3;86;55;12927;3692;3672;1;1;18;80;82;14890;3287;3225;55;0;7;408;24;4941;642;617;25;0;0;70;58;9949;2645;2608;30;0;7;338;0;0;0;0;0;0;0;0;46;11172;437;126;58;253;0;1491;26;7105;282;1;45;236;0;1263;0;0;0;0;0;0;0;0;12;2932;32;7;11;14;0;211;8;1135;123;118;2;3;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;778;72;35;3;33;1;2;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;738;196122;31715;29684;722;1181;128;7459;13018;18668;31686
2014;411,00;36;11223;2135;2041;0;94;0;0;28;7509;2490;2485;0;5;0;0;12;4883;1415;1415;0;0;0;0;16;3189;894;894;0;0;0;0;6;558;119;117;2;0;0;0;4;339;87;85;2;0;0;0;2;219;32;32;0;0;0;0;0;0;0;0;0;0;0;0;6;1274;288;273;0;15;0;0;6;1274;288;273;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;104;28636;7341;7225;2;114;0;0;4362;2979;7341
2014;241,00;29;6813;1927;1812;35;67;13;0;16;2416;1293;1282;3;7;1;0;16;2342;1356;1346;8;1;1;0;20;2825;1028;1026;0;0;2;0;7;834;417;370;10;0;37;0;3;834;417;370;10;0;37;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;35;5;3;1;1;0;0;7;35;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48;5;4;0;0;1;0;1;48;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;96;15313;6031;5843;57;76;55;0;3328;2708;6036
2014;558,00;101;27243;4907;4423;110;363;11;439;49;13930;2431;2389;16;24;2;185;15;4530;869;834;24;10;1;24;32;5325;1716;1696;12;0;8;37;12;1755;660;621;36;0;3;16;6;683;206;189;17;0;0;1;6;1072;454;432;19;0;3;15;0;0;0;0;0;0;0;0;7;1681;162;103;13;45;1;378;7;1681;162;103;13;45;1;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2513;372;338;6;0;28;3;12;2513;372;338;6;0;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;228;56977;11117;10404;217;442;54;1082;2618;8493;11111
2014;167,00;3;174;88;85;3;0;0;0;4;568;425;425;0;0;0;0;5;512;440;437;3;0;0;0;1;131;41;41;0;0;0;0;1;18;18;18;0;0;0;0;1;18;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;16;1978;1012;1006;6;0;0;0;873;121;994
2014;248,00;45;13117;2202;2147;0;55;0;134;70;4368;1202;1199;0;3;0;46;17;2287;641;641;0;0;0;32;5;160;74;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3072;64;14;12;38;0;914;14;3072;64;14;12;38;0;914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;151;23004;4183;4075;12;96;0;1126;1672;2606;4278
2014;224,00;6;2977;628;527;78;23;0;0;6;1252;471;463;6;2;0;0;6;1387;276;270;4;2;0;0;3;1009;352;347;3;2;0;0;2;97;24;21;3;0;0;0;1;0;0;0;0;0;0;0;1;97;24;21;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;23;6722;1751;1628;94;29;0;0;715;1037;1752
2014;591,00;175;53841;8009;7407;213;389;0;670;74;17224;3436;3369;39;28;0;414;34;6217;1478;1465;5;8;0;44;33;7963;2101;2100;1;0;0;54;32;6089;816;775;41;0;0;33;18;3998;341;315;26;0;0;28;14;2091;475;460;15;0;0;5;0;0;0;0;0;0;0;0;29;6698;142;11;39;92;0;1187;20;5044;134;11;34;89;0;1078;0;0;0;0;0;0;0;0;9;1654;8;0;5;3;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3992;270;257;13;0;0;0;15;3992;270;257;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;392;102024;16252;15384;351;517;0;2402;4486;11769;16255
2014;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;67738;161;136;14;9;2;0;0;0;0;0;0;0;0;0;214;67738;161;136;14;9;2;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;214;67738;161;136;14;9;2;0;157;4;161
2014;619,00;16;2674;596;571;25;0;0;0;28;6565;2238;2235;3;0;0;0;18;4092;1352;1347;3;2;0;0;3;697;284;283;0;1;0;0;6;690;197;192;3;0;2;0;3;615;166;161;3;0;2;0;3;75;31;31;0;0;0;0;0;0;0;0;0;0;0;0;4;1101;255;245;3;7;0;0;4;1101;255;245;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;75;15819;4922;4873;37;10;2;0;4250;672;4922
2014;163,00;4;302;293;290;2;1;0;0;8;813;805;798;0;0;7;0;8;692;636;635;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;20;1807;1734;1723;3;1;7;0;1721;13;1734
2014;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1388;8;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4984;139;0;3;132;4;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;35;6372;147;0;8;134;5;0;158;0;158
2014;375,00;30;8230;294;224;42;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;8512;137;112;22;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;731;14;3;1;10;0;1;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;63;17473;445;339;65;39;2;1;300;145;445
2014;1090,00;305;107331;23119;21840;446;758;75;1681;168;29233;6267;6110;87;59;11;1297;80;20675;4432;4320;90;16;6;116;49;9983;4414;4396;12;0;6;42;36;6405;1199;1171;24;2;2;8;16;3260;384;373;10;1;0;1;20;3145;815;798;14;1;2;7;0;0;0;0;0;0;0;0;33;8051;244;17;87;139;1;121;33;8051;244;17;87;139;1;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;11283;743;645;85;1;12;94;45;10393;743;645;85;1;12;94;3;890;0;0;0;0;0;0;6;2837;373;174;27;171;1;196;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;725;195798;40791;38673;858;1146;114;3555;18255;22537;40792
2014;764,00;243;82083;9613;8714;151;710;38;1272;118;35843;6526;6382;58;64;22;867;37;9364;1864;1798;39;25;2;72;43;10629;3419;3396;4;1;18;35;42;8804;1993;1976;14;0;3;154;17;4102;488;483;5;0;0;47;25;4702;1505;1493;9;0;3;107;0;0;0;0;0;0;0;0;42;10478;328;62;81;181;4;2050;27;6859;205;13;46;144;2;1335;6;1440;62;9;22;29;2;485;9;2179;61;40;13;8;0;230;0;0;0;0;0;0;0;0;6;1088;61;43;0;15;3;6;95;15818;1332;1293;19;1;19;9;33;7690;835;825;2;1;7;9;62;8128;497;468;17;0;12;0;9;3036;284;135;0;147;2;6;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;635;177143;25420;23799;366;1144;111;4471;7501;17886;25387
2014;14,00;16;2889;714;646;17;45;6;0;8;1386;623;611;6;1;5;0;7;1204;652;650;0;0;2;0;10;1886;888;885;3;0;0;0;1;2;2;1;1;0;0;0;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;42;7367;2879;2793;27;46;13;0;2252;627;2879
2014;657,00;30;10805;1479;1293;31;141;14;164;16;4682;1181;1112;36;29;4;31;6;1681;443;434;3;5;1;0;11;2115;784;770;12;0;2;1;6;1474;521;512;8;0;1;0;0;0;0;0;0;0;0;0;6;1474;521;512;8;0;1;0;0;0;0;0;0;0;0;0;4;1131;58;35;6;16;1;127;4;1131;58;35;6;16;1;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;73;21888;4466;4156;96;191;23;323;1018;3470;4488
