"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2014;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;619,00;0;0;0;0;0;0;0;0;0;1204;0;0;0;4050;0;10872;0;0;0;1260;0;0;0;0
2014;163,00;1;0;0;0;0;759;0;0;0;997;0;0;0;5431;0;7286;0;0;0;1709;0;;;
2014;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2014;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2212;0;0;0;0;0;0;0;0
2014;1090,00;34136;0;178;52;0;0;0;0;0;4193;0;0;0;0;0;135921;0;0;0;24384;0;0;0;0
2014;764,00;20744;0;35;451;0;2681;0;0;0;5420;0;0;0;6512;0;188507;0;0;0;24687;0;3047;586;446
2014;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;406;0;0
2014;657,00;4807;0;0;0;0;0;0;0;0;1429;0;0;0;0;0;41419;0;0;0;5024;0;1280;56;0
2014;362,00;2500;0;0;0;0;0;0;1167;0;23216;0;0;0;6864;0;8991;0;0;0;1788;0;487;0;0
2014;989,00;0;0;0;0;0;0;0;0;0;1060;0;0;0;0;0;29832;0;0;0;4471;0;819;55;0
2014;990,00;0;0;0;0;0;0;0;0;0;1241;0;0;0;0;0;45538;0;0;0;4935;0;903;266;0
2014;680,00;26316;0;32;3878;0;4592;0;0;0;6284;0;0;0;9701;0;163248;25484;0;0;23204;0;3871;1003;219
2014;411,00;5928;0;0;298;0;5238;0;0;0;3346;0;0;0;6451;0;30481;0;0;0;4559;0;987;25;18
2014;241,00;2676;0;0;0;0;0;0;0;0;297;0;0;0;0;0;20855;0;0;0;0;0;0;0;0
2014;558,00;9073;0;5;0;0;2741;0;0;0;4309;0;0;0;8220;0;73400;0;0;0;10720;0;1607;196;100
2014;167,00;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;1208;0;0;0;20;0;0;0;0
2014;248,00;1815;0;0;202;0;606;0;1334;0;923;0;1007;0;16104;0;23664;0;0;0;10178;0;536;33;0
2014;224,00;893;0;0;0;0;534;0;0;0;1015;0;0;0;1812;0;9516;0;0;0;1489;0;337;0;0
2014;591,00;16483;0;14;0;0;2564;0;0;0;2525;0;0;0;8515;0;79939;0;0;0;12775;0;3030;306;121
2014;586,00;18462;0;26;0;0;2122;0;0;0;5090;0;0;0;6216;0;149621;0;0;0;21130;0;3019;205;130
2014;453,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19394;0;0;0;3510;0;588;11;0
2014;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;511,00;12958;0;8;0;0;0;0;0;0;4243;0;0;0;0;0;74887;16958;0;0;11849;0;3510;247;75
2014;530,00;17711;0;18;0;0;0;0;0;0;2073;0;0;0;7003;0;67787;29661;0;0;13581;0;5494;309;91
2014;6,00;742;0;0;164;0;1931;0;984;0;3302;0;453;0;8358;0;18609;0;0;0;5119;0;0;10;0
2014;161,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;623,00;17624;0;4;0;0;0;4819;9941;0;9679;0;0;0;5442;0;108897;18676;0;0;18654;0;2239;1554;55
2014;489,00;130;0;0;0;0;0;0;0;0;121;0;0;0;250;0;1548;0;0;0;140;0;10;0;0
2014;875,00;3570;0;0;8;0;1295;0;395;0;2615;0;290;0;4720;0;37878;0;47;0;6119;0;945;81;13
2014;940,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;946,00;4533;0;0;156;0;992;0;282;0;1877;0;0;0;5471;0;24758;0;0;0;3995;0;647;44;12
