"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2014;794,00;0;945883;0;945883;0;945883
2014;415,00;0;206106;0;206106;0;206106
2014;592,00;15342;610623;0;610623;0;625965
2014;497,00;3924;4365708;0;4365708;0;4369632
2014;458,00;93063;1767301;0;1767301;0;1860364
2014;726,00;0;959107;0;959107;72942;1032049
2014;272,00;46668;382747;0;382747;0;429415
2014;805,00;0;91967;0;91967;0;91967
2014;5,00;0;930539;0;930539;0;930539
2014;234,00;134339;800771;106125;694646;0;935110
2014;64,00;0;8694;0;8694;0;8694
2014;842,00;0;0;0;0;0;0
2014;843,00;0;0;0;0;0;0
2014;803,00;0;648195;0;648195;0;648195
2014;211,00;664;152524;152524;0;0;153188
2014;773,00;0;854837;0;854837;0;854837
2014;424,00;0;304853;0;304853;0;304853
2014;298,00;0;763229;0;763229;0;763229
2014;594,00;4368;52671;0;52671;0;57039
2014;237,00;3579;437828;0;437828;0;441407
2014;16,00;0;572;0;572;0;572
2014;768,00;146317;209783;0;209783;0;356100
2014;617,00;153724;400845;0;400845;0;554569
2014;297,00;0;2752;0;2752;0;2752
2014;105,00;0;16692;0;16692;0;16692
2014;544,00;94559;286384;0;286384;0;380943
2014;804,00;1595;697657;0;697657;0;699252
2014;470,00;0;51192;0;51192;0;51192
2014;104,00;181466;38910;0;38910;0;220376
2014;20,00;0;0;0;0;1;1
2014;550,00;4976;445690;0;445690;0;450666
2014;112,00;473;1027257;0;1027257;0;1027730
2014;818,00;0;59190;0;59190;0;59190
2014;914,00;0;10034;0;10034;0;10034
2014;928,00;0;114090;0;114090;4587;118677
2014;964,00;229705;1059069;0;1059069;60000;1348774
2014;1026,00;0;50384;0;50384;0;50384
2014;1068,00;40400;13070;0;13070;0;53470
2014;1108,00;214775;1224014;0;1224014;0;1438789
2014;738,00;0;0;0;0;0;0
2014;404,00;12837;1007906;0;1007906;0;1020743
2014;274,00;23483;1889163;0;1889163;0;1912646
2014;270,00;11294;2038577;0;2038577;0;2049871
2014;676,00;0;0;0;0;0;0
2014;709,00;0;112689;0;112689;0;112689
2014;754,00;0;0;0;0;0;0
2014;997,00;0;14078;0;14078;0;14078
2014;734,00;0;777534;0;777534;0;777534
2014;299,00;0;188047;0;188047;0;188047
2014;645,00;0;18321;0;18321;0;18321
2014;17,00;0;0;0;0;0;0
2014;1046,00;0;0;0;0;0;0
2014;420,00;16472;209844;0;209844;3920;230236
2014;802,00;0;201245;0;201245;0;201245
2014;266,00;101564;1190415;0;1190415;0;1291979
2014;137,00;0;219725;0;219725;0;219725
2014;769,00;0;70178;0;70178;0;70178
2014;776,00;108708;447393;0;447393;0;556101
2014;640,00;97387;698179;0;698179;0;795566
2014;315,00;0;1656571;0;1656571;0;1656571
2014;40,00;2880;162161;0;162161;0;165041
2014;508,00;24094;549338;0;549338;0;573432
2014;46,00;3291;8156;0;8156;0;11447
2014;590,00;49403;1854133;0;1854133;0;1903536
2014;777,00;134024;164942;0;164942;0;298966
2014;897,00;1402974;1970999;0;1970999;0;3373973
2014;965,00;913;31049;0;31049;0;31962
2014;671,00;0;92420;0;92420;0;92420
2014;461,00;0;5526;0;5526;0;5526
2014;376,00;9022;104222;0;104222;0;113244
2014;621,00;0;70828;0;70828;0;70828
2014;793,00;0;288410;0;288410;0;288410
2014;1102,00;29608;5935495;0;5935495;0;5965103
2014;712,00;0;0;0;0;0;0
2014;32,00;0;0;0;0;0;0
2014;361,00;0;0;0;0;0;0
2014;486,00;0;90082;0;90082;0;90082
2014;595,00;0;87766;0;87766;0;87766
2014;433,00;0;12350;0;12350;0;12350
2014;1058,00;0;14243;0;14243;0;14243
2014;261,00;710;736477;0;736477;0;737187
2014;730,00;0;0;0;0;0;0
2014;577,00;0;0;0;0;73480;73480
2014;788,00;0;254434;0;254434;0;254434
2014;865,00;0;0;0;0;61849;61849
2014;979,00;0;0;0;0;35387;35387
2014;998,00;0;14852;0;14852;0;14852
2014;221,00;26000;180000;0;180000;0;206000
2014;506,00;0;233394;0;233394;0;233394
2014;727,00;336;613328;0;613328;0;613664
2014;355,00;4714;34153;0;34153;0;38867
2014;487,00;3294;180505;0;180505;0;183799
2014;938,00;0;505258;166623;338635;142204;647462
2014;886,00;0;26540;0;26540;0;26540
2014;835,00;2504;49774;0;49774;0;52278
2014;999,00;0;0;0;0;0;0
2014;798,00;88825;3235344;0;3235344;0;3324169
2014;504,00;64754;1092644;0;1092644;0;1157398
2014;247,00;11115;217586;0;217586;0;228701
2014;216,00;11294;137736;0;137736;0;149030
2014;654,00;0;1524339;390937;1133402;0;1524339
2014;65,00;0;18646;0;18646;0;18646
2014;472,00;151297;928468;0;928468;0;1079765
2014;427,00;0;35530;0;35530;0;35530
2014;491,00;19;385498;0;385498;0;385517
2014;551,00;1442;70641;0;70641;0;72083
2014;106,00;6000;5328748;0;5328748;0;5334748
2014;819,00;0;42996;0;42996;0;42996
2014;836,00;0;1000;0;1000;0;1000
2014;915,00;0;80369;0;80369;0;80369
2014;942,00;22642;282344;83116;199228;362370;667356
2014;748,00;0;0;0;0;306041;306041
2014;198,00;4717;89374;0;89374;0;94091
2014;871,00;14089;604196;0;604196;0;618285
2014;948,00;18783;400170;0;400170;0;418953
2014;1051,00;0;0;0;0;5272;5272
2014;1083,00;0;0;0;0;3936;3936
2014;1096,00;0;6995;0;6995;0;6995
2014;679,00;22897;201986;0;201986;0;224883
2014;176,00;30510;183000;0;183000;0;213510
2014;537,00;0;92288;0;92288;0;92288
2014;608,00;0;5964;0;5964;0;5964
2014;596,00;0;49562;0;49562;0;49562
2014;749,00;0;2807150;0;2807150;0;2807150
2014;758,00;0;1171900;0;1171900;0;1171900
2014;1104,00;0;1704005;0;1704005;0;1704005
2014;436,00;0;133065;0;133065;0;133065
2014;567,00;0;40352;0;40352;0;40352
2014;677,00;0;1400385;0;1400385;0;1400385
2014;670,00;0;20048;0;20048;0;20048
2014;588,00;0;101502;0;101502;0;101502
2014;753,00;0;1460549;0;1460549;0;1460549
2014;887,00;0;68781;0;68781;0;68781
2014;245,00;23205;1612071;0;1612071;0;1635276
2014;603,00;0;4050445;0;4050445;0;4050445
2014;426,00;3292;115521;0;115521;0;118813
2014;232,00;380906;6220184;0;6220184;0;6601090
2014;288,00;2481;546772;16103;530669;7804;557057
2014;246,00;19325;3149441;0;3149441;0;3168766
2014;284,00;97666;994513;0;994513;0;1092179
2014;18,00;0;1025331;0;1025331;0;1025331
2014;356,00;0;116705;0;116705;0;116705
2014;401,00;8773;790504;0;790504;0;799277
2014;733,00;42489;11489075;0;11489075;0;11531564
2014;243,00;39286;1462455;0;1462455;0;1501741
2014;380,00;0;271033;0;271033;2235;273268
2014;716,00;386700;2761809;0;2761809;0;3148509
2014;534,00;11031;16307714;3631700;12676014;0;16318745
2014;185,00;0;2108710;0;2108710;0;2108710
2014;258,00;90610;8262956;0;8262956;14406;8367972
2014;505,00;0;52170;0;52170;24201;76371
2014;268,00;45742;757546;0;757546;44506;847794
2014;602,00;0;3661122;0;3661122;0;3661122
2014;254,00;9509;1136731;0;1136731;6785;1153025
2014;705,00;4895;1555132;0;1555132;0;1560027
2014;133,00;0;104064;0;104064;0;104064
2014;33,00;0;0;0;0;0;0
2014;143,00;12688;297210;0;297210;0;309898
2014;36,00;0;12253;0;12253;0;12253
2014;756,00;0;2485030;0;2485030;0;2485030
2014;662,00;462;4398529;0;4398529;0;4398991
2014;192,00;0;433699;0;433699;0;433699
2014;382,00;43080;2062604;0;2062604;0;2105684
2014;322,00;0;1225305;0;1225305;0;1225305
2014;478,00;0;807119;0;807119;0;807119
2014;352,00;0;18134;0;18134;0;18134
2014;628,00;0;395113;0;395113;0;395113
2014;291,00;0;54985;0;54985;0;54985
