"Año";"NCODI";"ccaa_codigo";"ccaa";"cod_finalidad_agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2015,00;827,00;"01";"ANDALUCÍA";"2";"Otros";"1";"Públicos-SNS"
2015,00;933,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;1030,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2015,00;1003,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;1050,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;1043,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2015,00;712,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;32,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;361,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;486,00;"02";"ARAGÓN";"1";"Agudos";"2";"Privados"
2015,00;595,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;433,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;1058,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;658,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;353,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;323,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;620,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;737,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;765,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;329,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;87,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;527,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;562,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;251,00;"02";"ARAGÓN";"1";"Agudos";"2";"Privados"
2015,00;129,00;"02";"ARAGÓN";"2";"Otros";"2";"Privados"
2015,00;154,00;"02";"ARAGÓN";"2";"Otros";"2";"Privados"
2015,00;516,00;"02";"ARAGÓN";"1";"Agudos";"2";"Privados"
2015,00;184,00;"02";"ARAGÓN";"1";"Agudos";"2";"Privados"
2015,00;652,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;637,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos-SNS"
2015,00;88,00;"02";"ARAGÓN";"2";"Otros";"2";"Privados"
2015,00;907,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos-SNS"
2015,00;970,00;"02";"ARAGÓN";"2";"Otros";"2";"Privados"
2015,00;226,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2015,00;687,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;745,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;109,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2015,00;808,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;971,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
2015,00;771,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos-SNS"
