"año";"NCODI";"camas_instalada";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2015;113,00;203;0;0;0;0;203;0;0;0;0;0;0;0;1;0;0;0;0
2015;619,00;75;1;2;6;1;75;1;2;6;1;3;0;4;0;0;4;0;1
2015;163,00;20;0;0;4;0;20;0;0;4;0;5;0;0;0;0;0;9;4
2015;131,00;81;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0
2015;375,00;63;0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2015;1090,00;811;23;3;23;2;725;21;3;23;2;11;5;44;4;0;40;0;2
2015;764,00;738;13;2;16;1;642;13;2;16;1;17;0;16;56;8;32;0;0
2015;14,00;42;3;2;3;0;42;3;2;3;0;1;0;1;0;0;;0;1
2015;657,00;135;4;2;4;0;87;4;2;4;0;2;0;1;0;0;1;0;0
2015;362,00;65;2;1;3;1;65;2;1;3;1;7;0;0;0;0;8;0;0
2015;989,00;93;2;1;4;0;52;1;1;4;0;5;0;5;0;0;0;0;0
2015;990,00;114;1;1;4;0;87;1;1;4;0;2;0;10;0;0;0;8;0
2015;680,00;797;24;3;27;2;716;24;3;27;2;12;3;36;0;0;3;0;0
2015;411,00;106;4;1;9;2;106;4;1;9;2;3;0;6;0;0;0;0;0
2015;241,00;96;3;2;7;1;96;3;2;7;1;2;0;6;0;0;2;0;0
2015;558,00;287;4;3;8;0;227;4;3;8;0;10;0;18;0;0;0;11;1
2015;167,00;26;2;1;2;0;16;1;1;2;0;1;0;0;0;0;;;
2015;248,00;175;1;0;4;1;163;0;0;4;1;2;0;10;0;0;0;0;0
2015;224,00;23;1;1;2;0;23;1;1;2;0;2;0;0;0;0;0;0;1
2015;591,00;409;27;2;15;1;392;26;2;15;1;10;0;57;2;0;0;0;4
2015;586,00;367;14;2;12;0;365;12;2;12;0;4;4;29;12;0;0;0;0
2015;453,00;179;0;0;0;0;103;0;0;0;0;1;0;1;0;0;0;0;0
2015;145,00;96;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2015;511,00;286;11;2;9;0;270;11;2;9;0;6;3;10;0;0;0;14;0
2015;530,00;336;8;2;9;0;319;8;2;9;0;6;3;25;0;0;0;2;2
2015;6,00;66;3;1;8;0;55;3;1;8;0;1;0;0;0;0;10;0;0
2015;161,00;432;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0
2015;623,00;390;14;2;10;1;359;14;2;10;1;8;2;18;0;0;0;0;0
2015;875,00;109;0;0;7;1;84;0;0;7;1;2;0;6;0;0;2;0;0
2015;940,00;22;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2015;946,00;100;3;1;4;1;100;3;1;4;1;3;0;0;0;0;0;0;0
2015;1023,00;277;8;5;11;1;236;8;5;11;1;3;0;38;0;0;13;34;0
2015;1054,00;267;12;2;15;1;211;6;2;13;1;6;0;16;0;0;0;24;2
2015;1057,00;107;0;0;0;0;80;0;0;0;0;4;0;0;0;0;0;0;0
2015;1031,00;40;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0
2015;1032,00;230;8;8;12;1;194;8;8;12;1;4;0;25;0;0;14;0;0
2015;1064,00;100;2;2;6;1;100;2;2;6;1;1;0;0;0;0;0;0;0
2015;226,00;82;2;1;5;1;82;2;1;5;1;2;0;0;0;0;5;0;5
2015;687,00;197;8;2;6;0;172;8;2;6;0;7;0;10;20;0;0;10;1
2015;745,00;746;46;3;15;2;737;46;3;15;2;22;10;71;42;0;0;19;2
2015;109,00;86;3;2;6;1;54;3;2;6;1;4;0;0;0;0;0;0;0
2015;808,00;309;8;8;9;0;275;6;8;9;0;5;0;0;22;0;16;0;0
2015;971,00;11;0;0;6;0;5;0;0;2;0;2;0;2;0;0;12;0;0
2015;128,00;33;1;1;3;0;33;0;0;3;0;1;0;3;0;0;2;2;1
2015;919,00;430;8;2;8;0;390;8;2;8;0;5;3;24;8;0;0;0;0
2015;725,00;913;28;3;32;2;848;28;3;32;2;16;0;91;0;0;0;20;3
2015;3,00;101;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0
2015;306,00;281;0;0;0;0;281;0;0;0;0;0;0;0;0;0;0;0;0
2015;15,00;29;0;0;3;0;17;0;0;2;0;1;0;1;0;0;0;0;0
2015;264,00;77;3;1;3;0;77;3;1;3;0;2;0;0;0;0;0;0;0
2015;867,00;15;0;0;2;0;15;0;0;2;0;1;0;0;0;0;0;0;0
2015;910,00;227;2;1;11;0;200;2;1;11;0;8;0;16;0;0;1;10;1
2015;1053,00;327;7;2;8;0;300;7;2;8;0;6;1;10;0;0;0;14;3
2015;1055,00;381;8;3;14;1;374;8;3;14;1;18;0;30;0;0;0;39;6
2015;1081,00;100;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0
2015;1099,00;20;0;2;5;0;20;0;0;3;0;1;0;1;0;0;0;0;0
2015;529,00;100;0;0;0;0;90;0;0;0;0;1;0;0;0;0;0;0;0
2015;345,00;170;0;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0
2015;515,00;40;0;0;3;0;40;0;0;3;0;2;0;0;0;0;0;0;0
2015;174,00;60;0;0;3;0;44;0;0;2;0;0;0;0;0;0;0;0;0
2015;523,00;200;0;0;3;0;161;0;0;3;0;2;0;0;0;25;0;0;0
2015;697,00;193;9;3;6;1;193;9;3;3;1;5;0;1;1;1;1;1;1
2015;239,00;196;0;0;5;1;84;0;0;4;1;3;0;10;0;0;0;0;0
2015;287,00;287;4;3;11;1;287;4;3;11;1;6;0;0;0;16;0;0;0
2015;377,00;106;0;0;0;0;93;0;0;0;0;1;0;0;0;0;0;0;0
2015;692,00;244;10;5;8;0;224;9;5;7;0;3;0;30;26;0;0;0;0
2015;335,00;160;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0
2015;435,00;70;2;1;4;1;70;2;1;4;1;1;0;0;0;0;0;0;0
2015;423,00;31;3;1;2;0;31;3;1;2;0;2;0;1;0;0;2;3;2
2015;351,00;85;0;0;3;0;52;0;0;2;0;2;0;3;0;0;0;2;1
2015;810,00;9;0;0;1;0;9;0;0;1;0;1;0;0;0;0;1;1;1
2015;830,00;224;6;2;8;0;208;6;2;8;0;3;0;7;0;0;10;0;2
2015;892,00;418;19;6;13;0;369;10;6;12;0;5;0;30;24;0;0;31;0
2015;921,00;170;4;4;8;1;170;4;4;8;1;2;0;0;0;0;6;6;0
2015;991,00;12;1;1;1;0;12;1;1;1;0;1;0;0;0;0;0;0;0
2015;992,00;165;6;1;6;0;165;2;1;6;0;4;0;7;15;0;8;12;1
2015;993,00;142;5;3;5;0;110;5;3;5;0;2;1;29;16;0;0;6;1
2015;1070,00;816;30;6;27;3;694;30;6;25;3;9;0;44;40;0;0;20;4
2015;1095,00;70;0;0;2;0;38;0;0;2;0;1;0;0;0;0;0;0;0
2015;1094,00;34;0;0;4;0;34;0;0;4;0;1;0;1;0;0;0;4;4
2015;473,00;64;27;7;6;0;64;27;7;6;0;2;0;1;0;0;0;0;4
2015;663,00;406;9;2;11;1;406;9;2;11;1;4;2;53;13;0;7;0;0
2015;552,00;90;0;0;6;0;82;0;0;6;0;4;0;16;0;0;14;0;0
2015;772,00;608;0;0;25;2;608;0;0;25;2;8;0;70;56;50;0;0;6
2015;568,00;62;0;0;4;0;18;0;0;4;0;2;0;0;0;0;0;0;0
2015;398,00;132;0;0;5;0;100;0;0;5;0;2;0;0;0;0;0;0;0
2015;394,00;55;0;0;2;0;55;0;0;2;0;2;0;0;0;0;0;0;0
2015;614,00;22;0;0;2;0;22;0;0;2;0;0;0;0;0;0;0;7;0
2015;235,00;58;0;0;4;0;14;0;0;3;0;2;0;0;0;0;0;0;0
2015;616,00;90;0;0;6;0;56;0;0;5;0;0;0;17;0;0;0;15;0
2015;267,00;163;4;2;9;1;149;4;2;9;1;0;0;0;0;0;0;0;0
2015;565,00;200;0;0;5;0;178;0;0;5;0;1;0;8;0;0;0;22;0
2015;220,00;138;3;3;9;0;138;3;3;9;0;3;0;17;0;0;0;0;0
2015;278,00;154;6;3;8;0;154;6;3;8;0;0;0;0;0;0;0;0;0
