"año";"NCODI";"acelerador_hospital";"acelerador_CEP";"acelerador_concertado";"angiografo_hospital";"angiografo_CEP";"angiografo_concertado";"bombas_hospital";"bombas_CEP";"bombas_concertado";"densiometros_hospital";"densiometros_CEP";"densiometros_concertado";"hemodialisis_hospital";"hemodialisis_CEP";"hemodialisis_concertado";"TAC_hospital";"TAC_CEP";"TAC_concertado";"PET_hospital";"PET_CEP";"PET_concertado";"RNM_hospital";"RNM_CEP";"RNM_concertado";"gammacamara_hospital";"gammacamara_CEP";"gammacamara_concertado";"litotriptor_hospital";"litotriptor_CEP";"litotriptor_concertado";"mamografos_hospital";"mamografos_CEP";"mamografos_concertado";"spect_hospital";"spect_CEP";"spect_concertado"
2015;15,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2015;264,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0
2015;867,00;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
2015;910,00;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
2015;1053,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
2015;1055,00;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0
2015;1081,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;1099,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0
2015;529,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;345,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;515,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;174,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;523,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;697,00;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0
2015;239,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2015;287,00;1;0;0;1;0;0;0;0;0;1;0;0;29;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;0;0;1;0;0
2015;377,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;692,00;0;0;0;0;0;0;0;0;0;1;0;0;34;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0
2015;335,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;435,00;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2015;423,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2015;351,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2015;810,00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
