"año";"NCODI";"anestesia_cTotal";"aDigestivo_cTotal";"cardiologia_cTotal";"endocrin_cTotal";"geriatric_cTotal";"medInterna_cTotal";"neumolog_cTotal";"oncolog_cTotal";"neurologia_cTotal";"mFisica_cTotal";"mResto_cTotal";"subMedicas_cTotal";"angiologia_cTotal";"cCardio_cTotal";"cGeneral_cTotal";"cOral_cTotal";"cOrtopedica_cTotal";"cPediatrica_cTotal";"cPlastica_cTotal";"cToracica_cTotal";"dermatologia_cTotal";"neurocirugia_cTotal";"obstetricia_cTotal";"oftalmologia_cTotal";"otorrino_cTotal";"urologia_cTotal";"subQuirurgicas_cTotal";"pediatria_cTotal";"mIntensiva_cTotal";"psiquiatria_cTotal";"sCentrales_cTotal";"urgencias_cTotal";"total_cMedicos";"farmaceuticos_cTotal";"oTituSuperior_cTotal";"anestesia_cMujeres";"aDigestivo_cMujeres";"cardiologia_cMujeres";"endocrin_cMujeres";"geriatric_cMujeres";"medInterna_cMujeres";"neumolog_cMujeres";"oncolog_cMujeres";"neurologia_cMujeres";"mFisica_cMujeres";"mResto_cMujeres";"subMedicas_cMujeres";"angiologia_cMujeres";"cCardio_cMujeres";"cGeneral_cMujeres";"cOral_cMujeres";"cOrtopedica_cMujeres";"cPediatrica_cMujeres";"cPlastica_cMujeres";"cToracica_cMujeres";"dermatologia_cMujeres";"neurocirugia_cMujeres";"obstetricia_cMujeres";"oftalmologia_cMujeres";"otorrino_cMujeres";"urologia_cMujeres";"subQuirurgicas_cMujeres";"pediatria_cMujeres";"mIntensiva_cMujeres";"psiquiatria_cMujeres";"sCentrales_cMujeres";"urgencias_cMujeres";"total_cMujerMedicos";"farmaceuticos_cMujeres";"oTituSuperior_cMujeres";"anestesia_pTotal";"aDigestivo_pTotal";"cardiologia_pTotal";"endocrin_pTotal";"geriatric_pTotal";"medInterna_pTotal";"neumolog_pTotal";"oncolog_pTotal";"neurologia_pTotal";"mFisica_pTotal";"mResto_pTotal";"subMedicas_pTotal";"angiologia_pTotal";"cCardio_pTotal";"cGeneral_pTotal";"cOral_pTotal";"cOrtopedica_pTotal";"cPediatrica_pTotal";"cPlastica_pTotal";"cToracica_pTotal";"dermatologia_pTotal";"neurocirugia_pTotal";"obstetricia_pTotal";"oftalmologia_pTotal";"otorrino_pTotal";"urologia_pTotal";"subQuirurgicas_pTotal";"pediatria_pTotal";"mIntensiva_pTotal";"psiquiatria_pTotal";"sCentrales_pTotal";"urgencias_pTotal";"total_pMedicos";"farmaceuticos_pTotal";"oTituSuperior_pTotal";"anestesia_pMujeres";"aDigestivo_pMujeres";"cardiologia_pMujeres";"endocrin_pMujeres";"geriatric_pMujeres";"medInterna_pMujeres";"neumolog_pMujeres";"oncolog_pMujeres";"neurologia_pMujeres";"mFisica_pMujeres";"mResto_pMujeres";"subMedicas_pMujeres";"angiologia_pMujeres";"cCardio_pMujeres";"cGeneral_pMujeres";"cOral_pMujeres";"cOrtopedica_pMujeres";"cPediatrica_pMujeres";"cPlastica_pMujeres";"cToracica_pMujeres";"dermatologia_pMujeres";"neurocirugia_pMujeres";"obstetricia_pMujeres";"oftalmologia_pMujeres";"otorrino_pMujeres";"urologia_pMujeres";"subQuirurgicas_pMujeres";"pediatria_pMujeres";"mIntensiva_pMujeres";"psiquiatria_pMujeres";"sCentrales_pMujeres";"urgencias_pMujeres";"total_pMujerMedicos";"farmaceuticos_pMujeres";"oTituSuperior_pMujeres";"anestesia_colabTotal";"aDigestivo_colabTotal";"cardiologia_colabTotal";"endocrin_colabTotal";"geriatric_colabTotal";"medInterna_colabTotal";"neumolog_colabTotal";"oncolog_colabTotal";"neurologia_colabTotal";"mFisica_colabTotal";"mResto_colabTotal";"subMedicas_colabTotal";"angiologia_colabTotal";"cCardio_colabTotal";"cGeneral_colabTotal";"cOral_colabTotal";"cOrtopedica_colabTotal";"cPediatrica_colabTotal";"cPlastica_colabTotal";"cToracica_colabTotal";"dermatologia_colabTotal";"neurocirugia_colabTotal";"obstetricia_colabTotal";"oftalmologia_colabTotal";"otorrino_colabTotal";"urologia_colabTotal";"subQuirurgicas_colabTotal";"pediatria_colabTotal";"mIntensiva_colabTotal";"psiquiatria_colabTotal";"sCentrales_colabTotal";"urgencias_colabTotal";"total_colabMedicos";"farmaceuticos_colabTotal";"oTituSuperior_colabTotal";"anestesia_colabMujeres";"aDigestivo_colabMujeres";"cardiologia_colabMujeres";"endocrin_colabMujeres";"geriatric_colabMujeres";"medInterna_colabMujeres";"neumolog_colabMujeres";"oncolog_colabMujeres";"neurologia_colabMujeres";"mFisica_colabMujeres";"mResto_colabMujeres";"subMedicas_colabMujeres";"angiologia_colabMujeres";"cCardio_colabMujeres";"cGeneral_colabMujeres";"cOral_colabMujeres";"cOrtopedica_colabMujeres";"cPediatrica_colabMujeres";"cPlastica_colabMujeres";"cToracica_colabMujeres";"dermatologia_colabMujeres";"neurocirugia_colabMujeres";"obstetricia_colabMujeres";"oftalmologia_colabMujeres";"otorrino_colabMujeres";"urologia_colabMujeres";"subQuirurgicas_colabMujeres";"pediatria_colabMujeres";"mIntensiva_colabMujeres";"psiquiatria_colabMujeres";"sCentrales_colabMujeres";"urgencias_colabMujeres";"total_colabMujerMedicos";"farmaceuticos_colabMujeres";"oTituSuperior_colabMujeres"
2015;375,00;0;0;1;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;1090,00;50;21;23;0;0;0;0;0;15;11;84;204;7;2;30;6;32;0;0;0;14;6;30;17;11;16;171;25;27;13;68;55;563;12;10;34;15;9;0;0;0;0;0;11;11;50;130;4;1;7;3;9;0;0;0;10;3;20;10;4;5;76;18;13;8;45;28;318;9;4;3;0;2;0;0;0;0;0;0;0;2;7;1;0;2;0;3;0;0;0;1;1;0;6;1;2;17;0;0;2;5;13;44;0;0;3;0;1;0;0;0;0;0;0;0;2;6;1;0;0;0;1;0;0;0;1;1;0;2;0;0;6;0;0;1;4;8;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;764,00;41;13;19;9;11;26;15;7;13;9;61;224;7;0;19;5;21;6;6;4;7;5;22;20;13;12;147;22;10;20;83;73;579;17;7;20;7;2;3;5;10;4;4;7;6;41;109;4;0;4;1;3;6;2;1;4;2;15;8;4;1;55;15;3;16;44;47;289;12;5;0;1;0;1;0;2;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;12;0;1;0;1;0;0;0;2;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;14,00;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;2;0;2;1;2;2;0;20;39;1;0;3;1;9;2;2;1;2;3;9;0;3;3;39;3;0;0;1;7;89;;1;0;1;0;0;0;0;0;1;1;0;2;5;0;0;0;0;0;0;0;0;1;0;1;0;1;0;3;1;0;0;1;4;14;;1
2015;113,00;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;35;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;18;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;619,00;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;6;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;10;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;6;0;1;10;3;2;0;0;0;0;0;1;0;22;38;4;1;8;3;28;0;1;0;0;0;17;7;6;3;78;20;3;1;4;3;147;0;0;5;0;0;0;0;0;0;0;0;0;11;16;1;0;0;1;2;0;0;0;0;0;7;3;1;0;15;11;0;1;2;0;45;0;0
2015;163,00;1;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;9;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;8;11;2;0;3;0;9;0;4;0;1;0;0;0;2;3;24;0;0;0;2;9;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;131,00;0;0;0;0;0;0;0;0;0;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;657,00;7;2;1;1;0;7;1;1;0;3;3;26;0;0;6;0;7;0;0;0;1;0;6;4;2;2;28;5;4;5;11;14;93;2;0;3;2;1;1;0;3;0;0;0;3;2;15;0;0;1;0;4;0;0;0;0;0;2;0;1;0;8;1;1;3;6;7;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;362,00;0;0;0;0;0;2;0;0;0;0;3;5;0;2;0;0;1;0;0;0;0;0;0;0;0;0;3;0;4;0;1;2;15;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;1;0;1;1;12;20;2;1;2;1;2;0;2;0;2;2;2;1;1;1;19;2;2;1;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;2;0;0;0;0;8;0;0
