"año";"NCODI";"camas_medInterna";"estancias_medInterna";"altFinal_medInterna";"altCuracion_medInterna";"altTraslaHosp_medInterna";"altExitus_medInterna";"altOtracausa_medInterna";"altTraslaInter_medInterna";"camas_medicina";"estancias_medicina";"altFinal_med";"altCuracion_med";"altTraslaHosp_med";"altExitus_med";"altOtracausa_med";"altTraslaInter_med";"camas_cirugia";"estancias_cirugia";"altFinal_cirugia";"altCuracion_cirugia";"altTraslaHosp_cirugia";"altExitus_cirugia";"altOtracausa_cirugia";"altTraslaInter_cirugia";"camas_trauma";"estancias_trauma";"altFinal_trauma";"altCuracion_trauma";"altTraslaHosp_trauma";"altExitus_trauma";"altOtracausa_trauma";"altTraslaInter_trauma";"camas_gine";"estancias_gine";"altFinal_gine";"altCuracion_gine";"altTraslaHosp_gine";"altExitus_gine";"altOtracausa_gine";"altTraslaInter_gine";"camas_pediatria";"estancias_pediatria";"altFinal_pediatria";"altCuracion_pediatria";"altTraslaHosp_pediatria";"altExitus_pediatria";"altOtracausa_pediatria";"altTraslaInter_pediatria";"camas_neonatologia";"estancias_neonatologia";"altFinal_neonatologia";"altCuracion_neonatologia";"altTraslaHosp_neonatologia";"altExitus_neonatologia";"altOtracausa_neonatologia";"altTraslaInter_neonatologia";"camas_cirugiaPed";"estancias_cirugiaPed";"altFinal_cirugiaPed";"altCuracion_cirugiaPed";"altTraslaHosp_cirugiaPed";"altExitus_cirugiaPed";"altOtracausa_cirugiaPed";"altTraslaInter_cirugiaPed";"camas_restoPedia";"estancias_restoPedia";"altFinal_restoPedia";"altCuracion_restoPedia";"altTraslaHosp_restoPedia";"altExitus_restoPedia";"altOtracausa_restoPedia";"altTraslaInter_restoPedia";"camas_rehabilitacion";"estancias_rehabilitacion";"altFinal_rehabilitacion";"altCuracion_rehabilitacion";"altTraslaHosp_rehabilitacion";"altExitus_rehabilitacion";"altOtracausa_rehabilitacion";"altTraslaInter_rehabilitacion";"camas_mIntensiva";"estancias_mIntensiva";"aFinales_mIntensiva";"altCuracion_mIntensiva";"altTraslaHosp_mIntensiva";"altExitus_mIntensiva";"altOtracausa_mIntensiva";"altTraslaInter_mIntensiva";"camas_uci";"estancias_uci";"altFinal_uci";"altCuracion_uci";"altTraslaHosp_uci";"altExitus_uci";"altOtracausa_uci";"altTraslaInter_uci";"camas_uCoronarios";"estancias_uCoronarios";"altFinal_uCoronarios";"altCuracion_uCoronarios";"altTraslaHosp_uCoronarios";"altExitus_uCoronarios";"altOtracausa_uCoronarios";"altTraslaInter_uCoronarios";"camas_uNeonatales";"estancias_uNeonatales";"altFinal_uNeonatales";"altCuracion_uNeonatales";"altTraslaHosp_uNeonatales";"altExitus_uNeonatales";"altOtracausa_uNeonatales";"altTraslaInter_uNeonatales";"camas_uQuemados";"estancias_uQuemados";"altFinal_uQuemados";"altCuracion_uQuemados";"altTraslaHosp_uQuemados";"altExitus_uQuemados";"altOtracausa_uQuemados";"altTraslaInter_uQuemados";"camas_largaEstan";"estancias_largaEstan";"altFinal_largaEstan";"altCuracion_largaEstan";"altTraslaHosp_largaEstan";"altExitus_largaEstan";"altOtracausa_largaEstan";"altTraslaInter_largaEstan";"camas_psiquiatria";"estancias_psiquiatria";"altFinal_psiquiatria";"altCuracion_psiquiatria";"altTraslaHosp_psiquiatria";"altExitus_psiquiatria";"altOtracausa_psiquiatria";"altTraslaInter_psiquiatria";"camas_psiAgudo";"estancias_psiAgudo";"altFinal_psiAgudo";"altCuracion_psiAgudo";"altTraslaHosp_psiAgudo";"altExitus_psiAgudo";"altOtracausa_psiAgudo";"altTraslaInter_psiAgudo";"camas_psiquiMedia";"estancias_psiquiMedia";"altFinal_psiquiMedia";"altCuracion_psiquiMedia";"altTraslaHosp_psiquiMedia";"altExitus_psiquiMedia";"altOtracausa_psiquiMedia";"altTraslaInter_psiquiMedia";"camas_paliativos";"estancias_paliativos";"altFinal_paliativos";"altCuracion_paliativos";"altTraslaHosp_paliativos";"altExitus_paliativos";"altOtracausa_paliativos";"altTraslaInter_paliativos";"otros1_texto";"camas_o1";"estancias_o1";"altFinal_o1";"altCuracion_o1";"altTraslaHosp_o1";"altExitus_o1";"altOtracausa_o1";"altTraslaInter_o1";"otros2_texto";"camas_o2";"estancias_o2";"altFinal_o2";"altCuracion_o2";"altTraslaHosp_o2";"altExitus_o2";"altOtracausa_o2";"altTraslaInter_o2";"otros3_texto";"camas_o3";"estancias_o3";"altFinal_o3";"altCuracion_o3";"altTraslaHosp_o3";"altExitus_o3";"altOtracausa_o3";"altTraslaInter_o3";"camas_total";"estancias_total";"altFinal_total";"altCuracion_total";"altTraslaHosp_total";"altExitus_total";"altOtracausa_total";"altTraslaInter_total";"ingreProgr";"ingreUrge";"total_ingresosHops"
2015;167,00;0;0;0;0;0;0;0;0;3;204;102;92;8;2;0;0;5;338;274;274;0;0;0;0;5;689;293;285;4;0;4;0;2;53;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;365;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;16;1649;693;674;12;2;5;0;586;107;693
2015;248,00;42;7171;1046;1032;0;14;0;77;41;5965;1250;1226;0;24;0;87;36;4661;1187;1186;0;1;0;64;20;2491;747;747;0;0;0;35;10;215;106;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3100;76;17;12;47;0;859;14;3100;76;17;12;47;0;859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;163;23603;4412;4314;12;86;0;1122;1734;2758;4492
2015;224,00;4;1774;521;445;58;18;0;0;2;683;96;93;3;0;0;0;6;1124;345;333;6;6;0;0;6;874;421;420;1;0;0;0;3;375;315;310;5;0;0;0;2;34;19;19;0;0;0;0;1;0;0;0;0;0;0;0;;;0;0;0;0;0;0;1;34;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;23;4864;1717;1620;73;24;0;0;694;1023;1717
2015;591,00;21;11120;1410;1233;19;158;0;84;161;42836;6875;6404;182;289;0;566;74;16064;3431;3356;41;34;0;401;30;5679;1399;1380;11;8;0;26;32;7651;2024;2023;0;1;0;32;31;5148;766;733;33;0;0;36;17;3115;303;278;25;0;0;31;0;0;0;0;0;0;0;0;14;2033;463;455;8;0;0;5;0;0;0;0;0;0;0;0;28;6534;205;31;44;130;0;1209;19;5017;191;31;32;128;0;1086;0;0;0;0;0;0;0;0;9;1517;14;0;12;2;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4011;273;263;10;0;0;2;15;4011;273;263;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;392;99043;16383;15423;340;620;0;2356;4530;11820;16350
2015;586,00;0;0;0;0;0;0;0;0;166;52185;9302;8668;104;493;37;942;68;16480;3316;3268;23;19;6;824;34;7189;1415;1391;13;7;4;47;42;5986;2238;2225;4;0;9;35;20;3799;1308;1274;31;0;3;45;8;1613;511;504;6;0;1;26;0;0;0;0;0;0;0;0;12;2186;797;770;25;0;2;19;0;0;0;0;0;0;0;0;14;2901;323;204;32;83;4;650;10;2511;293;184;23;82;4;601;0;0;0;0;0;0;0;0;4;390;30;20;9;1;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2936;301;273;15;0;13;6;15;2936;301;273;15;0;13;6;0;0;0;0;0;0;0;0;6;833;192;62;0;130;0;5;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;365;92309;18395;17365;222;732;76;2554;4757;12736;17493
2015;453,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;11388;135;99;14;22;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5623;155;21;1;133;0;12;;0;0;0;0;0;0;0;0;"U.DE CONVALESCENCIA";53;18918;708;543;22;143;0;22;;0;0;0;0;0;0;0;0;103;35929;998;663;37;298;0;67;932;61;993
2015;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;11208;31;23;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;96;11208;31;23;2;6;0;0;31;0;31
2015;511,00;0;0;0;0;0;0;0;0;94;40931;6707;5961;238;442;66;703;52;10951;2081;2031;17;26;7;385;34;5554;1085;1056;12;5;12;13;26;5734;1887;1840;20;1;26;22;32;3203;770;728;38;0;4;21;11;1334;241;219;22;0;0;5;0;0;0;0;0;0;0;0;21;1869;529;509;16;0;4;16;0;0;0;0;0;0;0;0;12;2774;183;74;26;81;2;204;12;2774;183;74;26;81;2;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3414;398;370;20;0;8;6;14;3414;398;370;20;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"UCE";6;1262;505;493;0;8;4;5;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;270;73823;13616;12553;371;563;129;1359;2294;11320;13614
2015;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203;67367;188;163;13;10;2;0;0;0;0;0;0;0;0;0;203;67367;188;163;13;10;2;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;203;67367;188;163;13;10;2;0;181;7;188
2015;619,00;0;0;0;0;0;0;0;0;16;2964;654;615;8;31;0;0;28;6325;3252;3250;2;0;0;0;18;4142;1534;1532;1;1;0;0;3;722;258;258;0;0;0;0;6;677;208;205;3;0;0;0;3;560;156;154;2;0;0;0;0;0;0;0;0;0;0;0;3;117;52;51;1;0;0;0;0;0;0;0;0;0;0;0;4;677;202;196;2;4;0;0;4;677;202;196;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;"0";0;0;0;0;0;0;0;0;75;15507;6108;6056;16;36;0;0;5550;558;6108
