"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2015;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;619,00;80;0;78;0;0;0;158;0;2;0;0;0;0;0;2;0;406;55;2486;0;0;0;2892;55;5;0;66;0;0;0;71;0;0;0;0;0;0;0;0;0;40;6;129;0;0;0;169;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258;102;52;0;0;0;310;102;0;0;0;0;0;0;0;0;2;0;323;0;0;0;325;0;51;0;2;0;0;0;53;0;1534;72;1214;0;0;0;2748;72;83;15;158;0;0;0;241;15;0;0;0;0;0;0;0;0;2461;250;4508;0;0;0;6969;250
2015;163,00;133;0;50;0;31;0;214;0;0;0;0;0;0;0;0;0;49;0;33;0;248;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;0;13;0;253;0;405;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;270;0;272;0;36;0;0;0;1;0;37;0;256;0;309;0;78;0;643;0;125;0;117;0;160;0;402;0;0;0;0;0;0;0;0;0;738;0;524;0;1060;0;2322;0
2015;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;1090,00;443;65;589;0;1;0;1033;65;0;876;0;0;4;0;4;876;1739;1012;767;1;1317;0;3823;1013;97;133;450;1;1101;0;1648;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;138;0;14791;0;14930;2;686;1012;409;0;109;0;1204;1012;193;154;33;0;7;0;233;154;58;127;6640;1;371;0;7069;128;469;29;368;0;36;0;873;29;2387;671;588;0;172;0;3147;671;1224;53;99;0;598;0;1921;53;5;35;33;0;0;0;38;35;7302;4169;10114;3;18507;0;35923;4172
2015;764,00;274;129;86;1;4;1;364;131;0;0;0;0;0;0;0;0;874;953;462;4;72;1;1408;958;218;18;61;0;18;0;297;18;257;127;182;0;129;0;568;127;423;4;118;0;52;0;593;4;311;67;0;1;0;0;311;68;1;1;144;0;39;0;184;1;317;933;49;0;46;273;412;1206;488;151;5;0;13;0;506;151;38;27;2624;0;975;10;3637;37;346;69;263;0;111;2;720;71;1432;453;299;5;368;37;2099;495;691;194;104;0;125;1;920;195;2;78;1;0;280;8;283;86;5672;3204;4398;11;2232;333;12302;3548
2015;14,00;0;0;46;;0;0;46;0;0;0;0;0;0;0;0;0;477;0;1000;11;0;0;1477;11;13;0;2;0;0;0;15;0;52;0;4;0;0;0;56;0;29;0;25;0;0;0;54;0;2;0;0;0;0;0;2;0;0;0;333;0;0;0;333;0;427;5;21;0;0;0;448;5;26;0;12;0;0;0;38;0;0;0;0;0;0;0;0;0;87;0;25;0;0;0;112;0;728;8;127;0;0;0;855;8;82;0;142;0;0;0;224;0;64;0;60;0;0;0;124;0;1987;13;1797;11;0;0;3784;24
2015;657,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286;196;400;0;131;9;817;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;0;172;0;218;156;0;0;96;0;314;156;0;0;0;0;0;0;0;0;56;7;596;0;305;3;957;10;87;6;47;0;85;0;219;6;213;146;293;0;173;4;679;150;120;14;0;0;272;0;392;14;0;0;0;0;0;0;0;0;980;525;1336;0;1234;16;3550;541
2015;362,00;132;1;1;0;10;0;143;1;223;40;3;0;0;0;226;40;315;35;59;0;1199;3;1573;38;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;279;8;28;3;0;0;307;11;0;0;0;0;0;0;0;0;0;0;129;0;20;0;149;0;30;31;0;0;0;0;30;31;168;3;0;0;0;0;168;3;119;0;12;0;0;0;131;0;52;0;4;0;0;0;56;0;373;8;0;0;0;0;373;8;45;2;45;0;15;0;105;2;0;0;0;1;0;0;0;1;1740;128;281;4;1244;3;3265;135
