"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2015;113,00;0;0;0;0;0
2015;619,00;119;25;145;0;0
2015;163,00;0;0;0;0;0
2015;131,00;0;0;0;0;0
2015;375,00;0;0;0;0;0
2015;1090,00;2323;325;2709;212;0
2015;764,00;1634;537;2149;246;0
2015;14,00;274;191;465;1;0
2015;657,00;300;118;420;19;0
2015;362,00;19;19;38;0;0
2015;989,00;318;69;387;43;0
2015;990,00;335;134;478;14;0
2015;680,00;1856;486;2401;326;0
2015;411,00;254;235;497;17;0
2015;241,00;190;280;470;26;0
2015;558,00;729;233;972;63;0
2015;167,00;4;6;10;0;0
2015;248,00;0;0;0;0;0
2015;224,00;97;45;141;4;0
2015;591,00;971;336;1369;184;0
2015;586,00;1018;295;1338;106;0
2015;453,00;0;0;0;0;0
2015;145,00;0;0;0;0;0
2015;511,00;782;322;1124;101;0
2015;530,00;1101;296;1413;100;0
2015;6,00;222;329;551;55;0
2015;161,00;0;0;0;0;0
2015;623,00;798;271;1115;106;0
2015;875,00;0;0;0;0;0
2015;940,00;0;0;0;0;0
2015;946,00;117;113;230;18;0
2015;1023,00;946;234;1188;73;0
2015;1054,00;824;292;1157;83;0
2015;1057,00;0;0;0;0;0
2015;1031,00;0;0;0;0;0
2015;1032,00;1329;271;1678;109;0
2015;1064,00;125;120;245;24;0
2015;226,00;282;250;514;18;0
2015;687,00;920;199;1133;58;0
2015;745,00;2478;648;3168;185;0
2015;109,00;413;197;616;4;0
2015;808,00;2145;490;2617;126;1
2015;971,00;0;0;0;0;0
2015;128,00;0;0;0;0;0
2015;919,00;690;228;904;14;0
2015;725,00;1756;600;2400;124;0
2015;3,00;0;0;0;0;0
2015;306,00;0;0;0;0;0
2015;15,00;0;0;0;0;0
2015;264,00;214;161;398;12;0
2015;867,00;0;0;0;0;0
2015;910,00;384;257;631;33;0
2015;1053,00;675;326;1010;55;0
2015;1055,00;1093;384;1505;109;0
2015;1081,00;0;0;0;0;0
2015;1099,00;0;0;0;0;0
2015;529,00;0;0;0;0;0
2015;345,00;0;0;0;0;0
2015;515,00;0;0;0;0;0
2015;174,00;0;0;0;0;0
2015;523,00;0;0;0;0;0
2015;697,00;754;358;1110;68;0
2015;239,00;0;0;0;0;0
2015;287,00;350;192;555;26;0
2015;377,00;0;0;0;0;0
2015;692,00;958;168;1144;71;0
2015;335,00;0;0;0;0;0
2015;435,00;137;42;178;7;0
2015;423,00;63;40;103;0;0
2015;351,00;0;0;0;0;0
2015;810,00;0;0;0;0;0
2015;830,00;810;107;935;0;0
2015;892,00;1738;345;2114;138;0
2015;921,00;533;346;879;33;1
2015;991,00;102;19;101;0;0
2015;992,00;692;189;872;27;0
2015;993,00;451;138;599;33;0
2015;1070,00;1315;491;1885;295;0
2015;1095,00;0;0;0;0;0
2015;1094,00;0;0;0;0;0
2015;473,00;2268;899;3241;433;0
2015;663,00;1081;322;1412;95;0
2015;552,00;0;0;0;0;0
2015;772,00;0;0;0;0;0
2015;568,00;0;0;0;0;0
2015;398,00;0;0;0;0;0
2015;394,00;0;0;0;0;0
2015;614,00;0;0;0;0;0
2015;235,00;0;0;0;0;0
2015;616,00;0;0;0;0;0
2015;267,00;910;772;1682;32;0
2015;565,00;0;0;0;0;0
2015;220,00;186;166;355;11;0
2015;278,00;937;574;1558;94;0
2015;107,00;0;0;0;0;0
2015;711,00;1303;376;1719;140;0
2015;204,00;0;0;0;0;0
2015;579,00;0;0;0;0;0
2015;348,00;0;0;0;0;0
2015;766,00;0;0;0;0;0
2015;761,00;0;0;0;0;0
2015;728,00;0;0;0;0;0
2015;280,00;1027;808;1881;119;0
2015;222,00;0;0;0;0;0
2015;276,00;2055;1138;3254;112;0
2015;11,00;213;114;331;13;0
2015;302,00;67;47;116;3;0
2015;682,00;0;0;0;0;0
2015;279,00;1808;767;2675;239;0
2015;282,00;1269;864;2187;131;0
2015;281,00;521;452;1011;80;0
2015;183,00;0;0;0;0;0
2015;610,00;0;0;0;0;0
2015;116,00;0;0;0;0;0
2015;115,00;0;0;0;0;0
2015;114,00;0;0;0;0;0
2015;119,00;0;0;0;0;0
2015;770,00;1025;360;1403;128;0
2015;583,00;0;0;0;0;0
2015;136,00;0;0;0;0;0
2015;469,00;112;62;173;7;0
2015;642,00;660;209;871;34;0
2015;674,00;2416;840;3349;396;0
2015;193,00;0;0;0;0;0
2015;526,00;1241;398;1660;120;0
2015;698,00;0;0;0;0;0
2015;630,00;1272;315;1593;92;0
2015;124,00;0;0;0;0;0
2015;364,00;0;0;0;0;0
2015;439,00;304;194;505;17;0
2015;570,00;1050;259;1307;91;0
2015;123,00;0;0;0;0;0
2015;310,00;0;0;0;0;0
2015;571,00;540;147;688;21;0
2015;296,00;0;0;0;0;0
2015;566,00;561;162;737;29;0
2015;784,00;1876;463;2381;223;0
2015;102,00;0;0;0;0;0
2015;379,00;0;0;0;0;0
2015;639,00;1211;312;1537;49;0
2015;457,00;0;0;0;0;0
2015;609,00;1475;918;2443;179;0
2015;101,00;0;0;0;0;0
2015;454,00;578;114;714;27;0
2015;318,00;0;0;0;0;0
2015;600,00;718;160;874;22;0
2015;545,00;1135;173;1322;84;0
2015;100,00;0;0;0;0;0
2015;702,00;879;246;1140;77;0
2015;778,00;1013;269;1292;62;0
2015;341,00;0;0;0;0;0
2015;99,00;0;0;0;0;0
2015;767,00;0;0;0;0;0
2015;359,00;0;0;0;0;0
2015;98,00;0;0;0;0;0
2015;132,00;0;0;0;0;0
2015;97,00;0;0;0;0;0
2015;103,00;0;0;0;0;0
2015;110,00;0;0;0;0;0
2015;94,00;0;0;0;0;0
2015;91,00;0;0;0;0;0
2015;664,00;937;270;1227;80;0
2015;918,00;2099;639;2840;544;1
2015;92,00;0;0;0;0;0
2015;95,00;0;0;0;0;0
2015;96,00;0;0;0;0;0
2015;301,00;0;0;0;0;0
2015;492,00;428;88;515;19;0
2015;811,00;479;232;727;0;0
2015;812,00;0;0;0;0;0
2015;832,00;0;0;0;0;0
2015;841,00;0;0;0;0;0
2015;856,00;0;0;0;0;0
2015;859,00;0;0;0;0;0
2015;861,00;0;0;0;0;0
2015;880,00;0;0;0;0;0
2015;883,00;0;0;0;0;0
2015;884,00;0;0;0;0;0
2015;877,00;0;0;0;0;0
2015;911,00;0;0;0;0;0
2015;913,00;0;0;0;0;0
2015;922,00;646;347;1033;0;0
2015;923,00;0;0;0;0;0
2015;924,00;0;0;0;0;0
2015;947,00;0;0;0;0;0
2015;951,00;0;0;0;0;0
2015;1103,00;0;0;0;0;0
2015;972,00;0;0;0;0;0
2015;973,00;0;0;0;0;0
2015;974,00;0;0;0;0;0
2015;975,00;0;0;0;0;0
2015;960,00;0;0;0;0;0
2015;1028,00;0;0;0;0;0
2015;976,00;0;0;0;0;0
2015;977,00;0;0;0;0;0
2015;1020,00;0;0;0;0;0
2015;994,00;766;138;910;54;0
2015;995,00;0;0;0;0;0
2015;1060,00;0;0;0;0;0
2015;1005,00;0;0;0;0;0
2015;1061,00;0;0;0;0;0
2015;1006,00;0;0;0;0;0
2015;1088,00;0;0;0;0;0
2015;1089,00;0;0;0;0;0
2015;1076,00;0;0;0;0;0
2015;1078,00;0;0;0;0;0
2015;1033,00;0;0;0;0;0
2015;1037,00;0;0;0;0;0
2015;1039,00;0;0;0;0;0
2015;1067,00;0;0;0;0;0
2015;1065,00;0;0;0;0;0
2015;1066,00;181;189;385;15;0
2015;1100,00;0;0;0;0;0
2015;1105,00;0;0;0;0;0
2015;1107,00;0;0;0;0;0
2015;1111,00;0;0;0;0;0
2015;207,00;19;40;60;0;0
2015;431,00;0;0;0;0;0
2015;387,00;309;116;435;23;0
2015;179,00;0;0;0;0;0
2015;606,00;181;111;296;21;0
2015;925,00;1611;288;1916;160;0
2015;541,00;210;77;288;17;0
2015;797,00;254;78;336;0;0
2015;627,00;508;233;759;67;0
2015;173,00;0;0;0;0;0
2015;636,00;1015;435;1465;149;0
2015;205,00;0;0;0;0;0
2015;814,00;0;0;0;0;0
2015;881,00;0;15;15;0;0
2015;771,00;1330;462;1849;251;0
2015;533,00;20;24;44;2;0
2015;447,00;177;105;282;12;0
2015;815,00;0;0;0;0;0
2015;801,00;2069;673;2824;0;0
2015;800,00;0;0;0;0;0
2015;389,00;410;194;604;19;0
2015;695,00;1448;506;1978;132;0
2015;816,00;141;131;272;9;0
2015;833,00;224;231;455;19;0
2015;870,00;203;129;332;17;0
2015;927,00;79;12;92;0;0
2015;961,00;1658;519;2172;151;0
2015;962,00;0;0;0;0;0
2015;1079,00;60;54;114;5;0
2015;1101,00;264;138;402;16;0
2015;666,00;1208;536;1798;186;0
2015;392,00;0;0;0;0;0
2015;790,00;0;0;0;0;0
2015;650,00;506;144;657;26;0
2015;876,00;1210;228;1466;58;0
2015;944,00;0;0;0;0;0
2015;952,00;606;346;952;28;
2015;54,00;0;0;0;0;0
2015;367,00;0;0;0;0;0
2015;538,00;756;243;1021;34;0
2015;557,00;333;58;391;14;0
2015;653,00;247;276;532;37;0
2015;647,00;297;155;463;15;0
2015;978,00;1309;444;1797;132;1
2015;996,00;324;163;494;0;0
2015;729,00;3106;560;3755;346;0
2015;182,00;795;418;1228;55;0
2015;633,00;0;0;0;0;0
2015;685,00;885;291;1189;86;0
2015;683,00;354;118;482;32;0
2015;945,00;416;102;517;19;0
2015;953,00;0;0;0;0;0
2015;1022,00;0;0;0;0;0
2015;1049,00;0;0;0;0;0
2015;794,00;2092;550;2697;190;0
2015;415,00;0;0;0;0;0
2015;592,00;231;142;378;0;0
2015;497,00;0;0;0;0;0
2015;458,00;676;407;1093;24;0
2015;726,00;809;238;1060;80;0
2015;272,00;0;0;0;0;0
2015;805,00;2123;505;2696;245;0
2015;5,00;0;0;0;0;0
2015;234,00;266;94;368;6;0
2015;64,00;0;0;0;0;0
2015;842,00;278;89;369;11;0
2015;843,00;157;62;219;4;0
2015;803,00;667;166;848;55;0
2015;211,00;0;0;0;0;0
2015;773,00;986;329;1377;232;0
2015;424,00;472;156;638;52;0
2015;298,00;551;275;851;47;0
2015;594,00;0;0;0;0;0
2015;237,00;0;0;0;0;0
2015;16,00;0;0;0;0;0
2015;768,00;90;22;111;3;0
2015;617,00;814;179;1004;65;0
2015;297,00;168;72;240;11;0
2015;105,00;0;0;0;0;0
2015;544,00;342;84;426;20;0
2015;804,00;763;179;950;50;0
2015;104,00;0;0;0;0;0
2015;20,00;0;0;0;0;0
2015;550,00;0;0;0;0;0
2015;112,00;0;0;0;0;0
2015;818,00;0;0;0;0;0
2015;882,00;0;0;0;0;0
2015;914,00;0;0;0;0;0
2015;928,00;0;0;0;0;0
2015;964,00;991;175;1172;46;0
2015;1026,00;0;0;0;0;0
2015;1068,00;0;0;0;0;0
2015;1108,00;133;29;162;9;0
2015;404,00;0;0;0;0;0
2015;274,00;219;173;392;18;0
2015;270,00;274;150;429;15;0
2015;676,00;424;92;522;40;0
2015;709,00;845;205;1059;138;0
2015;754,00;4768;1320;6207;551;0
2015;997,00;240;79;317;9;0
2015;734,00;1289;283;1602;59;0
2015;299,00;0;0;0;0;0
2015;645,00;0;0;0;0;0
2015;17,00;0;0;0;0;0
2015;1046,00;0;0;0;0;0
2015;420,00;0;0;0;0;0
2015;802,00;0;0;0;0;0
2015;266,00;187;92;279;0;0
2015;137,00;295;133;432;0;0
2015;769,00;0;0;0;0;0
2015;776,00;0;0;0;0;0
2015;640,00;501;97;591;10;0
2015;315,00;0;0;0;0;0
2015;40,00;0;0;0;0;0
