"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2015;113,00;0;0;229;4381;0;0
2015;619,00;223;708;0;0;0;0
2015;163,00;0;0;0;0;0;0
2015;131,00;0;0;0;0;0;0
2015;375,00;0;0;0;0;0;0
2015;1090,00;14089;50049;854;3417;0;0
2015;764,00;1795;11693;2448;4670;72;148
2015;14,00;860;860;0;0;0;0
2015;657,00;1663;2295;0;0;0;0
2015;362,00;0;0;0;0;0;0
2015;989,00;288;1580;0;0;0;0
2015;990,00;441;2777;0;0;0;0
2015;680,00;37010;58371;0;0;0;0
2015;411,00;289;2193;0;0;0;0
2015;241,00;185;856;0;0;0;0
2015;558,00;7764;61929;0;0;0;0
2015;167,00;0;0;0;0;0;0
2015;248,00;273;1530;0;0;0;0
2015;224,00;0;0;0;0;0;0
2015;591,00;4800;43204;41;1587;0;0
2015;586,00;12933;47980;152;2833;0;0
2015;453,00;337;2782;0;0;0;0
2015;145,00;0;0;0;0;0;0
2015;511,00;16864;18612;0;0;0;0
2015;530,00;4388;35354;0;0;0;0
2015;6,00;0;0;0;0;0;0
2015;161,00;0;0;0;0;0;0
2015;623,00;2381;10930;0;0;0;0
2015;875,00;71;351;0;0;0;0
2015;940,00;0;0;0;0;0;0
2015;946,00;0;0;0;0;0;0
2015;1023,00;5308;34341;0;0;0;0
2015;1054,00;1497;8545;0;0;0;0
2015;1057,00;0;0;0;0;0;0
2015;1031,00;0;0;0;0;0;0
2015;1032,00;5480;27100;0;0;0;0
2015;1064,00;0;0;0;0;0;0
2015;226,00;0;0;0;0;0;0
2015;687,00;973;2545;123;2803;0;0
2015;745,00;3359;10871;1373;21306;0;0
2015;109,00;0;0;0;0;0;0
2015;808,00;0;0;52;5180;0;0
2015;971,00;869;1432;0;0;0;0
2015;128,00;0;0;0;0;0;0
2015;919,00;919;8878;156;1826;0;0
2015;725,00;5622;14974;0;0;0;0
2015;3,00;0;0;0;0;0;0
2015;306,00;0;0;0;0;0;0
2015;15,00;0;0;0;0;0;0
2015;264,00;0;0;0;0;0;0
2015;867,00;0;0;0;0;0;0
2015;910,00;542;4875;0;0;0;0
2015;1053,00;680;5328;0;0;0;0
2015;1055,00;7888;13977;0;0;0;0
2015;1081,00;0;0;0;0;0;0
2015;1099,00;0;0;0;0;0;0
2015;529,00;0;0;0;0;0;0
2015;345,00;0;0;0;0;0;0
2015;515,00;0;0;0;0;0;0
2015;174,00;0;0;0;0;0;0
2015;523,00;0;0;0;0;151;5882
2015;697,00;292;1986;0;0;0;0
2015;239,00;153;1379;0;0;0;0
2015;287,00;0;0;0;0;163;2904
2015;377,00;0;0;0;0;0;0
2015;692,00;1293;7405;74;3152;0;0
2015;335,00;0;0;0;0;0;0
2015;435,00;0;0;0;0;0;0
2015;423,00;0;0;0;0;0;0
2015;351,00;0;0;0;0;0;0
2015;810,00;0;0;0;0;0;0
2015;830,00;6150;12244;0;0;0;0
2015;892,00;3090;25807;138;5074;0;0
2015;921,00;0;0;0;0;0;0
2015;991,00;0;0;0;0;0;0
2015;992,00;441;5391;98;3587;0;0
2015;993,00;3156;10812;35;1878;0;0
2015;1070,00;3936;15747;43;1743;0;0
2015;1095,00;0;0;0;0;0;0
2015;1094,00;65;65;0;0;0;0
2015;473,00;1955;3765;0;0;0;0
2015;663,00;8391;35911;95;1025;0;0
2015;552,00;1488;8177;0;0;0;0
2015;772,00;22033;93351;483;9042;121;7795
2015;568,00;0;0;0;0;0;0
2015;398,00;0;0;0;0;0;0
2015;394,00;0;0;0;0;0;0
2015;614,00;0;0;0;0;0;0
2015;235,00;0;0;0;0;0;0
2015;616,00;2591;7854;0;0;0;0
2015;267,00;0;0;0;0;0;0
2015;565,00;782;1249;0;0;0;0
2015;220,00;170;1677;0;0;0;0
2015;278,00;0;0;0;0;0;0
2015;107,00;0;0;81;3701;114;12922
2015;711,00;19004;75881;1283;12163;0;0
