"año";"NCODI";"pacienteTot_hospDom";"visitaTot_hospDom"
2015;113,00;0;0
2015;619,00;0;0
2015;163,00;0;0
2015;131,00;0;0
2015;375,00;0;0
2015;1090,00;1064;16075
2015;764,00;0;0
2015;14,00;0;0
2015;657,00;0;0
2015;362,00;0;0
2015;989,00;0;0
2015;990,00;0;0
2015;680,00;2773;25466
2015;411,00;0;0
2015;241,00;0;0
2015;558,00;1430;12546
2015;167,00;0;0
2015;248,00;0;0
2015;224,00;0;0
2015;591,00;517;10764
2015;586,00;3754;13692
2015;453,00;0;0
2015;145,00;0;0
2015;511,00;2505;13196
2015;530,00;1445;7666
2015;6,00;0;0
2015;161,00;0;0
2015;623,00;1142;13488
2015;875,00;0;0
2015;940,00;0;0
2015;946,00;0;0
2015;1023,00;846;10069
2015;1054,00;1071;15389
2015;1057,00;0;0
2015;1031,00;0;0
2015;1032,00;1033;11509
2015;1064,00;0;0
2015;226,00;0;0
2015;687,00;0;0
2015;745,00;230;973
2015;109,00;0;0
2015;808,00;0;0
2015;971,00;0;0
2015;128,00;0;0
2015;919,00;212;1516
2015;725,00;0;0
2015;3,00;0;0
2015;306,00;0;0
2015;15,00;0;0
2015;264,00;0;0
2015;867,00;0;0
2015;910,00;0;0
2015;1053,00;0;0
2015;1055,00;0;0
2015;1081,00;0;0
2015;1099,00;0;0
2015;529,00;0;0
2015;345,00;0;0
2015;515,00;0;0
2015;174,00;0;0
2015;523,00;0;0
2015;697,00;0;0
2015;239,00;0;0
2015;287,00;88;1495
2015;377,00;0;0
2015;692,00;445;5617
2015;335,00;0;0
2015;435,00;0;0
2015;423,00;0;0
2015;351,00;0;0
2015;810,00;0;0
2015;830,00;0;0
2015;892,00;0;0
2015;921,00;0;0
2015;991,00;0;0
2015;992,00;57;1071
2015;993,00;0;0
2015;1070,00;647;5098
2015;1095,00;0;0
2015;1094,00;0;0
2015;473,00;0;0
2015;663,00;148;173
2015;552,00;0;0
2015;772,00;560;6720
2015;568,00;0;0
2015;398,00;0;0
2015;394,00;0;0
2015;614,00;0;0
2015;235,00;0;0
2015;616,00;512;5214
2015;267,00;0;0
2015;565,00;0;0
2015;220,00;0;0
2015;278,00;0;0
2015;107,00;421;4531
2015;711,00;0;0
2015;204,00;0;0
2015;579,00;0;0
2015;348,00;0;0
2015;766,00;0;0
2015;761,00;137;1748
2015;728,00;0;0
2015;280,00;0;0
2015;222,00;0;0
2015;276,00;0;0
2015;11,00;0;0
2015;302,00;0;0
2015;682,00;0;0
2015;279,00;0;0
2015;282,00;0;0
2015;281,00;272;5843
2015;183,00;0;0
2015;610,00;0;0
2015;116,00;0;0
2015;115,00;0;0
2015;114,00;68;442
2015;119,00;0;0
2015;770,00;971;14825
2015;583,00;363;3336
2015;136,00;251;2974
2015;469,00;47;1504
2015;642,00;472;5690
2015;674,00;120;370
2015;193,00;0;0
2015;526,00;0;0
2015;698,00;654;9392
2015;630,00;0;0
2015;124,00;0;0
2015;364,00;0;0
2015;439,00;0;0
2015;570,00;475;6265
2015;123,00;0;0
2015;310,00;328;3592
2015;571,00;0;0
2015;296,00;0;0
2015;566,00;245;2013
2015;784,00;846;11849
2015;102,00;0;0
2015;379,00;0;0
2015;639,00;381;3397
2015;457,00;136;136
2015;609,00;0;0
2015;101,00;0;0
2015;454,00;0;0
2015;318,00;0;0
2015;600,00;296;1717
2015;545,00;340;396
2015;100,00;0;0
2015;702,00;384;5013
2015;778,00;396;1645
2015;341,00;0;0
2015;99,00;787;6070
2015;767,00;657;4875
2015;359,00;0;0
2015;98,00;0;0
2015;132,00;0;0
2015;97,00;0;0
2015;103,00;0;0
2015;110,00;0;0
2015;94,00;0;0
2015;91,00;0;0
2015;664,00;417;5958
2015;918,00;960;13449
2015;92,00;0;0
2015;95,00;0;0
2015;96,00;0;0
2015;301,00;0;0
2015;492,00;0;0
2015;811,00;0;0
2015;812,00;0;0
2015;832,00;0;0
2015;841,00;0;0
2015;856,00;0;0
2015;859,00;0;0
2015;861,00;0;0
2015;880,00;0;0
2015;883,00;0;0
2015;884,00;0;0
2015;877,00;0;0
2015;911,00;0;0
2015;913,00;0;0
2015;922,00;0;0
2015;923,00;0;0
2015;924,00;0;0
2015;947,00;0;0
2015;951,00;0;0
2015;1103,00;0;0
2015;972,00;0;0
2015;973,00;0;0
2015;974,00;0;0
2015;975,00;0;0
2015;960,00;150;1016
2015;1028,00;0;0
2015;976,00;249;294
2015;977,00;0;0
