"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"otrasTexto";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP"
2015;990,00;1269;3697;0;0;979;2782;0;0;2729;5613;0;0;879;2752;0;0;588;5548;0;0;5038;25850;0;0;1712;4701;0;0;3521;8186;0;0;3129;11857;0;0;5284;11866;0;0;1975;4943;0;0;1196;4138;0;0;0;0;0;0;883;2648;0;0;2308;2308;0;0;3180;7304;0;0;"Otros";0;0;0;0;34670;104193;0;0
2015;680,00;1139;11547;7504;12073;1211;7184;6850;10832;2808;10085;13185;19850;816;7719;5138;8658;0;0;0;0;13778;84830;13361;23536;946;5464;3392;4567;7170;31186;12800;18670;3229;16410;20002;28444;841;19171;18090;32520;978;9406;10874;13832;1064;7388;5402;10355;7492;30419;6412;6888;4834;21814;58;58;15804;16166;30;30;4029;11970;5652;6717;"Otros";0;0;0;0;66139;290759;128750;197030
2015;411,00;865;1715;0;0;557;2154;0;0;4189;12734;0;0;179;261;0;0;0;0;0;0;4248;16375;0;0;1760;5144;0;0;8648;30381;0;0;2651;16858;0;0;0;0;0;0;2217;4345;0;0;1862;8608;0;0;1208;3458;0;0;7954;8791;0;0;3380;4096;0;0;877;1720;0;0;"Otros";0;0;0;0;40595;116640;0;0
2015;241,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;558,00;2478;6277;0;0;349;2823;1609;3861;0;0;7268;10952;2139;6244;0;0;113;4249;5767;24942;9185;57768;1701;3252;5330;10178;0;0;3900;11540;7384;11940;5730;14996;0;0;3238;11024;9104;17552;4124;10197;1740;2829;2603;8127;0;0;0;0;0;0;1744;4638;0;0;4775;4835;0;0;2352;3824;0;0;"Otros";0;0;1425;4275;48060;156720;35998;79603
2015;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;248,00;22;1486;0;0;2837;14531;0;0;2482;4809;0;0;1029;3773;0;0;43;103;0;0;5912;37689;0;0;701;2197;0;0;1286;9036;0;0;2942;8049;0;0;2779;3681;0;0;1542;2063;0;0;1885;2168;0;0;1513;3417;0;0;2495;8388;0;0;1302;1302;0;0;1350;15315;0;0;"Otros";711;13348;0;0;30831;131355;0;0
2015;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;591,00;7749;15562;0;0;7017;11833;0;0;10507;15844;0;0;6121;13844;0;0;2847;3491;0;0;55662;123324;0;0;4729;10556;0;0;16807;29315;0;0;15364;29336;0;0;24994;40677;0;0;8332;12011;0;0;6732;13477;0;0;3345;8203;0;0;3637;9194;0;0;11963;13208;0;0;9948;19657;0;0;"Otros";0;0;0;0;195754;369532;0;0
2015;586,00;1385;3851;2934;6180;1464;6240;2688;6437;3618;8116;7063;12436;2070;5465;2139;4124;5836;37807;0;0;22609;64574;14484;22518;4727;9931;4550;5995;4110;10134;7398;11694;4564;10171;5936;11270;8389;17872;9346;20494;3121;5702;5217;6722;2799;7041;4054;7916;0;0;0;0;5118;10752;212;425;10139;10583;0;0;9687;22799;1009;2584;"Otros";0;0;0;0;89636;231038;67030;118795
2015;453,00;741;1148;2444;3986;2592;3918;0;0;0;0;8874;12888;2503;6102;1291;2379;0;0;0;0;7307;12307;1704;4438;0;0;1042;1739;0;0;3382;4818;0;0;5385;6422;0;0;4722;7251;0;0;2556;3148;0;0;1327;2744;0;0;0;0;0;0;0;0;0;0;0;0;1505;2341;0;0;"Otros";0;0;0;0;14648;25816;32727;49813
2015;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;860;5508;86558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";4;4;0;0;253;864;5508;86558
2015;619,00;1220;1878;0;0;1280;1453;0;0;0;0;0;0;564;715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;1040;0;0;996;1504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423;948;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;4803;7538;0;0
2015;163,00;225;591;0;0;269;422;0;0;898;1083;0;0;351;634;0;0;0;0;0;0;2794;9035;0;0;155;455;0;0;3029;7492;0;0;0;0;0;0;1253;2864;0;0;822;1725;0;0;577;2436;0;0;1581;3744;0;0;0;0;0;0;647;1166;0;0;0;0;0;0;"Otros";0;0;0;0;12601;31647;0;0
2015;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0
2015;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;1282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;1586;0;0;"Otros";0;0;0;0;568;2868;0;0
2015;1090,00;4490;25810;0;0;3019;13984;0;0;1234;25691;14386;21214;5570;17806;0;0;725;10159;0;0;20028;134480;0;0;6372;29265;0;0;16705;55991;435;798;2849;20820;13628;39429;13119;74254;0;0;9099;21761;0;0;5586;34783;0;0;5989;20084;0;0;3520;21029;0;0;22375;22474;0;0;8634;25129;0;0;"Otros";3213;31997;0;0;132527;585517;28449;61441
