"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2015;113,00;0;0;0;0;0
2015;619,00;17901;558;0;2;18461
2015;163,00;3726;69;5;0;3800
2015;131,00;0;0;0;0;0
2015;375,00;409;0;144;0;553
2015;1090,00;140899;21426;1685;37;164047
2015;764,00;126022;17128;513;118;143781
2015;14,00;18302;627;405;2;19336
2015;657,00;29877;3311;374;28;33590
2015;362,00;18316;733;164;1;19214
2015;989,00;25033;2296;443;26;27798
2015;990,00;28562;3585;596;26;32769
2015;680,00;127863;18708;3617;70;150258
2015;411,00;25680;2405;63;6;28154
2015;241,00;29410;2285;50;2;31747
2015;558,00;39885;7878;300;65;48128
2015;167,00;2480;107;46;0;2633
2015;248,00;9995;2758;160;3;12916
2015;224,00;21394;1023;14;2;22433
2015;591,00;81336;11410;567;68;93381
2015;586,00;72393;12736;953;94;86176
2015;453,00;44;61;10;0;115
2015;145,00;0;0;0;0;0
2015;511,00;65105;11320;687;73;77185
2015;530,00;59362;11878;415;82;71737
2015;6,00;23427;838;0;0;24265
2015;161,00;0;0;0;0;0
2015;623,00;72859;12431;725;81;86096
2015;875,00;30174;3269;30;0;33473
2015;940,00;0;0;0;0;0
2015;946,00;29264;5235;86;11;34596
2015;1023,00;62059;12748;226;81;75114
2015;1054,00;44355;8852;262;83;53552
2015;1057,00;0;0;0;0;0
2015;1031,00;0;0;0;0;0
2015;1032,00;77467;9269;263;55;87054
2015;1064,00;15484;2378;17657;3;35522
2015;226,00;36850;1925;58;2;38835
2015;687,00;53168;5172;728;83;59151
2015;745,00;133728;17066;1190;118;152102
2015;109,00;36624;2594;0;0;39218
2015;808,00;119141;10380;991;143;130655
2015;971,00;63394;637;2656;5;66692
2015;128,00;10611;640;0;0;11251
2015;919,00;32278;9851;318;54;42501
2015;725,00;125172;20063;0;75;145310
2015;3,00;0;0;0;0;0
2015;306,00;0;0;0;0;0
2015;15,00;7685;19;16;0;7720
2015;264,00;29730;2329;66;3;32128
2015;867,00;0;0;0;0;0
2015;910,00;33662;6732;651;60;41105
2015;1053,00;54270;10559;1168;63;66060
2015;1055,00;61651;12105;933;78;74767
2015;1081,00;0;0;0;0;0
2015;1099,00;3558;27;0;0;3585
2015;529,00;0;0;0;0;0
2015;345,00;0;0;0;0;0
2015;515,00;12122;487;0;0;12609
2015;174,00;0;0;0;0;0
2015;523,00;0;0;0;0;0
2015;697,00;78242;7741;599;5;86587
2015;239,00;40713;1790;53;1;42557
2015;287,00;46788;4996;173;230;52187
2015;377,00;0;0;0;0;0
2015;692,00;46670;6815;73;55;53613
2015;335,00;0;0;0;0;0
2015;435,00;20336;1632;57;2;22027
2015;423,00;8297;1562;0;0;9859
2015;351,00;22024;3608;354;4;25990
2015;810,00;7679;1027;0;0;8706
2015;830,00;58730;8980;686;63;68459
2015;892,00;86423;13591;615;118;100747
2015;921,00;85333;7228;137;0;92698
2015;991,00;16409;366;172;4;16951
2015;992,00;50552;5622;503;65;56742
2015;993,00;19277;3947;90;21;23335
2015;1070,00;117260;17215;1062;124;135661
2015;1095,00;11659;1297;141;4;13101
2015;1094,00;6828;2297;60;1;9186
2015;473,00;27362;3821;49;0;31232
2015;663,00;104346;11955;4613;233;121147
2015;552,00;11029;17;797;0;11843
2015;772,00;72336;14619;3680;382;91017
2015;568,00;5829;218;0;0;6047
2015;398,00;7147;1059;9;0;8215
2015;394,00;5716;368;4;0;6088
2015;614,00;0;0;0;0;0
2015;235,00;3999;91;8;0;4098
2015;616,00;42665;1105;2042;15;45827
2015;267,00;14047;2362;38;1;16448
2015;565,00;0;0;0;0;0
2015;220,00;18572;1659;29;1;20261
2015;278,00;15795;2130;35;2;17962
2015;107,00;0;0;0;0;0
2015;711,00;118560;20812;5196;176;144744
2015;204,00;164;0;0;0;164
2015;579,00;97420;1108;30;0;98558
2015;348,00;0;0;0;0;0
2015;766,00;14182;1143;197;1;15523
2015;761,00;0;0;0;0;0
2015;728,00;38149;6651;342;29;45171
2015;280,00;38834;3343;129;1;42307
2015;222,00;649;48;0;0;697
2015;276,00;74740;3513;569;1;78823
2015;11,00;14367;3091;31;0;17489
2015;302,00;27899;233;32;1;28165
2015;682,00;14726;1718;185;10;16639
2015;279,00;79809;5240;402;0;85451
2015;282,00;82218;6354;122;0;88694
2015;281,00;42821;7073;93;32;50019
2015;183,00;1218;19;0;0;1237
2015;610,00;13255;29;0;0;13284
2015;116,00;0;0;0;0;0
