"año";"NCODI";"totHemodina_Paciente";"totPaciente_radioInterv";"totLitofrag_Paciente";"totLitofrag_Sesion";"totAceleLineal_Paciente";"totAceleLineal_Sesion";"totBomCobal_Paciente";"totBomCobal_Sesion";"totOtraRadio_Paciente";"totOtraRadio_Sesion";"totFisiot_Paciente";"totFisiot_Sesion";"totLogop_Paciente";"totLogop_Sesion";"totTerapOcupa_Paciente";"totTerapOcupa_Sesion";"totHemodial_Paciente";"totHemodial_Sesion";"totHemodialDom_Paciente";"totHemodialDom_Sesion";"totDialPerito_Paciente";"totDialPerito_Sesion"
2015;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;3492;0;0;0;0;0;0
2015;619,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;131,00;0;0;0;0;0;0;0;0;0;0;43;450;0;0;0;0;0;0;0;0;0;0
2015;375,00;0;0;0;0;0;0;0;0;0;0;1172;14972;0;0;0;0;0;0;0;0;0;0
2015;1090,00;1974;2377;286;374;751;13545;0;0;0;0;15978;335527;0;0;0;0;185;16579;0;0;0;0
2015;764,00;1431;2431;399;554;823;18699;0;0;60;145;11685;96150;2833;5336;2034;15762;85;11624;1;155;52;17478
2015;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;657,00;0;370;0;0;0;0;0;0;0;0;2368;18354;0;0;0;0;0;0;0;0;0;0
2015;362,00;159;30;0;0;0;0;0;0;0;0;1636;14459;0;0;0;0;0;0;0;0;0;0
2015;989,00;0;247;0;0;0;0;0;0;0;0;2842;16385;536;2590;182;1638;0;0;0;0;0;0
2015;990,00;0;0;0;0;0;0;0;0;0;0;2270;18328;416;1017;244;2496;0;0;0;0;0;0
2015;680,00;2385;4866;217;325;0;0;0;0;0;0;6027;271676;0;0;0;0;709;14291;0;0;30;10986
2015;411,00;9121;448;0;0;0;0;0;0;0;0;956;20560;0;0;0;0;85;13022;0;0;0;0
2015;241,00;206;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370;26379;0;0;0;0
2015;558,00;0;725;0;0;0;0;0;0;0;0;1623;29209;0;0;0;0;87;13133;0;0;7;2555
2015;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;248,00;230;212;0;0;590;666;0;0;118;250;1250;15220;0;0;0;0;429;14553;0;0;0;0
2015;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
