"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2015;990,00;43;254;0;0;0;390;0;1;6;0;2;0;28;0;4390;25884;2777;104146;979;31059;0;6;35;0;4;0;117;0;7;41;0;3;0;220;0;13;77;0;8;0;392;0;23;136;0;5;0;152;0;24;142;0;25;0;411;0;"Otros";0;0;0;0;0;0;0;4507;26575;2777;104193;979;32769;0
2015;680,00;144;890;53;188;2;1100;0;38;235;0;82;1;224;0;30656;189442;58318;486622;5955;144458;2773;95;587;0;370;7;92;0;8;49;0;37;1;4;0;29;179;0;42;1;694;0;169;1044;0;372;5;1060;0;88;544;0;76;0;2626;0;"Otros";0;0;0;0;0;0;0;31227;192970;58371;487789;5972;150258;2773
2015;411,00;324;612;4;7332;334;627;0;4902;18261;2167;99995;439;26746;0;1450;2455;0;3478;1689;173;0;0;0;0;;0;0;0;0;0;22;150;123;9;0;51;93;0;154;2;165;0;0;0;0;0;0;0;0;25;78;0;5531;0;434;0;"Otros";0;0;0;0;0;0;0;6752;21499;2193;116640;2587;28154;0
2015;241,00;370;619;52;0;0;354;0;2358;6473;581;0;3403;29541;0;647;874;0;0;160;40;0;1184;4078;223;0;0;0;0;0;0;0;0;0;0;0;754;770;0;0;2;1659;0;0;0;0;0;0;0;0;4;13;0;0;3;153;0;"Otros";0;0;0;0;0;0;0;5317;12827;856;0;3568;31747;0
2015;558,00;5;17;0;103;0;276;0;16;39;0;330;2872;640;0;11408;55758;61929;234984;;46207;1430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;25;0;206;0;282;0;0;0;0;0;0;0;0;34;185;;700;0;723;0;"Otros";0;0;0;0;0;0;0;11473;56024;61929;236323;2872;48128;1430
2015;167,00;29;418;0;0;0;35;0;65;115;0;0;0;689;0;441;808;0;0;0;0;0;143;280;0;0;0;0;0;0;0;0;0;0;1453;0;15;28;0;0;0;456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;693;1649;0;0;0;2633;0
2015;248,00;518;2140;235;18450;0;1635;0;3458;19733;647;101146;0;10240;0;361;1447;645;6350;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;62;3;5409;0;969;0;0;0;0;0;0;0;0;54;221;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;4412;23603;1530;131355;0;12916;0
2015;224,00;314;587;0;0;413;1299;0;1402;4276;0;0;1175;21037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;"Otros";0;0;0;0;0;0;0;1717;4864;0;0;1588;22433;0
2015;591,00;20;120;0;20;0;215;0;33;198;0;189;1;263;0;16108;97393;44791;368504;4923;90474;517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;72;0;224;0;440;0;183;1098;0;557;4;554;0;27;162;0;38;0;1435;0;"Otros";0;0;0;0;0;0;0;16383;99043;44791;369532;4928;93381;517
2015;586,00;7;13;0;12;0;179;0;0;0;0;0;0;0;0;18373;92142;50813;349699;7882;83490;3754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;98;0;78;0;778;0;0;0;0;0;0;0;0;9;56;0;44;0;1729;0;"Otros";0;0;0;0;0;0;0;18395;92309;50813;349833;7882;86176;3754
