"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;814,00;38856;3887;14627;0;14627;12934;7408;0;0;33994;33994;0;169162;80931;13990;74241;0;0;0;0;242012
2015;881,00;2295134;916949;299812;105948;193864;0;636466;441907;65984;372866;127184;245682;1932063;1490488;0;441575;0;211622;0;48885;4926554
2015;771,00;98654149;42184612;32399345;7906382;24492963;6026241;12278639;5765312;0;9232481;2991350;6241131;131430938;105890112;0;25540826;0;0;0;0;239317568
2015;533,00;1795921;244691;309966;500;309466;0;1228462;12802;-35917;982123;135496;846627;1397536;1063116;12855;299222;22343;189823;125972;475872;4931330
2015;447,00;4989553;1408692;2533552;749740;1783812;115051;90717;841541;14521;825761;476295;349466;10159038;7603852;25468;2516875;12843;115676;65874;105784;16276207
2015;815,00;467062;29664;124070;17245;106825;0;299419;13909;0;238501;50470;188031;433511;346876;0;84590;2045;78335;0;41221;1258630
2015;801,00;84139719;41830812;20713468;4992397;15721071;11082237;7115057;3398145;0;6350778;1838193;4512585;94182139;75689077;0;18493062;0;0;0;345209;185017845
2015;800,00;3850728;340790;984123;181587;802536;777075;1278103;470637;-9552;1184536;391086;793450;7786217;5843039;37726;1786102;119350;731586;135744;60669;13739928
2015;389,00;7068124;1751051;3520858;995740;2525118;202313;202632;1391270;9143;1478998;537119;941879;14353615;10670748;98452;3525615;58800;175546;95894;168749;23350069
2015;695,00;63157281;32356522;14788661;2671466;12117195;5442370;7313118;3256610;0;6050698;1857557;4193141;63706699;50212832;0;13493867;0;0;0;0;132914678
2015;816,00;7290727;1784568;2865478;678847;2186631;457918;378683;1804080;14268;1150562;328886;821676;13664240;10149776;83695;3383225;47544;275781;86419;226678;22708675
2015;833,00;8588461;2135918;3276628;709022;2567606;121951;726642;2327322;21479;1515840;299578;1216262;16199315;12123260;55438;4001626;18991;260119;77931;145107;26808252
2015;870,00;7510890;2897492;993892;116723;877169;2855829;648364;115313;142070;1752483;363167;1389316;3599321;2732966;10227;795727;60401;478113;179912;48382;13711171
2015;927,00;2406253;289238;259412;48360;211052;703311;1005236;149056;21843;571001;94927;476074;2275293;1788475;17000;454420;15398;326180;224225;891775;6716570
2015;961,00;86235680;39720755;16520211;1816539;14703672;14575422;12975692;2443600;0;2095326;1770610;324716;84242403;66745797;0;17496606;0;0;0;0;172573409
2015;962,00;1611407;65632;140063;35852;104211;1266050;105150;34512;263;595488;59488;536000;1369466;1067593;0;301873;0;183375;105717;334693;4200409
2015;1079,00;1558857;216247;50191;26981;23210;0;1292419;0;0;365283;72079;293204;1178269;908524;0;269745;0;300038;0;221783;3624230
2015;1101,00;6714681;495360;764783;37708;727075;4329182;975179;150177;-147392;2165038;344937;1820101;3213268;2458352;921;744356;9639;971625;0;17075;12934295
2015;666,00;83648741;31513957;27912968;5230621;22682347;18708592;4240020;1273204;34556;6325173;1431350;4893823;109143261;87336283;0;21321977;485001;0;0;0;199151731
2015;392,00;1781865;398340;316758;;316758;0;941008;125759;0;519839;304012;215827;9685100;7401642;0;2211824;71634;0;0;0;11986804
2015;790,00;24280464;17039942;3996808;937094;3059714;3243714;0;0;0;9476051;3760717;5715334;51413459;41491487;0;9921972;0;1455392;0;2322073;88947439
2015;650,00;17780227;9573810;2728695;668466;2060229;2929428;2088795;459499;0;1654164;699926;954238;48405978;39480410;0;8925261;307;0;0;0;67840369
2015;876,00;27993331;15100007;7915062;1188746;6726316;1561184;2834447;582631;-297004;3443597;1222389;2221208;48510047;39247793;0;9085910;176344;0;0;2009;79651980
2015;944,00;1139012;95203;721515;405324;316191;225497;6424;90373;20848;850212;177499;672713;3510279;2722685;0;753093;34501;374771;0;46771;5941893
2015;952,00;8782480;2391830;1527442;0;1527442;4230211;456735;176262;138014;1906930;469900;1437030;7068226;5260623;12683;1681172;113748;699257;9187;842392;19446486
2015;54,00;615251;670;0;0;0;0;223826;390755;0;0;0;0;4121616;3019691;0;1010825;91100;0;0;0;4736867
2015;367,00;6495736;1802004;780894;0;780894;3794490;113536;4812;-105395;3998652;435887;3562765;3041347;2349323;12608;646022;33394;1968492;235556;177273;15811661
2015;538,00;44266470;17017775;13067600;2781055;10286545;8757928;4375422;1047745;0;4380132;1971153;2408979;63887184;50926697;0;11759425;1201062;0;0;0;112533786
2015;557,00;10153490;4712649;2764712;429393;2335319;1046454;1314317;315358;0;1383845;837470;546375;23265673;18729740;0;3993995;541938;0;0;0;34803008
2015;653,00;18806545;8552617;4474088;1010235;3463853;3198541;2192472;388827;73328;2115305;945419;1169886;35342768;28574402;0;6714912;53454;0;0;386;56338332
2015;647,00;11829170;5190230;3476768;1008738;2468030;1515201;1335485;311486;102711;1128629;728921;399708;24168521;19526116;6540;4116078;519787;0;0;4600;37233631
2015;978,00;75702233;27711106;22923644;6657766;16265878;10604998;12151814;2310671;-766040;3715268;3715268;0;119876550;98357874;0;21514786;3890;0;0;208102;198736113
2015;996,00;9596213;6117679;2443848;577367;1866481;382434;441785;210467;0;2891921;886516;2005405;19453280;15932542;0;3520738;0;0;0;413001;32354415
2015;729,00;146537159;73653300;45237892;13466261;31771631;11751441;12236442;3658084;0;19525456;9679138;9846318;190278899;146107787;3576484;40251523;343105;0;0;803284;357144798
2015;182,00;4362004;1069214;1487861;17698;1470163;644006;835513;325410;0;634110;258460;375650;8593210;6689725;11946;1839232;52307;535595;0;1045164;15170083
2015;633,00;8308372;2530832;1529742;176011;1353731;2566013;1369708;312077;948;1647482;735149;912333;9087730;6874162;68523;2008252;136793;2677914;46655;709839;22478940
2015;685,00;16893382;8327046;4520745;952164;3568581;801085;3099867;144639;0;2633682;1267909;1365773;41282280;32488923;21137;8772220;;0;0;3063854;63873198
2015;683,00;12700260;2782155;2946986;744060;2202926;3187235;2677751;1106133;0;809740;22722;787018;27463490;21751801;0;5711689;0;0;0;0;40973490
2015;945,00;6831996;2021505;1890899;201803;1689096;1256032;1437374;226186;-49788;1798213;330367;1467846;20763484;16658816;0;4046997;57671;492297;729;0;29836931
2015;953,00;1379460;275726;1002004;85137;916867;101730;0;0;34334;1082224;85393;996831;2337298;1859234;0;478064;0;130238;5558;42450;5011562
2015;1022,00;3483598;894243;598541;23147;575394;931249;961641;97924;-7854;1158710;216562;942148;7678065;6111891;0;1519359;46815;660991;6568;4417;12984495
2015;1049,00;2725656;777281;338389;20369;318020;730178;805576;74232;-9767;1087760;166990;920770;6226673;4930098;0;1259328;37247;556543;3536;1950;10592351
2015;794,00;158229167;76672712;54334594;17029968;37304626;3785166;18607338;4829357;-50624;19027367;5056816;13970551;203717098;165897943;0;37407346;411809;0;0;353274;381276282
2015;415,00;6493458;4039341;1581799;0;1581799;289381;258452;324485;54130;1656852;132023;1524829;7102160;5648728;0;1338207;115225;361251;133900;165970;15967721
2015;592,00;8780279;1046048;2365197;0;2365197;3649484;1621896;97654;-40962;1718527;291847;1426680;9537712;7678721;558;1850790;7643;745538;8767;451229;21201090
